age	state	bmi_30_49.8	dm_(%)	n_obesity_state	Year
65+ Years	New York	39.18%	NA	1541489	1/1/2025 - 11/12/2025
65+ Years	Texas	41.55%	NA	2016512	1/1/2025 - 11/12/2025
65+ Years	Maine	39.63%	NA	201199	1/1/2025 - 11/12/2025
65+ Years	New Mexico	32.95%	NA	72046	1/1/2025 - 11/12/2025
65+ Years	Florida	36.93%	NA	1916466	1/1/2025 - 11/12/2025
65+ Years	Wyoming	38.73%	NA	45838	1/1/2025 - 11/12/2025
65+ Years	Idaho	41.80%	NA	203227	1/1/2025 - 11/12/2025
65+ Years	New Hampshire	38.19%	NA	145739	1/1/2025 - 11/12/2025
65+ Years	Montana	38.76%	NA	91785	1/1/2025 - 11/12/2025
65+ Years	Arizona	34.65%	NA	335622	1/1/2025 - 11/12/2025
65+ Years	Massachusetts	37.30%	NA	739524	1/1/2025 - 11/12/2025
65+ Years	South Dakota	41.03%	NA	78346	1/1/2025 - 11/12/2025
65+ Years	District of Columbia	29.67%	NA	20375	1/1/2025 - 11/12/2025
65+ Years	Oregon	38.22%	NA	394712	1/1/2025 - 11/12/2025
65+ Years	Vermont	33.05%	NA	108621	1/1/2025 - 11/12/2025
65+ Years	Alaska	32.69%	NA	2964	1/1/2025 - 11/12/2025
65+ Years	California	28.92%	NA	1576240	1/1/2025 - 11/12/2025
65+ Years	Colorado	32.61%	NA	524334	1/1/2025 - 11/12/2025
65+ Years	Hawaii	24.17%	NA	153498	1/1/2025 - 11/12/2025
65+ Years	Nevada	30.34%	NA	181709	1/1/2025 - 11/12/2025
65+ Years	Rhode Island	34.79%	NA	149426	1/1/2025 - 11/12/2025
65+ Years	Utah	26.52%	NA	169497	1/1/2025 - 11/12/2025
65+ Years	Washington	34.49%	NA	325795	1/1/2025 - 11/12/2025
65+ Years	None of the above	37.71%	NA	227545	1/1/2025 - 11/12/2025
65+ Years	Total	40.84%	NA	28124646	1/1/2025 - 11/12/2025
Total	Mississippi	43.97%	NA	1474962	1/1/2025 - 11/12/2025
Total	Alabama	43.72%	NA	424338	1/1/2025 - 11/12/2025
Total	West Virginia	43.70%	NA	908690	1/1/2025 - 11/12/2025
Total	Kentucky	42.64%	NA	2273711	1/1/2025 - 11/12/2025
Total	Nebraska	42.09%	NA	643955	1/1/2025 - 11/12/2025
Total	Indiana	41.80%	NA	2293648	1/1/2025 - 11/12/2025
Total	Ohio	41.33%	NA	7597501	1/1/2025 - 11/12/2025
Total	Maryland	40.91%	NA	1419527	1/1/2025 - 11/12/2025
Total	Kansas	40.87%	NA	783835	1/1/2025 - 11/12/2025
Total	Missouri	40.83%	NA	839389	1/1/2025 - 11/12/2025
Total	Louisiana	40.64%	NA	1903074	1/1/2025 - 11/12/2025
Total	South Carolina	40.17%	NA	2831593	1/1/2025 - 11/12/2025
Total	Tennessee	39.71%	NA	1221096	1/1/2025 - 11/12/2025
Total	Iowa	39.70%	NA	1616329	1/1/2025 - 11/12/2025
Total	Oklahoma	39.57%	NA	1008017	1/1/2025 - 11/12/2025
Total	North Carolina	39.29%	NA	5097487	1/1/2025 - 11/12/2025
Total	Virginia	38.99%	NA	3739893	1/1/2025 - 11/12/2025
Total	Michigan	38.52%	NA	4476158	1/1/2025 - 11/12/2025
Total	Puerto Rico	38.37%	NA	70943	1/1/2025 - 11/12/2025
Total	Illinois	38.30%	NA	4620100	1/1/2025 - 11/12/2025
Total	Delaware	38.22%	NA	413024	1/1/2025 - 11/12/2025
Total	Arkansas	37.98%	NA	813584	1/1/2025 - 11/12/2025
Total	Pennsylvania	37.32%	NA	6281631	1/1/2025 - 11/12/2025
Total	Wisconsin	36.89%	NA	2739703	1/1/2025 - 11/12/2025
Total	New Jersey	36.79%	NA	2665959	1/1/2025 - 11/12/2025
Total	Minnesota	36.60%	NA	2144846	1/1/2025 - 11/12/2025
Total	Connecticut	36.55%	NA	2206858	1/1/2025 - 11/12/2025
Total	North Dakota	36.50%	NA	550263	1/1/2025 - 11/12/2025
Total	Georgia	36.42%	NA	2753644	1/1/2025 - 11/12/2025
Total	New York	36.28%	NA	5364643	1/1/2025 - 11/12/2025
Total	Texas	36.14%	NA	9700871	1/1/2025 - 11/12/2025
Total	Maine	36.09%	NA	624732	1/1/2025 - 11/12/2025
Total	New Mexico	36.08%	NA	215067	1/1/2025 - 11/12/2025
Total	Florida	35.35%	NA	6868167	1/1/2025 - 11/12/2025
Total	Wyoming	34.89%	NA	148177	1/1/2025 - 11/12/2025
Total	Idaho	34.56%	NA	792351	1/1/2025 - 11/12/2025
Total	New Hampshire	34.38%	NA	480398	1/1/2025 - 11/12/2025
Total	Montana	33.43%	NA	335432	1/1/2025 - 11/12/2025
Total	Arizona	33.30%	NA	1303465	1/1/2025 - 11/12/2025
Total	Massachusetts	32.44%	NA	2979127	1/1/2025 - 11/12/2025
Total	South Dakota	32.17%	NA	355856	1/1/2025 - 11/12/2025
Total	District of Columbia	31.66%	NA	98829	1/1/2025 - 11/12/2025
Total	Oregon	31.28%	NA	1691023	1/1/2025 - 11/12/2025
Total	Vermont	30.48%	NA	339598	1/1/2025 - 11/12/2025
Total	Alaska	28.89%	NA	10463	1/1/2025 - 11/12/2025
Total	California	27.70%	NA	7158790	1/1/2025 - 11/12/2025
Total	Colorado	27.93%	NA	2368854	1/1/2025 - 11/12/2025
Total	Hawaii	26.85%	NA	518344	1/1/2025 - 11/12/2025
Total	Nevada	30.24%	NA	753906	1/1/2025 - 11/12/2025
Total	Rhode Island	28.79%	NA	572144	1/1/2025 - 11/12/2025
Total	Utah	23.67%	NA	747498	1/1/2025 - 11/12/2025
Total	Washington	29.83%	NA	1332292	1/1/2025 - 11/12/2025
Total	None of the above	32.32%	NA	1201982	1/1/2025 - 11/12/2025
Total	Total	36.62%	NA	111775767	1/1/2025 - 11/12/2025
<18 Years	American Samoa, South Pacific	NA	NA	17	1/1/2022 - 12/31/2022
<18 Years	Federated States of Micronesia	NA	NA	5	1/1/2022 - 12/31/2022
<18 Years	Northern Mariana Islands	NA	NA	5	1/1/2022 - 12/31/2022
<18 Years	Guam	NA	NA	47	1/1/2022 - 12/31/2022
<18 Years	Marshall Islands	NA	NA	5	1/1/2022 - 12/31/2022
<18 Years	Armed Forces Africa	NA	NA	151	1/1/2022 - 12/31/2022
<18 Years	Palau	NA	NA	5	1/1/2022 - 12/31/2022
<18 Years	Virgin Islands	NA	NA	106	1/1/2022 - 12/31/2022
<18 Years	Armed Forces America	NA	NA	19	1/1/2022 - 12/31/2022
18-24 Years	American Samoa, South Pacific	NA	NA	5	1/1/2022 - 12/31/2022
18-24 Years	Federated States of Micronesia	NA	NA	5	1/1/2022 - 12/31/2022
18-24 Years	Northern Mariana Islands	NA	NA	5	1/1/2022 - 12/31/2022
18-24 Years	Guam	NA	NA	20	1/1/2022 - 12/31/2022
18-24 Years	Marshall Islands	NA	NA	5	1/1/2022 - 12/31/2022
18-24 Years	Armed Forces Africa	NA	NA	47	1/1/2022 - 12/31/2022
18-24 Years	Palau	NA	NA	5	1/1/2022 - 12/31/2022
18-24 Years	Virgin Islands	NA	NA	67	1/1/2022 - 12/31/2022
18-24 Years	Armed Forces America	NA	NA	5	1/1/2022 - 12/31/2022
25-34 Years	American Samoa, South Pacific	NA	NA	5	1/1/2022 - 12/31/2022
25-34 Years	Federated States of Micronesia	NA	NA	5	1/1/2022 - 12/31/2022
25-34 Years	Northern Mariana Islands	NA	NA	5	1/1/2022 - 12/31/2022
25-34 Years	Guam	43.75%	NA	48	1/1/2022 - 12/31/2022
25-34 Years	Marshall Islands	NA	NA	5	1/1/2022 - 12/31/2022
25-34 Years	Armed Forces Africa	23.53%	11.76%	102	1/1/2022 - 12/31/2022
25-34 Years	Palau	NA	NA	5	1/1/2022 - 12/31/2022
25-34 Years	Virgin Islands	20.49%	19.67%	122	1/1/2022 - 12/31/2022
25-34 Years	Armed Forces America	NA	NA	5	1/1/2022 - 12/31/2022
35-44 Years	American Samoa, South Pacific	60.00%	NA	20	1/1/2022 - 12/31/2022
35-44 Years	Federated States of Micronesia	NA	NA	5	1/1/2022 - 12/31/2022
35-44 Years	Northern Mariana Islands	NA	NA	5	1/1/2022 - 12/31/2022
35-44 Years	Guam	29.79%	NA	47	1/1/2022 - 12/31/2022
35-44 Years	Marshall Islands	NA	NA	5	1/1/2022 - 12/31/2022
35-44 Years	Armed Forces Africa	29.92%	12.70%	244	1/1/2022 - 12/31/2022
35-44 Years	Palau	NA	NA	5	1/1/2022 - 12/31/2022
35-44 Years	Virgin Islands	21.32%	22.79%	272	1/1/2022 - 12/31/2022
35-44 Years	Armed Forces America	NA	NA	34	1/1/2022 - 12/31/2022
45-54 Years	American Samoa, South Pacific	58.62%	NA	29	1/1/2022 - 12/31/2022
45-54 Years	Federated States of Micronesia	NA	NA	5	1/1/2022 - 12/31/2022
45-54 Years	Northern Mariana Islands	NA	NA	15	1/1/2022 - 12/31/2022
45-54 Years	Guam	45.45%	18.18%	66	1/1/2022 - 12/31/2022
45-54 Years	Marshall Islands	NA	NA	5	1/1/2022 - 12/31/2022
45-54 Years	Armed Forces Africa	34.87%	21.07%	261	1/1/2022 - 12/31/2022
45-54 Years	Palau	NA	NA	5	1/1/2022 - 12/31/2022
45-54 Years	Virgin Islands	32.66%	27.71%	646	1/1/2022 - 12/31/2022
45-54 Years	Armed Forces America	NA	NA	36	1/1/2022 - 12/31/2022
55-64 Years	American Samoa, South Pacific	62.22%	NA	45	1/1/2022 - 12/31/2022
55-64 Years	Federated States of Micronesia	NA	NA	18	1/1/2022 - 12/31/2022
55-64 Years	Northern Mariana Islands	NA	NA	17	1/1/2022 - 12/31/2022
55-64 Years	Guam	37.38%	16.82%	107	1/1/2022 - 12/31/2022
55-64 Years	Marshall Islands	NA	NA	5	1/1/2022 - 12/31/2022
55-64 Years	Armed Forces Africa	35.51%	15.22%	138	1/1/2022 - 12/31/2022
55-64 Years	Palau	NA	NA	5	1/1/2022 - 12/31/2022
55-64 Years	Virgin Islands	28.46%	23.55%	794	1/1/2022 - 12/31/2022
55-64 Years	Armed Forces America	NA	NA	5	1/1/2022 - 12/31/2022
65+ Years	American Samoa, South Pacific	54.74%	25.26%	95	1/1/2022 - 12/31/2022
65+ Years	Federated States of Micronesia	NA	NA	17	1/1/2022 - 12/31/2022
65+ Years	Northern Mariana Islands	NA	NA	38	1/1/2022 - 12/31/2022
65+ Years	Guam	27.51%	10.58%	189	1/1/2022 - 12/31/2022
65+ Years	Marshall Islands	NA	NA	20	1/1/2022 - 12/31/2022
65+ Years	Armed Forces Africa	32.35%	NA	34	1/1/2022 - 12/31/2022
65+ Years	Palau	NA	NA	5	1/1/2022 - 12/31/2022
65+ Years	Virgin Islands	19.13%	14.94%	1432	1/1/2022 - 12/31/2022
65+ Years	Armed Forces America	NA	NA	5	1/1/2022 - 12/31/2022
Total	American Samoa, South Pacific	55.61%	26.17%	214	1/1/2022 - 12/31/2022
Total	Federated States of Micronesia	49.15%	28.81%	59	1/1/2022 - 12/31/2022
Total	Northern Mariana Islands	32.58%	13.48%	89	1/1/2022 - 12/31/2022
Total	Guam	31.39%	13.91%	532	1/1/2022 - 12/31/2022
Total	Marshall Islands	30.56%	NA	36	1/1/2022 - 12/31/2022
Total	Armed Forces Africa	25.88%	12.84%	997	1/1/2022 - 12/31/2022
Total	Palau	NA	NA	5	1/1/2022 - 12/31/2022
Total	Virgin Islands	23.35%	19.20%	3401	1/1/2022 - 12/31/2022
Total	Armed Forces America	23.14%	9.09%	121	1/1/2022 - 12/31/2022
<18 Years	Armed Forces Pacific	NA	NA	116	1/1/2021 - 12/31/2021
18-24 Years	Armed Forces Pacific	NA	NA	24	1/1/2021 - 12/31/2021
25-34 Years	Armed Forces Pacific	27.94%	NA	68	1/1/2021 - 12/31/2021
35-44 Years	Armed Forces Pacific	28.79%	12.88%	132	1/1/2021 - 12/31/2021
45-54 Years	Armed Forces Pacific	38.94%	16.81%	113	1/1/2021 - 12/31/2021
55-64 Years	Armed Forces Pacific	25.35%	18.31%	71	1/1/2021 - 12/31/2021
65+ Years	Armed Forces Pacific	NA	NA	18	1/1/2021 - 12/31/2021
Total	Armed Forces Pacific	22.99%	11.31%	548	1/1/2021 - 12/31/2021
