age	state	a1c_6.5+_(%)	dm_(%)	n_all_patients	Year
18-24 Years	Guam	NA	NA	17	1/1/2025 - 10/30/2025
18-24 Years	Mississippi	1.76%	2.67%	101288	1/1/2025 - 10/30/2025
18-24 Years	Kentucky	1.68%	2.52%	168158	1/1/2025 - 10/30/2025
18-24 Years	Delaware	1.82%	2.65%	27198	1/1/2025 - 10/30/2025
18-24 Years	Indiana	1.26%	2.05%	166770	1/1/2025 - 10/30/2025
18-24 Years	North Carolina	1.44%	2.22%	366206	1/1/2025 - 10/30/2025
18-24 Years	South Carolina	1.62%	2.47%	199584	1/1/2025 - 10/30/2025
18-24 Years	Ohio	1.26%	2.00%	568158	1/1/2025 - 10/30/2025
18-24 Years	West Virginia	1.24%	2.21%	62394	1/1/2025 - 10/30/2025
18-24 Years	Illinois	1.58%	2.18%	334526	1/1/2025 - 10/30/2025
18-24 Years	Maine	1.59%	2.09%	37992	1/1/2025 - 10/30/2025
18-24 Years	Maryland	1.30%	2.26%	94076	1/1/2025 - 10/30/2025
18-24 Years	New Jersey	1.21%	2.08%	165995	1/1/2025 - 10/30/2025
18-24 Years	Kansas	1.19%	2.12%	55430	1/1/2025 - 10/30/2025
18-24 Years	Missouri	1.23%	1.96%	61818	1/1/2025 - 10/30/2025
18-24 Years	Pennsylvania	0.96%	1.68%	426066	1/1/2025 - 10/30/2025
18-24 Years	Michigan	1.36%	2.08%	325817	1/1/2025 - 10/30/2025
18-24 Years	Virginia	1.42%	2.20%	239957	1/1/2025 - 10/30/2025
18-24 Years	New York	1.18%	1.93%	363962	1/1/2025 - 10/30/2025
18-24 Years	Rhode Island	1.29%	1.91%	41343	1/1/2025 - 10/30/2025
18-24 Years	Oklahoma	2.17%	3.08%	68756	1/1/2025 - 10/30/2025
18-24 Years	Minnesota	1.33%	1.87%	153676	1/1/2025 - 10/30/2025
18-24 Years	Wisconsin	1.38%	1.80%	206704	1/1/2025 - 10/30/2025
18-24 Years	Hawaii	1.20%	1.85%	30239	1/1/2025 - 10/30/2025
18-24 Years	Iowa	1.46%	1.91%	126105	1/1/2025 - 10/30/2025
