age	geography	time	diabetes_a1c_6_5	diabetes_dx_ccw	obesity_bmi	obesity_dx_ccw	n_patients_chronic
25-35 Years	56	2018-01-01	2.01	3.12	36.44	10.42	9322
25-35 Years	24	2018-01-01	1.55	3.21	35.31	16.57	117098
25-35 Years	17	2018-01-01	1.76	2.43	34.4	11.36	400730
25-35 Years	27	2018-01-01	1.72	2.63	34.7	15.69	243077
25-35 Years	55	2018-01-01	1.7	2.52	37.05	13.34	280848
25-35 Years	15	2018-01-01	1.81	3.48	31.32	13.91	43916
25-35 Years	42	2018-01-01	1.3	2.55	34.57	14.84	525922
25-35 Years	36	2018-01-01	1.41	2.45	30.67	13.77	386766
25-35 Years	47	2018-01-01	1.69	3.52	40.56	9.96	72806
25-35 Years	05	2018-01-01	1.91	4.05	45.44	16.04	64466
25-35 Years	31	2018-01-01	1.94	3.35	35.79	11.55	49914
25-35 Years	44	2018-01-01	1.32	3.09	21.36	12.4	49537
25-35 Years	19	2018-01-01	1.67	2.71	39.97	18.67	145539
25-35 Years	41	2018-01-01	1.6	2.83	32.81	13.61	169208
25-35 Years	02	2018-01-01	2.18	2.78	33.88	12.47	1331
25-35 Years	16	2018-01-01	1.71	2.86	31.28	11.52	53295
25-35 Years	10	2018-01-01	1.58	3.21	40.5	15.69	21698
25-35 Years	13	2018-01-01	1.63	3.17	34.71	12.01	171395
25-35 Years	46	2018-01-01	1.68	2.43	34.16	15.51	36341
25-35 Years	25	2018-01-01	1.17	2.35	27.93	15.76	229468
25-35 Years	33	2018-01-01	1.48	2.34	31.96	12.43	42505
25-35 Years	38	2018-01-01	1.59	2.52	38.61	19.72	59692
25-35 Years	48	2018-01-01	1.73	3.52	35.27	17.39	608145
25-35 Years	34	2018-01-01	1.21	2.41	29.39	10.38	111147
25-35 Years	53	2018-01-01	1.39	2.32	29.92	9.51	122057
25-35 Years	30	2018-01-01	1.6	2.31	27.55	9.64	19607
25-35 Years	50	2018-01-01	1.83	2.63	28.49	10.5	21260
25-35 Years	35	2018-01-01	1.11	3.21	33.46	11.96	18158
25-35 Years	32	2018-01-01	1.06	2.39	30.12	10.74	63045
25-35 Years	06	2018-01-01	1.42	3	28.05	11.41	354190
25-35 Years	12	2018-01-01	1.35	3.51	34.97	14.47	236169
25-35 Years	08	2018-01-01	1.29	2.54	26.02	9.58	189683
25-35 Years	49	2018-01-01	1.96	2.96	29.1	10.49	53503
25-35 Years	09	2018-01-01	1.15	2.99	31.24	14.95	184227
25-35 Years	54	2018-01-01	1.06	4.13	40.3	15.68	50770
25-35 Years	11	2018-01-01	0.61	1.46	NA	NA	5210
25-35 Years	00	2018-01-01	1.65	2.99	35.08	14.22	8161135
35-45 Years	01	2018-01-01	5.96	8.85	49	25.78	23941
35-45 Years	45	2018-01-01	5.32	8.12	45.45	20.39	156746
35-45 Years	39	2018-01-01	4.83	7.78	46.18	21.58	703822
35-45 Years	29	2018-01-01	4.85	8.3	45.8	17.86	62905
35-45 Years	21	2018-01-01	4.92	7.83	49.64	20.51	203632
35-45 Years	40	2018-01-01	5.01	8.1	43.29	16.19	68233
35-45 Years	26	2018-01-01	4.59	7.09	44.31	19.26	303638
35-45 Years	51	2018-01-01	4.36	6.82	42.08	16.5	336889
35-45 Years	18	2018-01-01	5.15	8.12	47.05	19.31	227296
35-45 Years	20	2018-01-01	4.63	7.7	43.65	18.29	57684
35-45 Years	37	2018-01-01	4.53	7.52	43.81	20.99	391996
35-45 Years	22	2018-01-01	4.56	8.1	46.03	20.85	156370
35-45 Years	23	2018-01-01	4.01	5.81	37.04	18.16	52053
35-45 Years	28	2018-01-01	4.74	8.43	47.75	14.27	108917
35-45 Years	04	2018-01-01	4.57	7.39	41.29	17.99	66307
35-45 Years	56	2018-01-01	4.74	7.13	42.96	14.8	9769
35-45 Years	24	2018-01-01	3.81	7.29	42.08	21.17	111332
35-45 Years	17	2018-01-01	4.57	5.86	41.15	14.8	418882
35-45 Years	27	2018-01-01	4.07	5.89	41.23	20.83	238845
35-45 Years	55	2018-01-01	4.28	6.08	43.95	17.65	276134
35-45 Years	15	2018-01-01	4.27	8.13	32.63	15.28	49103
35-45 Years	42	2018-01-01	3.26	5.96	40.7	18.39	522183
35-45 Years	36	2018-01-01	3.36	5.43	36.3	16.96	383886
35-45 Years	47	2018-01-01	4.18	8.07	46.36	14.19	76189
35-45 Years	05	2018-01-01	4.64	9.11	50.63	20.27	70309
35-45 Years	31	2018-01-01	4.22	7.09	41.34	15.36	47668
35-45 Years	44	2018-01-01	3.48	6.86	27.34	16.69	48251
35-45 Years	19	2018-01-01	4.1	6.33	46.15	24.55	142122
35-45 Years	41	2018-01-01	4.06	6.74	37.68	17	166476
35-45 Years	02	2018-01-01	4.06	5.44	37.18	18.36	1084
35-45 Years	16	2018-01-01	3.51	5.88	36.16	14.86	58000
35-45 Years	10	2018-01-01	4.25	7.38	45.55	17.92	21147
35-45 Years	13	2018-01-01	4.26	7.58	41.46	17.84	179761
35-45 Years	46	2018-01-01	3.88	5.38	39.24	21.03	36255
35-45 Years	25	2018-01-01	3.05	5.62	33.66	20.42	225643
35-45 Years	33	2018-01-01	3.35	5.19	38.29	14.86	44832
35-45 Years	38	2018-01-01	3.76	6.08	45.61	27.49	53470
35-45 Years	48	2018-01-01	4.4	8.47	41.19	21.95	669615
35-45 Years	34	2018-01-01	2.51	5.18	34.83	13.24	119466
35-45 Years	53	2018-01-01	3.34	5.51	34.71	12.12	115747
35-45 Years	30	2018-01-01	3.01	4.22	32.41	12.34	18881
35-45 Years	50	2018-01-01	3.1	4.99	35.1	13.04	24099
35-45 Years	35	2018-01-01	3.41	8.25	38.35	14.45	15921
35-45 Years	32	2018-01-01	2.64	5.61	34.89	15.38	56779
35-45 Years	06	2018-01-01	3.06	6.61	33.15	14.64	357732
35-45 Years	12	2018-01-01	2.84	7.24	39.62	18.71	241301
35-45 Years	08	2018-01-01	3.13	5.51	31.91	13.09	172082
35-45 Years	49	2018-01-01	3.68	5.81	34.05	11.97	53698
35-45 Years	09	2018-01-01	2.25	6.16	36.67	18.22	193318
35-45 Years	54	2018-01-01	2.33	9.28	47.05	20.4	56741
35-45 Years	11	2018-01-01	2.29	4.03	NA	NA	2926
35-45 Years	00	2018-01-01	4.03	6.92	41.17	18.47	8318490
45-55 Years	01	2018-01-01	9.99	14.79	52.08	27.91	33201
45-55 Years	45	2018-01-01	9.95	14.83	48.8	22.83	193386
45-55 Years	39	2018-01-01	9.35	14.23	49.42	24.32	819882
45-55 Years	29	2018-01-01	9.09	15.06	49.8	20.2	74329
45-55 Years	21	2018-01-01	9.43	14.32	52.69	23.05	242893
45-55 Years	40	2018-01-01	9.56	14.86	46.2	18.73	78835
45-55 Years	26	2018-01-01	9.11	13.29	47.14	21.7	354866
45-55 Years	51	2018-01-01	8.52	12.71	44.8	18.83	405544
45-55 Years	18	2018-01-01	9.75	14.76	50.48	21.32	255736
45-55 Years	20	2018-01-01	8.59	13.7	46.94	20.63	64828
45-55 Years	37	2018-01-01	8.85	13.95	47.06	23.69	477023
45-55 Years	22	2018-01-01	8.89	15.04	48.9	23.91	175357
45-55 Years	23	2018-01-01	7.46	10.52	40.37	20.73	67977
45-55 Years	28	2018-01-01	8.9	14.96	49.64	15.9	129019
45-55 Years	04	2018-01-01	8.09	12.31	42.83	19.07	81769
45-55 Years	56	2018-01-01	8.28	12.43	46.12	17.78	11200
45-55 Years	24	2018-01-01	7.36	13.82	44.59	22.15	137235
45-55 Years	17	2018-01-01	8.69	10.82	43.95	16.23	479067
45-55 Years	27	2018-01-01	8.15	11.2	44.74	24.55	248810
45-55 Years	55	2018-01-01	8.4	11.48	47.48	20.37	308113
45-55 Years	15	2018-01-01	7.61	14.31	32.07	16.4	60643
45-55 Years	42	2018-01-01	6.77	11.72	44.19	20.32	633634
45-55 Years	36	2018-01-01	6.73	10.68	39.31	18.78	488845
45-55 Years	47	2018-01-01	7.55	14.07	48.51	15.78	97496
45-55 Years	05	2018-01-01	8.07	15.63	51.46	21.31	83038
45-55 Years	31	2018-01-01	8.2	13.07	44.76	17.63	49776
45-55 Years	44	2018-01-01	6.81	13	30.55	18.67	63114
45-55 Years	19	2018-01-01	8.24	12.35	49.65	28.44	143506
45-55 Years	41	2018-01-01	7.96	12.83	40.45	19.18	161760
45-55 Years	02	2018-01-01	8.66	13.03	45.26	23.08	1213
45-55 Years	16	2018-01-01	6.31	10.23	38.49	16.91	63021
45-55 Years	10	2018-01-01	8.27	13.7	47.72	19.49	27607
45-55 Years	13	2018-01-01	8.47	14.08	44.69	21.6	213671
45-55 Years	46	2018-01-01	7.55	10.29	41.91	24.12	36734
45-55 Years	25	2018-01-01	6.29	11.2	36.78	22.07	269854
45-55 Years	33	2018-01-01	5.77	9.01	41.21	16.14	61492
45-55 Years	38	2018-01-01	7.48	11.89	49.3	31.62	50776
45-55 Years	48	2018-01-01	8.23	15.72	44.64	24.5	739858
45-55 Years	34	2018-01-01	5.43	10.54	38.29	14.99	152347
45-55 Years	53	2018-01-01	6.38	10.14	36.07	13.36	119237
45-55 Years	30	2018-01-01	6.25	8.82	36.9	14.5	18871
45-55 Years	50	2018-01-01	4.98	8.28	38.18	13.72	32082
45-55 Years	35	2018-01-01	5.42	13.03	38.17	15.69	17970
45-55 Years	32	2018-01-01	5.29	11.17	37.38	18.68	63740
45-55 Years	06	2018-01-01	5.66	12.18	35.12	16	402149
45-55 Years	12	2018-01-01	5.24	12.74	40.93	20.84	311029
45-55 Years	08	2018-01-01	6.22	10.29	34.1	15.27	168297
45-55 Years	49	2018-01-01	6.99	10.49	35.35	12.41	47179
45-55 Years	09	2018-01-01	4.35	11.45	39.84	19.69	252930
