age	geography	time	diabetes_a1c_6_5	diabetes_dx_ccw	obesity_bmi	obesity_dx_ccw	n_patients_chronic
Total	38	2018-01-01	5.3	9.06	33.5	20.09	433887
Total	48	2018-01-01	5.28	10.68	28.6	15.64	5889071
Total	34	2018-01-01	5.15	11.17	30.55	11.29	975181
Total	53	2018-01-01	5	8.67	26.82	9.49	903895
Total	30	2018-01-01	4.9	7.25	25.95	9.41	152835
Total	50	2018-01-01	4.63	8.48	29.84	10.13	223239
Total	35	2018-01-01	4.52	11.25	28.68	11.01	135622
Total	32	2018-01-01	4.49	9.32	27.66	13.69	456283
Total	06	2018-01-01	4.34	9.98	25.36	11.63	2946988
Total	12	2018-01-01	4.3	10.78	28.5	14.21	2402592
Total	08	2018-01-01	4.27	7.51	22.34	10.39	1501938
Total	49	2018-01-01	4.24	7.46	23.62	8.45	407961
Total	09	2018-01-01	3.86	10.51	29.82	15.16	1749731
Total	54	2018-01-01	3.27	14.27	37.11	15.29	491329
Total	11	2018-01-01	2.29	5.02	NA	NA	21545
Total	00	2018-01-01	6.14	10.85	31.74	14.49	71183551
<18 Years	01	2019-01-01	0.68	0.95	6.78	2.77	25557
<18 Years	45	2019-01-01	0.52	0.65	6.69	6.88	342295
<18 Years	18	2019-01-01	0.22	0.36	6.2	4.44	411825
<18 Years	40	2019-01-01	0.18	0.36	5.89	2.73	117600
<18 Years	29	2019-01-01	0.2	0.45	6.88	2.32	69287
<18 Years	39	2019-01-01	0.29	0.49	6.1	5.7	980671
<18 Years	20	2019-01-01	0.39	0.56	6.75	6.29	83920
<18 Years	21	2019-01-01	0.36	0.53	7.36	3.54	324754
<18 Years	26	2019-01-01	0.5	0.65	5.96	3.63	513334
<18 Years	37	2019-01-01	0.41	0.62	5.34	4.89	648072
<18 Years	51	2019-01-01	0.37	0.6	5.3	3.21	426208
<18 Years	28	2019-01-01	0.55	0.7	7.42	2.81	230116
<18 Years	22	2019-01-01	0.4	0.52	6.46	4.24	285122
<18 Years	24	2019-01-01	0.49	0.73	5.18	4.24	141616
<18 Years	54	2019-01-01	0.82	1.18	7.83	4.81	99183
<18 Years	23	2019-01-01	0.56	0.66	6.18	4.2	91711
<18 Years	04	2019-01-01	0.42	0.62	4.38	3.71	64766
<18 Years	56	2019-01-01	0.34	0.63	3.58	2.43	21819
<18 Years	27	2019-01-01	0.31	0.44	4.51	5.13	415257
<18 Years	17	2019-01-01	0.39	0.54	5.38	4.86	905500
<18 Years	15	2019-01-01	0.42	0.46	4.36	3.09	73692
<18 Years	42	2019-01-01	0.19	0.41	5.74	5.56	705699
<18 Years	55	2019-01-01	0.42	0.53	4.96	3.52	623532
<18 Years	36	2019-01-01	0.36	0.5	5.36	7.71	611984
<18 Years	44	2019-01-01	0.54	0.69	3.87	6.06	85660
<18 Years	31	2019-01-01	0.23	0.48	5.87	1.87	63703
<18 Years	02	2019-01-01	NA	NA	2.97	3.22	1988
<18 Years	47	2019-01-01	0.52	0.78	6.87	2.63	104725
<18 Years	10	2019-01-01	0.53	0.62	6.45	8.92	104066
<18 Years	13	2019-01-01	0.41	0.77	4.48	3.84	560196
<18 Years	05	2019-01-01	0.74	0.87	6.69	4.39	168603
<18 Years	25	2019-01-01	0.32	0.46	5.31	10.41	309942
<18 Years	16	2019-01-01	0.62	0.74	4.34	3.64	117902
<18 Years	19	2019-01-01	0.54	0.62	5.77	3.98	294982
<18 Years	46	2019-01-01	0.4	0.51	4.18	2.68	81879
<18 Years	35	2019-01-01	0.12	0.36	4.54	2.27	16705
<18 Years	33	2019-01-01	0.7	0.79	5.74	3.77	81777
<18 Years	41	2019-01-01	0.55	0.67	5.56	5.99	325056
<18 Years	34	2019-01-01	0.38	0.49	5.25	3.8	136270
<18 Years	38	2019-01-01	0.33	0.46	4.75	3.49	110192
<18 Years	48	2019-01-01	0.44	0.59	5.12	4.95	1895300
<18 Years	53	2019-01-01	0.27	0.39	4.51	2.77	179726
<18 Years	30	2019-01-01	0.34	0.5	3.39	2.47	30973
<18 Years	12	2019-01-01	0.73	1.01	5.11	4.32	569142
<18 Years	50	2019-01-01	0.94	1.05	5.2	3.67	32933
<18 Years	32	2019-01-01	0.39	0.57	4.87	4.94	93284
<18 Years	06	2019-01-01	0.36	0.57	5.02	6.76	704328
<18 Years	08	2019-01-01	0.36	0.58	3.85	4.81	401038
<18 Years	49	2019-01-01	0.09	0.38	3.03	2.6	106515
<18 Years	09	2019-01-01	0.57	0.74	5.95	8.62	322345
<18 Years	11	2019-01-01	NA	1.01	NA	NA	1389
<18 Years	00	2019-01-01	0.41	0.59	5.44	4.97	15318056
18-25 Years	01	2019-01-01	1.83	2.75	28.08	11.12	12114
18-25 Years	45	2019-01-01	1.53	2.2	28.32	10.72	114736
18-25 Years	18	2019-01-01	1.19	1.8	30.12	9.71	153732
18-25 Years	40	2019-01-01	0.93	1.84	30.91	7.53	43590
18-25 Years	29	2019-01-01	1.19	2.05	28.01	8.84	39587
18-25 Years	39	2019-01-01	1.08	1.89	28.19	11.69	461285
18-25 Years	20	2019-01-01	1.4	2.4	26.89	8.88	36606
18-25 Years	21	2019-01-01	1.16	1.91	32.44	11.07	125120
18-25 Years	26	2019-01-01	1.2	1.8	26.48	9.54	221858
18-25 Years	37	2019-01-01	1.04	1.75	26.46	10.32	268796
18-25 Years	51	2019-01-01	1.08	1.8	25.32	8.02	194821
18-25 Years	28	2019-01-01	1.36	2.1	31.82	7.06	80638
18-25 Years	22	2019-01-01	1.03	1.71	28.07	9.03	102414
18-25 Years	24	2019-01-01	1.12	2.01	24.29	11.15	76991
18-25 Years	54	2019-01-01	1.55	2.64	31.93	11.39	40912
18-25 Years	23	2019-01-01	1.52	2	24.05	10.26	34716
18-25 Years	04	2019-01-01	0.94	1.73	23.46	8.49	38022
18-25 Years	56	2019-01-01	1.31	1.91	22.62	5.92	6330
18-25 Years	27	2019-01-01	1.1	1.54	23.21	10.23	153764
18-25 Years	17	2019-01-01	1.06	1.62	24.03	8.41	303090
18-25 Years	15	2019-01-01	1.01	1.56	21.62	8.63	25571
18-25 Years	42	2019-01-01	0.81	1.57	24.73	9.87	357486
18-25 Years	55	2019-01-01	1.13	1.53	24.29	7.77	198822
18-25 Years	36	2019-01-01	1.01	1.53	21.02	10.12	267725
18-25 Years	44	2019-01-01	1.22	1.91	13.98	8.58	36398
18-25 Years	31	2019-01-01	1.35	1.93	24.45	5.98	40863
18-25 Years	02	2019-01-01	NA	NA	19.67	6.68	778
18-25 Years	47	2019-01-01	1.19	2.26	31.03	6.8	51547
18-25 Years	10	2019-01-01	1.68	2.4	29.93	13.09	19344
18-25 Years	13	2019-01-01	1.07	2.19	24.79	8.22	137867
18-25 Years	05	2019-01-01	1.52	2.51	33.09	10.59	48411
18-25 Years	25	2019-01-01	0.85	1.4	19.91	12.36	153526
18-25 Years	16	2019-01-01	1.56	2.11	21.97	7.7	37896
18-25 Years	19	2019-01-01	1.36	1.8	26.66	10.12	107792
18-25 Years	46	2019-01-01	1.23	1.52	22.51	9.49	27204
18-25 Years	35	2019-01-01	0.82	1.82	27.27	9.37	10552
18-25 Years	33	2019-01-01	1.57	1.91	22.53	8.32	30238
18-25 Years	41	2019-01-01	1.26	1.82	24.14	10.19	110549
18-25 Years	34	2019-01-01	0.9	1.56	21.06	6.99	79055
18-25 Years	38	2019-01-01	0.98	1.49	25.65	12.24	40394
18-25 Years	48	2019-01-01	1.19	2.01	26.44	12.49	438614
18-25 Years	53	2019-01-01	0.96	1.47	21.19	6.28	74247
18-25 Years	30	2019-01-01	1.17	1.51	16.67	5.26	14692
18-25 Years	12	2019-01-01	1.43	2.59	22.46	9.23	172947
18-25 Years	50	2019-01-01	1.67	2.16	18.82	7.8	14139
18-25 Years	32	2019-01-01	0.73	1.4	22.17	6.64	43921
18-25 Years	06	2019-01-01	0.98	1.8	21.08	8.24	263551
18-25 Years	08	2019-01-01	0.95	1.66	18.51	7.07	129992
18-25 Years	49	2019-01-01	1.27	2.01	18.61	5.72	37084
18-25 Years	09	2019-01-01	1.13	1.92	21.39	12.25	133110
18-25 Years	11	2019-01-01	0.81	1.26	NA	NA	4937
18-25 Years	00	2019-01-01	1.11	1.82	24.87	9.66	5732120
25-35 Years	01	2019-01-01	2.61	3.94	40.99	19.87	19719
25-35 Years	45	2019-01-01	2.39	3.69	39.91	16.99	174084
25-35 Years	18	2019-01-01	2.23	3.44	42.36	16.29	232088
25-35 Years	40	2019-01-01	2	3.61	41.9	12.85	67812
25-35 Years	29	2019-01-01	2.18	3.75	40.32	15.26	64009
25-35 Years	39	2019-01-01	2.02	3.48	40.93	18.96	714634
25-35 Years	20	2019-01-01	2.21	3.82	39.13	15.48	57099
25-35 Years	21	2019-01-01	1.97	3.32	44.68	17.86	191917
25-35 Years	26	2019-01-01	1.88	3.02	38.74	16.19	327660
25-35 Years	37	2019-01-01	1.86	3.29	38.89	17.38	422732
25-35 Years	51	2019-01-01	1.85	3.09	37.86	13.71	330157
25-35 Years	28	2019-01-01	2.07	3.56	42.84	11.41	119882
25-35 Years	22	2019-01-01	1.73	3.31	40.06	15.3	156105
25-35 Years	24	2019-01-01	1.68	3.36	36.67	18.69	137397
25-35 Years	54	2019-01-01	1.97	4.18	43.17	18.05	56526
25-35 Years	23	2019-01-01	1.82	2.85	32.95	15.12	55154
25-35 Years	04	2019-01-01	1.92	3.3	35.19	14.27	66439
25-35 Years	56	2019-01-01	2.15	3.38	35.72	10.61	9833
25-35 Years	27	2019-01-01	1.83	2.73	35.41	16.86	247774
25-35 Years	17	2019-01-01	1.77	2.75	35.88	13.62	436452
25-35 Years	15	2019-01-01	1.93	3.46	31.22	14.12	45217
25-35 Years	42	2019-01-01	1.39	2.66	36.15	16.03	580109
25-35 Years	55	2019-01-01	1.73	2.52	37.54	14.26	289885
25-35 Years	36	2019-01-01	1.49	2.61	31.32	14.75	420968
25-35 Years	44	2019-01-01	1.45	3.16	22.55	13.32	52359
25-35 Years	31	2019-01-01	2.15	3.45	38.75	12.24	56453
25-35 Years	02	2019-01-01	2.32	3.48	32.77	13.29	1294
25-35 Years	47	2019-01-01	1.72	3.52	42.4	11.13	77737
25-35 Years	10	2019-01-01	1.74	3.34	42.9	18.18	24197
25-35 Years	13	2019-01-01	1.78	3.37	37.47	13.8	186368
25-35 Years	05	2019-01-01	1.9	3.92	45.38	17.32	72334
25-35 Years	25	2019-01-01	1.33	2.48	30.01	17.84	242747
25-35 Years	16	2019-01-01	1.87	3.04	33.1	12.63	58324
25-35 Years	19	2019-01-01	1.72	2.79	40.75	18.89	150734
25-35 Years	46	2019-01-01	1.79	2.46	35.04	16.88	38083
25-35 Years	35	2019-01-01	1.62	3.64	37.73	14.08	19864
25-35 Years	33	2019-01-01	1.64	2.48	33.58	13.31	44389
25-35 Years	41	2019-01-01	1.66	2.85	32.42	14.05	178996
25-35 Years	34	2019-01-01	1.29	2.53	31.97	11.74	138770
25-35 Years	38	2019-01-01	1.7	2.62	38.87	21.35	62508
25-35 Years	48	2019-01-01	1.74	3.55	36.97	18.92	670582
25-35 Years	53	2019-01-01	1.5	2.39	30.03	10.1	129753
25-35 Years	30	2019-01-01	1.65	2.2	27.83	10.37	20834
25-35 Years	12	2019-01-01	1.48	3.47	35.28	15.48	246557
25-35 Years	50	2019-01-01	1.65	2.53	26.89	12.15	24932
25-35 Years	32	2019-01-01	1.06	2.46	31.81	11.22	73262
25-35 Years	06	2019-01-01	1.42	3.06	29.8	11.83	439329
25-35 Years	08	2019-01-01	1.38	2.52	26.2	9.97	205379
25-35 Years	49	2019-01-01	1.96	3.16	29.27	10.67	57285
25-35 Years	09	2019-01-01	1.26	3.08	32.88	16.09	198178
25-35 Years	11	2019-01-01	0.79	1.66	NA	NA	6041
25-35 Years	00	2019-01-01	1.72	3.07	36.18	15.46	8874446
35-45 Years	01	2019-01-01	5.91	8.74	49.35	26.57	25713
35-45 Years	45	2019-01-01	5.6	8.42	46.2	21.72	179401
35-45 Years	18	2019-01-01	5.6	8.26	48.5	20.96	241326
35-45 Years	40	2019-01-01	5.28	8.72	47.59	18.29	73699
35-45 Years	29	2019-01-01	4.91	8.26	47.25	19.82	68280
35-45 Years	39	2019-01-01	4.95	7.96	46.93	24.08	727350
35-45 Years	20	2019-01-01	4.74	7.77	44.63	19.94	62815
35-45 Years	21	2019-01-01	5.13	7.9	50.15	22.27	211608
35-45 Years	26	2019-01-01	4.72	7.13	44.9	21.21	309623
35-45 Years	37	2019-01-01	4.74	7.78	44.96	22.67	440588
35-45 Years	51	2019-01-01	4.34	6.79	42.53	17.85	366339
35-45 Years	28	2019-01-01	5.21	8.52	48.92	15.14	131993
35-45 Years	22	2019-01-01	4.59	8.05	47.51	21.96	167567
35-45 Years	24	2019-01-01	4.07	7.42	43.75	23.5	135177
35-45 Years	54	2019-01-01	4.86	9.86	49.51	23.11	62641
35-45 Years	23	2019-01-01	4.12	5.99	38.97	19.77	57449
35-45 Years	04	2019-01-01	4.77	7.51	41.78	19.1	68477
35-45 Years	56	2019-01-01	4.79	7.53	41.58	15.42	10804
35-45 Years	27	2019-01-01	4.25	6.04	41.78	22.4	249456
35-45 Years	17	2019-01-01	4.6	6.6	42.37	17.45	456095
35-45 Years	15	2019-01-01	4.35	7.97	32.83	15.8	51043
35-45 Years	42	2019-01-01	3.38	6.07	41.84	19.56	576345
35-45 Years	55	2019-01-01	4.3	6.07	44.41	18.65	288850
35-45 Years	36	2019-01-01	3.53	5.69	36.83	18.06	422293
35-45 Years	44	2019-01-01	3.64	7.06	28.54	17.97	50685
35-45 Years	31	2019-01-01	4.34	7.22	43.46	16.1	55061
35-45 Years	02	2019-01-01	3.77	5.4	37.65	18.95	1166
35-45 Years	47	2019-01-01	4.25	8.14	48.13	15.65	80988
35-45 Years	10	2019-01-01	4.34	7.33	48.13	20.23	23943
35-45 Years	13	2019-01-01	4.59	8.01	43.62	20.21	194154
35-45 Years	05	2019-01-01	4.8	9.22	49.99	21.71	77804
35-45 Years	25	2019-01-01	3.26	5.79	36.23	23.18	237477
35-45 Years	16	2019-01-01	3.58	5.9	37.1	15.97	64183
35-45 Years	19	2019-01-01	4.19	6.41	46.71	24.39	149556
35-45 Years	46	2019-01-01	3.94	5.3	40.12	22.88	38541
35-45 Years	35	2019-01-01	4.08	9.05	42.13	16.42	18147
35-45 Years	33	2019-01-01	3.56	5.35	40.08	16	46399
35-45 Years	41	2019-01-01	4	6.57	37.43	17.01	177729
35-45 Years	34	2019-01-01	2.71	5.45	37.28	14.64	152810
35-45 Years	38	2019-01-01	3.91	6.13	45.84	29.01	57323
35-45 Years	48	2019-01-01	4.39	8.54	42.54	23.75	734716
35-45 Years	53	2019-01-01	3.53	5.55	34.61	12.61	125877
35-45 Years	30	2019-01-01	3.07	4.24	32.47	13.11	20456
35-45 Years	12	2019-01-01	3.04	7.22	40.15	20.03	253626
35-45 Years	50	2019-01-01	2.82	4.8	32.87	15.01	28466
35-45 Years	32	2019-01-01	2.72	5.92	36.97	16.16	65083
35-45 Years	06	2019-01-01	3.14	7.08	34.89	15.26	438580
35-45 Years	08	2019-01-01	3.19	5.43	32.16	13.71	188373
35-45 Years	49	2019-01-01	3.8	6.06	34.29	12.38	57771
35-45 Years	09	2019-01-01	2.48	6.34	38.82	19.71	206798
35-45 Years	11	2019-01-01	2.02	4.33	NA	NA	3465
35-45 Years	00	2019-01-01	4.16	7.08	42.14	19.93	9073475
45-55 Years	01	2019-01-01	10.02	14.81	52.32	28.2	35686
45-55 Years	45	2019-01-01	10.72	15.59	49.95	24.91	215916
45-55 Years	18	2019-01-01	10.9	15.48	52.34	23.65	265178
45-55 Years	40	2019-01-01	10.23	15.99	50.77	21.68	83617
45-55 Years	29	2019-01-01	9.61	15.34	52.17	23.29	78287
45-55 Years	39	2019-01-01	9.81	14.82	50.76	27.47	822779
45-55 Years	20	2019-01-01	9.05	14.1	48.26	22.64	68307
45-55 Years	21	2019-01-01	9.91	14.63	53.72	25.46	247188
45-55 Years	26	2019-01-01	9.57	13.78	48.27	24.4	351183
45-55 Years	37	2019-01-01	9.39	14.68	48.66	26.16	523802
45-55 Years	51	2019-01-01	8.58	12.89	45.61	20.64	424583
45-55 Years	28	2019-01-01	9.62	15.3	51.12	17.04	157106
45-55 Years	22	2019-01-01	9.19	15.49	50.89	25.83	180767
45-55 Years	24	2019-01-01	8.28	14.36	46.63	25.33	159414
45-55 Years	54	2019-01-01	9.24	17.76	53.42	26.02	77608
45-55 Years	23	2019-01-01	7.74	10.93	42.44	23.25	72147
45-55 Years	04	2019-01-01	8.57	12.55	44.1	20.63	82671
45-55 Years	56	2019-01-01	8.75	12.79	46.08	18.35	11812
45-55 Years	27	2019-01-01	8.65	11.59	45.74	26.65	249888
45-55 Years	17	2019-01-01	8.93	12.47	45.46	19.45	510229
45-55 Years	15	2019-01-01	8	14.51	32.3	16.75	61394
45-55 Years	42	2019-01-01	7.15	12.17	45.74	22.21	675572
45-55 Years	55	2019-01-01	8.62	11.73	48.52	21.77	309757
45-55 Years	36	2019-01-01	7.02	11.07	39.98	20.24	517262
45-55 Years	44	2019-01-01	7.24	13.28	32.29	20.37	63522
45-55 Years	31	2019-01-01	8.52	13.53	47.26	18.81	55721
45-55 Years	02	2019-01-01	9.32	13.1	44.67	24.35	1191
45-55 Years	47	2019-01-01	7.77	14.46	50.14	17.5	102119
45-55 Years	10	2019-01-01	8.86	14.08	50.77	21.79	29572
45-55 Years	13	2019-01-01	9.11	14.94	46.67	24.36	228384
45-55 Years	05	2019-01-01	8.29	16.13	51.27	23.03	90059
45-55 Years	25	2019-01-01	6.84	11.58	39.67	25.66	274525
45-55 Years	16	2019-01-01	6.67	10.54	39.97	18.43	68357
45-55 Years	19	2019-01-01	8.48	12.65	50.79	28.8	145748
45-55 Years	46	2019-01-01	7.96	10.62	43.34	26.43	37331
45-55 Years	35	2019-01-01	7.07	14.9	42.62	18.15	20034
45-55 Years	33	2019-01-01	6.42	9.66	43.17	18.04	61222
45-55 Years	41	2019-01-01	8.13	12.91	40.76	19.52	169641
45-55 Years	34	2019-01-01	5.81	11.14	40.94	16.97	189689
45-55 Years	38	2019-01-01	7.95	12.16	49.79	33.79	52200
45-55 Years	48	2019-01-01	8.37	15.94	46.03	26.62	796424
45-55 Years	53	2019-01-01	6.81	10.43	36.71	14.27	125114
45-55 Years	30	2019-01-01	6.52	9.08	37.82	16.05	19694
45-55 Years	12	2019-01-01	5.7	12.92	41.54	22.64	318163
45-55 Years	50	2019-01-01	4.82	8.28	36.49	16.58	35698
45-55 Years	32	2019-01-01	5.51	11.69	39.36	19.52	69429
45-55 Years	06	2019-01-01	5.87	13.46	36.94	16.87	476467
45-55 Years	08	2019-01-01	6.42	10.28	34.74	16.16	180545
45-55 Years	49	2019-01-01	7.07	11.28	35.84	13.31	49675
45-55 Years	09	2019-01-01	4.72	11.81	41.84	21.74	259829
45-55 Years	11	2019-01-01	4.75	9.05	NA	NA	2652
45-55 Years	00	2019-01-01	8.17	13.41	45.46	22.71	10249866
55-65 Years	01	2019-01-01	13.3	20.29	49.53	27.34	46905
55-65 Years	45	2019-01-01	14.52	21.58	47.18	24.28	252944
55-65 Years	18	2019-01-01	14.85	21.52	51.34	23.42	306810
55-65 Years	40	2019-01-01	13.99	22.13	49.2	22.02	101839
55-65 Years	29	2019-01-01	12.84	21.02	50.74	22.87	99011
55-65 Years	39	2019-01-01	13.72	20.92	50.01	27.36	977528
55-65 Years	20	2019-01-01	12.76	19.88	48.83	23.53	89947
55-65 Years	21	2019-01-01	13.77	20.47	52.3	25.23	286392
55-65 Years	26	2019-01-01	13.44	19.48	47.18	24.57	419835
55-65 Years	37	2019-01-01	12.95	21.04	47.28	25.71	576724
55-65 Years	51	2019-01-01	12.38	18.94	45.25	20.71	497804
55-65 Years	28	2019-01-01	12.79	20.79	47.41	16.04	191275
55-65 Years	22	2019-01-01	12.9	21.91	48.87	25.72	216462
55-65 Years	24	2019-01-01	11.63	20.45	45.31	24.99	190643
55-65 Years	54	2019-01-01	12.14	24	51.55	24.34	91364
55-65 Years	23	2019-01-01	10.44	14.9	40.93	22.62	98338
55-65 Years	04	2019-01-01	10.83	16.29	41.89	19.38	104727
55-65 Years	56	2019-01-01	11.02	16.88	43.7	18.16	17063
55-65 Years	27	2019-01-01	11.97	16.31	46.22	27.91	305762
55-65 Years	17	2019-01-01	12.25	17.77	45.2	19.07	604860
55-65 Years	15	2019-01-01	10.38	19.76	30.34	15.86	72823
55-65 Years	42	2019-01-01	10.38	17.82	45.57	22.21	823683
55-65 Years	55	2019-01-01	12.19	16.76	48.37	22.84	368838
55-65 Years	36	2019-01-01	10.3	16.61	40.29	20.7	627603
55-65 Years	44	2019-01-01	10.28	18.53	33.22	20.8	79313
55-65 Years	31	2019-01-01	10.74	18.15	46.45	18.48	72588
55-65 Years	02	2019-01-01	11.06	15.58	40.61	21.22	1682
55-65 Years	47	2019-01-01	10.45	19.92	46.83	16.27	119457
55-65 Years	10	2019-01-01	11.83	19.58	49.04	22.37	40878
55-65 Years	13	2019-01-01	13.06	21.83	45.71	25.78	236902
55-65 Years	05	2019-01-01	10.89	21.72	48.57	21.5	108675
55-65 Years	25	2019-01-01	10.13	17.53	40.35	25.64	304955
55-65 Years	16	2019-01-01	9.35	14.89	40.48	20.19	82820
55-65 Years	19	2019-01-01	11.53	17.96	49.56	28.97	172786
55-65 Years	46	2019-01-01	10.62	14.54	42.61	26	47370
55-65 Years	35	2019-01-01	8.87	18.77	38.63	16.85	28646
55-65 Years	33	2019-01-01	8.79	13.54	41.93	18.1	80859
55-65 Years	41	2019-01-01	10.93	17.81	40.45	19.74	190500
55-65 Years	34	2019-01-01	8.57	17.19	41.49	17.01	229173
55-65 Years	38	2019-01-01	10.61	16.89	49.11	33.99	63781
55-65 Years	48	2019-01-01	11.3	22.43	45.24	26.48	871764
55-65 Years	53	2019-01-01	9.59	15.01	36.54	14.43	143169
55-65 Years	30	2019-01-01	9.24	12.91	38.2	14.95	25681
55-65 Years	12	2019-01-01	7.82	18.28	40.27	22.73	409924
55-65 Years	50	2019-01-01	6.3	11.28	35.69	15.75	50269
55-65 Years	32	2019-01-01	8.32	17.32	38.62	20.84	77115
55-65 Years	06	2019-01-01	8.15	19.28	36.89	16.83	549194
55-65 Years	08	2019-01-01	9.17	14.8	34.35	16.85	199366
55-65 Years	49	2019-01-01	9.14	15.77	36.02	13.72	53147
55-65 Years	09	2019-01-01	6.86	16.9	42.34	22.1	308555
55-65 Years	11	2019-01-01	6.83	13.1	NA	NA	2328
55-65 Years	00	2019-01-01	11.36	19.05	44.78	22.69	12073916
65+ Years	01	2019-01-01	14.93	24.6	40.35	26.91	72268
65+ Years	45	2019-01-01	17.02	27.28	39.89	21.48	366851
65+ Years	18	2019-01-01	17.36	27.69	45.73	19.67	414121
65+ Years	40	2019-01-01	15.96	27.27	41.89	19.23	152134
65+ Years	29	2019-01-01	14.44	26.13	43.67	19.55	155358
65+ Years	39	2019-01-01	16.41	27.46	45.05	23.68	1325936
65+ Years	20	2019-01-01	14.89	24.4	44.02	19.9	138374
65+ Years	21	2019-01-01	16.17	26.16	44.77	21.28	383470
65+ Years	26	2019-01-01	17.1	26.8	43.43	21.74	574783
65+ Years	37	2019-01-01	14.93	27.02	40.82	20.44	836914
65+ Years	51	2019-01-01	14.36	24.69	38.87	17.04	731623
65+ Years	28	2019-01-01	13.98	25.51	38.78	13	281184
65+ Years	22	2019-01-01	15.91	28.98	42.96	23.62	300083
65+ Years	24	2019-01-01	13.87	26.5	38.83	21.03	268663
65+ Years	54	2019-01-01	13.55	29.91	43.76	19.1	130437
65+ Years	23	2019-01-01	13.52	20.48	36.3	20	152130
65+ Years	04	2019-01-01	11.4	19.91	33.96	13.66	172451
65+ Years	56	2019-01-01	13.23	21.91	39.39	16.23	26819
65+ Years	27	2019-01-01	15.43	22.63	43.04	24.71	427340
65+ Years	17	2019-01-01	14.28	23.14	40.36	15.44	881578
65+ Years	15	2019-01-01	11.98	25.43	23	11.53	115773
65+ Years	42	2019-01-01	13.22	24.23	41.36	18.62	1182613
65+ Years	55	2019-01-01	15.63	23.56	45.01	21.72	467712
65+ Years	36	2019-01-01	12.74	22.84	36.05	18.19	913925
65+ Years	44	2019-01-01	12.76	26.2	31.98	19.65	109959
65+ Years	31	2019-01-01	10.6	21.23	41.13	14.36	119327
65+ Years	02	2019-01-01	12.27	19.12	34.66	17.57	2265
65+ Years	47	2019-01-01	10.55	24.36	37.73	12.44	178253
65+ Years	10	2019-01-01	14.92	26.49	42.08	19.68	62192
65+ Years	13	2019-01-01	15.1	27.08	39.02	23.75	314208
65+ Years	05	2019-01-01	11.33	25.33	39.51	15.98	160799
65+ Years	25	2019-01-01	13.33	24.77	37.09	20.99	390637
65+ Years	16	2019-01-01	12.69	20.92	39.13	20.43	128035
65+ Years	19	2019-01-01	13.25	23.23	44.47	24.39	244808
65+ Years	46	2019-01-01	14.31	21.19	40.25	24.45	63621
65+ Years	35	2019-01-01	9.06	21.99	29.78	13.12	47411
65+ Years	33	2019-01-01	11.17	18.38	36.92	14.72	107977
65+ Years	41	2019-01-01	12.17	21.67	36.33	16.71	295193
65+ Years	34	2019-01-01	10.43	23.36	35.8	13.29	332064
65+ Years	38	2019-01-01	13.82	24.22	45.42	31.67	84411
65+ Years	48	2019-01-01	12.46	26.62	39.44	22.31	1148365
65+ Years	53	2019-01-01	11.43	20.24	32.97	12.18	206221
65+ Years	30	2019-01-01	11.44	17.12	35.1	12.5	34646
65+ Years	12	2019-01-01	8.66	22.21	33.27	18.5	601436
65+ Years	50	2019-01-01	7.16	14.86	31.8	12.43	76042
65+ Years	32	2019-01-01	10.55	21.73	34.11	20.58	101516
65+ Years	06	2019-01-01	8.92	22.46	29.91	12.95	774890
65+ Years	08	2019-01-01	11.67	19.92	31.65	15.39	265872
65+ Years	49	2019-01-01	9.7	20.36	30.73	10.88	77227
65+ Years	09	2019-01-01	8.79	23.23	38.36	18.18	429784
65+ Years	11	2019-01-01	7	16.12	NA	NA	3071
65+ Years	00	2019-01-01	13.47	24.6	39.35	19.14	17024159
Total	01	2019-01-01	9.54	15.07	40.26	22.79	232589
Total	45	2019-01-01	8.37	12.91	34.72	17.71	1615410
Total	18	2019-01-01	8.16	12.44	37.59	16.32	1980321
Total	40	2019-01-01	8.15	13.54	37	15.11	621225
Total	29	2019-01-01	8.09	14.08	39.48	16.69	579792
Total	39	2019-01-01	8.06	12.99	38.11	19.91	5901956
Total	20	2019-01-01	7.91	12.79	37.07	16.88	540575
Total	21	2019-01-01	7.89	12.32	39.52	17.77	1727043
Total	26	2019-01-01	7.76	11.78	35.23	17.01	2642530
Total	37	2019-01-01	7.55	12.94	35.53	18.11	3688927
Total	51	2019-01-01	7.48	12.24	34.85	14.82	2959240
Total	28	2019-01-01	7.46	12.8	36.22	11.46	1164421
Total	22	2019-01-01	7.32	12.94	36.07	17.7	1385647
Total	24	2019-01-01	7.28	13.43	35.65	19.1	1088025
Total	54	2019-01-01	7.24	15.11	39.12	17.72	547004
Total	23	2019-01-01	7.17	10.6	31.53	16.72	554181
Total	04	2019-01-01	7.17	11.7	33.7	14.64	593930
Total	56	2019-01-01	6.9	11.1	31.8	12.4	105569
Total	27	2019-01-01	6.75	9.68	32.58	18.33	2094133
Total	17	2019-01-01	6.73	10.28	31.99	13.35	4004445
Total	15	2019-01-01	6.68	13.24	23.96	11.94	439106
Total	42	2019-01-01	6.48	11.61	35.29	16.67	4754814
Total	55	2019-01-01	6.44	9.28	33.01	14.79	2475213
Total	36	2019-01-01	6.37	10.86	30.41	15.92	3701607
Total	44	2019-01-01	6.28	12.19	24.04	15.51	468842
Total	31	2019-01-01	6.25	11.34	35.92	12.74	455557
