,Measures,Percentage with Has Any Encounters? preceded by Diagnosis (All): Obesity CCW definition within 24 months (%),,,,,,,,,,,Percentage with Has Any Encounters? preceded by BMI 30.0  or more within 24 months (%),,,,,,,,,,,Number of Patients,,,,,,,,,,
,,Jan 1 – Dec 31 2016,Jan 1 – Dec 31 2017,Jan 1 – Dec 31 2018,Jan 1 – Dec 31 2019,Jan 1 – Dec 31 2020,Jan 1 – Dec 31 2021,Jan 1 – Dec 31 2022,Jan 1 – Dec 31 2023,Jan 1 – Dec 31 2024,Jan 1 – Dec 31 2025,Jan 1 – Apr 14 2026,Jan 1 – Dec 31 2016,Jan 1 – Dec 31 2017,Jan 1 – Dec 31 2018,Jan 1 – Dec 31 2019,Jan 1 – Dec 31 2020,Jan 1 – Dec 31 2021,Jan 1 – Dec 31 2022,Jan 1 – Dec 31 2023,Jan 1 – Dec 31 2024,Jan 1 – Dec 31 2025,Jan 1 – Apr 14 2026,Jan 1 – Dec 31 2016,Jan 1 – Dec 31 2017,Jan 1 – Dec 31 2018,Jan 1 – Dec 31 2019,Jan 1 – Dec 31 2020,Jan 1 – Dec 31 2021,Jan 1 – Dec 31 2022,Jan 1 – Dec 31 2023,Jan 1 – Dec 31 2024,Jan 1 – Dec 31 2025,Jan 1 – Apr 14 2026
Age at Encounter in Years,State of Residence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Delaware,8.17%,9.35%,11.90%,13.09%,13.51%,13.91%,15.14%,14.94%,15.04%,15.34%,15.92%,21.23%,25.90%,28.83%,29.95%,30.33%,30.32%,31.28%,32.01%,32.27%,32.43%,33.72%,10622,14693,17237,19728,21749,25907,27370,29984,31425,31938,16852
,South Carolina,6.02%,7.22%,9.04%,10.03%,10.52%,10.08%,10.78%,11.10%,11.46%,11.87%,12.89%,22.74%,25.44%,27.74%,28.73%,28.58%,27.24%,28.53%,29.62%,30.30%,30.52%,31.84%,71954,95712,106726,122283,132757,174224,200091,223519,238866,239660,141536
,Massachusetts,8.44%,8.68%,9.17%,10.60%,11.07%,10.66%,10.98%,11.27%,11.38%,12.44%,14.56%,18.30%,17.99%,18.96%,20.00%,19.39%,17.99%,19.07%,20.29%,20.67%,22.19%,24.34%,102884,122410,147154,155538,159138,186984,195063,215317,244255,249973,138366
,Maryland,6.23%,7.49%,9.18%,10.45%,9.47%,9.06%,11.23%,11.44%,11.23%,11.61%,13.53%,21.73%,22.59%,23.49%,24.43%,21.54%,20.64%,25.31%,26.29%,26.68%,27.79%,29.90%,44251,56572,66163,78954,97586,120245,106405,109691,113761,113372,54646
,Tennessee,4.32%,4.81%,6.19%,7.56%,9.34%,10.74%,12.18%,13.34%,13.60%,14.11%,16.17%,28.78%,26.73%,29.50%,31.14%,30.86%,29.93%,30.79%,31.13%,30.13%,32.80%,35.71%,31579,41757,48768,52284,55891,67101,70138,73045,81524,93399,45831
,Wisconsin,6.15%,6.51%,7.07%,7.47%,7.49%,7.68%,8.46%,9.02%,9.38%,10.52%,11.31%,22.86%,23.47%,24.13%,24.61%,23.99%,23.78%,24.92%,25.49%,25.56%,26.42%,27.05%,198940,203578,209966,217928,231748,266202,255668,257408,259684,251045,147841
,Missouri,4.73%,6.08%,7.24%,7.95%,8.72%,10.56%,11.90%,11.69%,11.73%,11.82%,13.76%,22.22%,25.05%,26.55%,28.04%,27.84%,27.50%,27.61%,28.88%,29.20%,30.10%,32.84%,25498,33035,38051,40642,43029,49891,52892,65039,70799,71839,37522
,Illinois,4.91%,6.20%,6.86%,7.92%,9.02%,9.96%,10.98%,11.10%,11.44%,12.38%,13.60%,21.51%,22.27%,23.30%,24.28%,25.05%,25.34%,26.92%,27.42%,27.80%,28.84%,30.79%,248235,259022,280227,305248,321939,374554,361311,379034,391956,385744,206275
,Idaho,4.71%,5.73%,6.55%,6.93%,7.23%,8.04%,9.21%,10.04%,10.37%,10.95%,13.08%,15.73%,19.12%,20.74%,22.16%,22.86%,23.51%,24.68%,25.38%,25.49%,25.82%,28.34%,27596,32315,34586,38062,44205,49752,57350,59977,64865,67611,36611
,Connecticut,7.03%,7.99%,8.94%,9.68%,9.64%,9.26%,10.52%,11.39%,12.09%,11.42%,13.29%,18.22%,19.62%,21.06%,22.09%,21.58%,20.47%,22.20%,23.23%,23.93%,23.95%,26.28%,98899,113049,124609,132875,146613,180160,166611,166620,170884,176225,93555
,Georgia,5.17%,5.95%,6.87%,7.90%,8.74%,8.99%,9.75%,10.54%,11.27%,12.41%,14.82%,21.32%,21.64%,23.00%,24.77%,25.41%,25.21%,25.95%,26.82%,27.62%,29.23%,31.73%,108518,133919,172585,195249,202301,238590,254597,283599,301350,303819,144184
,Minnesota,6.47%,7.26%,8.00%,8.67%,8.69%,8.74%,9.40%,9.84%,10.39%,11.21%,12.68%,22.43%,22.79%,23.26%,23.57%,22.69%,21.93%,22.83%,23.37%,24.11%,25.17%,27.19%,144404,148051,151565,155839,161596,183619,172949,174870,176072,171583,90680
,Florida,6.70%,7.47%,8.43%,9.38%,9.78%,8.97%,9.05%,10.42%,11.38%,12.41%,14.09%,21.69%,21.93%,22.14%,22.55%,22.00%,20.93%,21.27%,23.93%,25.06%,26.50%,28.50%,138752,155470,166898,172847,182498,255648,369650,464311,503159,526269,261419
,Virginia,4.92%,5.64%,6.97%,8.33%,8.76%,9.06%,10.08%,10.27%,9.88%,10.42%,12.44%,23.32%,24.14%,25.16%,25.57%,25.06%,24.23%,25.56%,26.04%,26.25%,27.67%,30.27%,156976,179336,184633,196526,206229,243484,245675,270245,279269,276780,137116
,Kansas,5.25%,6.62%,7.86%,8.43%,8.65%,8.75%,9.51%,9.54%,10.15%,10.98%,12.80%,24.16%,25.91%,27.01%,27.56%,26.64%,25.99%,26.79%,26.79%,27.31%,28.37%,30.50%,30280,32949,35020,37012,39444,44955,44387,56057,60848,64276,37212
,Maine,6.07%,6.71%,8.12%,9.11%,9.16%,8.85%,9.84%,10.03%,10.39%,10.53%,12.18%,18.25%,19.72%,22.34%,24.15%,23.99%,22.94%,25.02%,25.35%,25.79%,25.62%,28.19%,22901,29709,32494,34863,35341,41716,41904,40969,42378,42536,24599
,Texas,8.35%,9.03%,10.05%,10.78%,11.14%,10.51%,11.26%,12.02%,12.66%,13.44%,14.92%,23.73%,24.26%,25.80%,26.88%,27.80%,26.72%,28.98%,29.73%,29.74%,30.79%,32.60%,269821,335768,393055,443333,483309,671947,622171,654855,703619,735733,361388
,Oklahoma,4.97%,6.96%,7.54%,7.64%,7.68%,8.14%,8.75%,9.68%,10.58%,11.82%,13.13%,24.17%,25.03%,28.61%,31.27%,31.28%,30.89%,31.19%,31.79%,32.76%,34.59%,36.17%,36428,51094,66029,70155,73891,79963,84385,95550,104451,107561,57062
,New Jersey,5.20%,5.64%,7.00%,8.02%,8.86%,8.56%,9.61%,9.91%,10.23%,11.26%,13.56%,18.73%,19.43%,20.52%,21.60%,21.97%,20.23%,21.84%,23.02%,24.11%,25.51%,27.60%,41725,53667,71795,89509,102403,140373,149279,170629,192318,198685,96735
,Nebraska,4.53%,5.11%,5.75%,6.13%,6.03%,6.10%,6.54%,7.14%,7.83%,8.46%,9.70%,20.61%,21.85%,22.70%,24.59%,24.82%,25.09%,25.39%,25.83%,25.80%,27.02%,28.19%,21738,27641,36751,40743,43384,49374,52676,53546,59634,64330,36769
,New York,6.71%,7.33%,8.10%,8.97%,9.01%,9.25%,10.87%,11.37%,11.44%,12.04%,14.06%,19.65%,20.18%,20.57%,20.65%,19.35%,19.15%,22.12%,23.38%,23.77%,25.15%,27.79%,244612,284423,314566,360390,425906,562590,512765,525985,556489,548698,278921
,Montana,3.89%,4.27%,4.98%,6.80%,7.41%,7.13%,7.12%,6.37%,6.05%,6.79%,7.85%,17.60%,18.51%,19.70%,19.19%,17.51%,16.33%,17.74%,17.74%,20.15%,21.85%,24.02%,16951,18564,19332,20008,21848,25892,25980,29282,31713,32237,16567
,South Dakota,4.78%,5.79%,6.92%,7.69%,7.00%,6.76%,7.13%,7.76%,8.48%,9.16%,10.13%,23.78%,23.32%,22.58%,22.61%,21.39%,20.51%,21.62%,22.70%,22.68%,23.30%,23.82%,22616,23789,26499,27571,30541,33950,32925,31642,33275,33662,19610
,New Mexico,6.59%,7.46%,8.55%,8.92%,7.14%,7.42%,8.38%,9.03%,9.40%,9.87%,11.33%,24.67%,24.59%,25.95%,26.99%,25.25%,25.57%,27.33%,27.51%,27.37%,28.15%,30.54%,31944,36364,40178,42728,45292,48460,47983,48521,49045,49880,26018
,New Hampshire,5.53%,6.51%,7.49%,8.14%,8.15%,8.61%,8.50%,8.26%,8.33%,9.11%,10.63%,20.74%,20.15%,21.68%,22.62%,21.93%,22.53%,22.59%,22.48%,22.25%,22.89%,24.37%,25161,27523,28856,30298,31577,33548,34391,34332,35818,35859,20712
,Arizona,5.68%,6.46%,7.14%,7.78%,7.32%,6.64%,8.17%,9.69%,10.12%,11.51%,13.79%,21.59%,22.04%,22.64%,23.49%,21.88%,18.79%,19.34%,20.54%,21.37%,23.27%,25.75%,30633,36431,38379,39002,41636,55330,70390,87157,104615,108444,54210
,Utah,5.31%,5.21%,5.32%,5.30%,4.98%,8.29%,11.37%,12.23%,11.82%,9.37%,9.91%,17.45%,17.82%,18.26%,18.42%,17.21%,16.67%,17.17%,17.41%,17.01%,15.39%,18.52%,29758,32656,34863,37658,42715,54677,48034,51071,54317,94762,68216
,Oregon,8.04%,8.63%,8.98%,9.15%,8.38%,6.86%,8.03%,8.36%,8.89%,9.56%,10.88%,22.51%,23.55%,24.19%,24.33%,22.56%,19.13%,22.48%,23.22%,23.55%,24.12%,26.06%,89036,94563,104911,111562,121194,160010,134233,133596,139152,142174,76439
,Wyoming,5.13%,5.44%,5.92%,5.49%,6.25%,6.23%,6.78%,7.34%,7.70%,7.83%,8.47%,24.47%,23.93%,23.98%,22.65%,22.46%,20.93%,22.49%,23.26%,24.01%,25.18%,26.85%,5320,5420,5860,6524,6940,8433,8292,9445,10295,11706,6130
,California,5.89%,6.07%,6.80%,7.05%,7.08%,7.19%,8.76%,9.86%,10.17%,11.42%,12.59%,19.27%,18.92%,19.65%,20.79%,19.63%,18.23%,19.92%,21.23%,22.00%,23.26%,24.61%,174008,220279,250508,305692,394793,505586,505666,538162,630527,642237,325443
,Vermont,5.97%,6.50%,6.45%,7.04%,6.92%,6.76%,6.86%,6.55%,6.51%,6.81%,8.03%,19.22%,19.70%,20.01%,19.13%,17.70%,17.16%,18.32%,19.28%,19.80%,20.27%,21.44%,11953,12181,12271,14105,18430,21549,21246,22506,23146,22760,12833
,Nevada,5.08%,5.86%,6.15%,6.06%,4.17%,4.70%,6.88%,7.47%,7.74%,7.37%,9.49%,21.48%,19.72%,21.21%,22.30%,16.46%,16.42%,21.14%,21.99%,23.17%,23.60%,26.53%,20582,27559,38085,43116,69609,70349,54762,54650,56100,64000,27049
,Colorado,4.84%,5.69%,6.40%,6.90%,7.25%,7.15%,7.81%,7.85%,7.74%,8.18%,9.44%,15.86%,17.52%,18.71%,19.12%,18.80%,18.04%,19.99%,20.52%,20.93%,21.92%,23.82%,106163,121814,135136,144117,157938,202890,187351,198147,204826,200304,103426
,Washington,5.15%,5.51%,7.37%,8.16%,7.63%,6.78%,6.54%,6.48%,6.58%,6.82%,8.09%,20.42%,20.87%,21.76%,22.32%,21.69%,19.65%,19.53%,19.29%,19.53%,20.35%,22.45%,58746,64396,70803,74376,78976,91170,90557,100782,106368,107561,50294
,Alaska,4.08%,5.79%,6.35%,6.45%,6.97%,6.60%,6.35%,5.48%,3.99%,3.38%,4.28%,18.37%,21.09%,21.00%,19.77%,18.59%,18.63%,18.50%,18.96%,16.69%,16.37%,16.58%,833,915,976,976,1033,1181,1103,1076,1252,1625,748
,Hawaii,6.90%,7.32%,8.04%,8.25%,7.81%,5.68%,6.88%,8.26%,9.18%,9.88%,10.98%,21.23%,21.73%,22.13%,21.79%,20.71%,15.17%,18.55%,20.10%,21.92%,23.18%,24.53%,25060,25013,24999,25529,24842,38182,33520,33900,34913,34838,15403
,District of Columbia,2.02%,2.22%,2.88%,3.30%,3.16%,2.61%,4.77%,6.03%,6.83%,7.87%,8.99%,9.26%,9.91%,10.33%,10.54%,9.90%,9.32%,15.30%,16.94%,17.94%,20.36%,21.76%,4115,4775,5209,5371,5927,10185,8766,7599,8913,7627,2693
,"Total: Total includes all data under the ≥ 18 and &lt; 25 Years bucket, including data from rows not currently displayed.",6.39%,7.45%,8.71%,9.61%,9.80%,9.74%,10.73%,11.39%,11.76%,12.52%,14.11%,22.48%,23.37%,24.42%,25.20%,24.78%,23.98%,25.49%,26.28%,26.61%,27.61%,29.54%,4556970,5185251,5729172,6234710,6807279,8332689,8331064,8880946,9509839,9654900,5081628
≥ 25 and < 35 Years,Puerto Rico,7.41%,5.73%,11.86%,15.00%,14.99%,15.07%,14.51%,36.71%,38.88%,40.66%,44.45%,24.34%,23.28%,27.56%,32.81%,28.24%,27.95%,29.91%,41.26%,42.06%,43.84%,47.83%,189,262,312,320,347,458,448,2642,7295,9991,4945
,Ohio,11.04%,14.52%,18.20%,22.08%,23.18%,22.72%,23.67%,26.00%,27.58%,29.43%,32.18%,37.35%,39.51%,41.04%,41.92%,42.58%,42.02%,43.41%,44.89%,46.23%,48.02%,50.68%,645086,677722,707958,730372,750855,841022,850544,924153,973546,976158,611034
,Kentucky,11.84%,15.33%,19.46%,21.40%,21.90%,21.76%,24.81%,28.20%,30.38%,32.33%,35.49%,38.66%,41.84%,44.51%,45.18%,45.42%,44.06%,46.52%,48.58%,49.59%,51.41%,54.30%,151879,173380,184098,193274,205527,253716,266131,278073,286613,284919,177005
,West Virginia,12.60%,17.53%,23.27%,27.03%,27.05%,24.11%,25.81%,26.50%,27.78%,28.21%,31.10%,38.12%,37.38%,40.49%,43.49%,44.78%,44.56%,46.63%,47.38%,50.05%,53.06%,57.06%,37160,43335,51185,56841,62095,70728,71710,84654,95390,99742,59534
,Pennsylvania,11.73%,13.83%,19.15%,21.85%,22.23%,21.37%,22.57%,23.97%,24.40%,25.44%,27.81%,31.38%,33.70%,35.60%,37.13%,37.47%,37.42%,39.24%,40.44%,41.20%,42.76%,45.40%,464179,569971,656176,715289,754915,912161,862886,887233,917930,902561,508550
,Michigan,12.85%,14.48%,17.26%,19.25%,19.62%,21.10%,23.44%,24.24%,23.82%,25.30%,28.47%,36.98%,37.14%,38.63%,39.65%,37.53%,38.74%,41.23%,41.71%,41.39%,44.16%,47.74%,285415,327030,350410,356871,451755,502613,488026,509276,586942,621954,382067
,Mississippi,7.48%,8.81%,9.62%,10.69%,13.59%,15.97%,18.87%,21.98%,26.00%,29.07%,33.25%,42.75%,41.90%,40.69%,42.69%,43.93%,43.27%,45.75%,48.07%,49.75%,52.77%,57.28%,56951,63323,80204,101697,107945,129482,138631,143207,145974,149310,80812
,Alabama,12.64%,21.46%,25.49%,26.44%,27.03%,24.00%,27.98%,30.51%,32.72%,35.34%,41.28%,36.39%,37.79%,39.21%,40.38%,40.97%,40.86%,45.12%,46.20%,47.23%,50.13%,55.00%,16770,18471,19157,22553,25638,42225,46326,50926,51857,49931,24545
,North Carolina,11.48%,14.31%,16.89%,18.68%,20.00%,19.31%,22.13%,23.61%,23.99%,25.43%,28.65%,35.82%,37.52%,38.45%,39.59%,40.11%,38.43%,41.43%,43.02%,43.85%,46.23%,49.43%,383226,418456,451766,506695,533835,674614,703364,739084,819174,824188,493814
,Arkansas,11.86%,13.91%,17.09%,19.36%,21.85%,24.69%,27.29%,31.15%,33.21%,35.70%,39.10%,43.65%,45.12%,45.85%,45.81%,44.52%,44.93%,46.62%,48.67%,49.53%,51.15%,54.02%,53306,61816,65413,73289,82914,96795,89193,86431,88762,85724,51685
,Louisiana,12.22%,16.67%,16.81%,16.81%,16.71%,16.25%,18.52%,20.86%,23.79%,26.37%,29.41%,37.02%,37.78%,38.96%,40.46%,40.71%,39.43%,41.92%,43.45%,45.69%,48.24%,51.20%,136161,151532,170384,183554,197167,234669,240807,258167,272858,273985,162170
,North Dakota,11.59%,14.14%,16.32%,18.02%,17.58%,18.27%,19.52%,21.27%,22.42%,23.87%,26.27%,39.64%,39.72%,39.43%,39.10%,37.42%,36.50%,37.39%,39.17%,40.71%,42.72%,45.11%,56711,59225,60772,63261,67342,69601,70193,69468,74668,76564,49433
,Indiana,10.98%,14.56%,19.38%,21.03%,20.52%,19.29%,20.20%,22.16%,23.58%,25.45%,28.66%,38.45%,39.63%,40.97%,42.54%,43.56%,44.35%,46.34%,47.43%,47.98%,49.87%,53.08%,179748,200975,215351,230961,239397,274507,283617,291515,299141,295698,179655
,Nova Scotia,,,,,,,,,,,,,,,,,,,,,,,10 or fewer,10 or fewer,12,10 or fewer,15,14,16,16,12,10 or fewer,10 or fewer
,Sonora,,,,,,,,,21.33%,,,,,,,,,48.72%,41.86%,32.00%,34.69%,,10 or fewer,10 or fewer,10 or fewer,10 or fewer,16,19,39,43,75,98,16
,Rhode Island,7.50%,9.37%,11.32%,12.60%,13.17%,14.12%,14.59%,16.33%,18.45%,21.55%,24.87%,16.72%,20.00%,21.52%,22.69%,23.31%,23.45%,25.40%,29.45%,30.05%,33.12%,37.15%,41086,47625,49535,52494,51851,57074,64711,66241,79034,69728,38224
,Iowa,12.34%,15.07%,16.63%,16.73%,16.09%,16.59%,18.01%,19.63%,21.66%,25.36%,28.09%,37.22%,39.60%,40.58%,41.37%,41.19%,42.06%,44.09%,45.44%,46.38%,48.80%,51.28%,137940,142575,146550,151389,157707,170598,168588,176583,184355,191134,118832
,Delaware,8.62%,11.37%,16.32%,19.47%,20.07%,20.93%,23.25%,23.85%,24.12%,24.96%,26.59%,28.18%,35.79%,40.67%,43.04%,43.98%,43.67%,46.33%,47.54%,48.70%,50.43%,52.48%,12409,19054,22102,24645,26269,31513,33122,36659,38259,38211,21840
,South Carolina,9.69%,11.93%,14.90%,16.54%,17.47%,16.58%,18.18%,19.20%,20.40%,21.57%,24.05%,32.63%,36.12%,38.93%,40.36%,40.59%,38.89%,41.56%,43.66%,45.40%,46.57%,48.87%,113963,147147,161647,185141,202064,268541,306890,344889,364791,365926,235184
,Massachusetts,12.05%,12.34%,13.45%,16.00%,16.76%,16.52%,17.69%,18.55%,19.44%,20.87%,24.20%,26.67%,26.33%,28.15%,30.29%,29.28%,27.70%,29.45%,31.51%,32.88%,34.70%,37.74%,160401,194909,231944,245182,258484,300180,314410,351986,386056,392217,232726
,Maryland,10.86%,13.19%,15.59%,17.79%,17.89%,16.23%,19.89%,20.97%,21.40%,22.57%,26.54%,32.57%,34.37%,35.44%,36.78%,35.19%,31.88%,38.73%,40.83%,41.97%,44.12%,47.79%,80421,101955,119462,139703,160530,211879,190246,192559,197192,197619,101893
,Tennessee,7.73%,8.49%,10.81%,12.74%,15.11%,17.10%,19.17%,21.66%,22.29%,23.89%,28.18%,40.31%,37.54%,40.70%,42.47%,41.74%,40.76%,42.08%,42.67%,41.96%,46.59%,52.18%,46926,62893,73706,78718,86100,102577,108340,114370,129263,148849,78391
,Wisconsin,11.09%,12.00%,12.93%,13.81%,13.98%,14.61%,16.60%,17.89%,19.29%,21.37%,23.44%,35.76%,36.76%,37.46%,37.98%,37.20%,37.16%,39.35%,40.71%,41.71%,43.52%,45.22%,297640,304966,315722,326205,346944,390773,372859,376737,380843,369562,237736
,Missouri,8.53%,11.04%,12.92%,14.44%,15.71%,17.57%,19.64%,20.11%,21.26%,22.10%,24.95%,33.15%,36.66%,39.28%,40.65%,40.59%,39.52%,39.88%,41.71%,43.16%,44.94%,48.40%,43208,54198,60555,65201,68951,79951,85843,104043,112649,113808,66509
,Illinois,8.19%,10.60%,11.80%,13.91%,15.84%,17.40%,19.52%,20.06%,21.15%,22.80%,25.61%,32.57%,33.62%,34.84%,36.24%,37.26%,38.00%,41.11%,41.92%,43.09%,45.19%,48.22%,357127,372435,403449,439281,474272,545552,524842,558896,584312,580413,339043
,Idaho,8.43%,9.82%,11.06%,11.90%,12.63%,13.92%,16.40%,18.37%,19.31%,20.42%,23.88%,25.08%,28.66%,31.39%,33.26%,34.11%,34.87%,37.49%,39.49%,40.35%,41.25%,44.20%,44142,50695,53649,58599,66989,76072,85253,87817,93194,95855,56129
,Connecticut,10.24%,11.66%,13.22%,14.33%,14.31%,14.29%,16.73%,18.56%,19.62%,20.49%,23.65%,27.83%,29.52%,32.22%,33.85%,33.41%,32.60%,35.71%,37.78%,38.98%,39.93%,43.26%,141157,166173,186323,201102,225733,267721,251710,251748,260901,272081,160804
,Georgia,9.25%,10.47%,12.26%,14.11%,15.92%,16.14%,17.40%,18.83%,20.47%,22.63%,27.18%,32.51%,32.50%,33.82%,36.89%,38.54%,38.26%,39.33%,40.57%,42.42%,45.34%,49.36%,159142,196271,252268,286281,294526,350794,379881,433898,460836,463143,237785
,Minnesota,11.18%,12.40%,13.70%,14.88%,14.90%,14.88%,16.70%,17.77%,19.42%,21.11%,24.05%,34.73%,35.02%,35.34%,35.93%,34.95%,33.66%,35.80%,36.69%,38.81%,41.24%,44.07%,233444,241211,245312,249927,256327,290728,264711,268834,262686,252463,144524
,Florida,11.25%,12.83%,14.76%,16.25%,16.74%,15.71%,15.92%,18.07%,20.04%,21.91%,25.55%,34.19%,34.76%,35.06%,35.35%,34.22%,33.10%,33.22%,37.21%,39.60%,42.19%,45.56%,202788,223218,238140,247342,262007,374904,558185,713794,779263,817268,431419
,Virginia,8.88%,10.04%,12.15%,14.36%,15.60%,16.22%,17.93%,18.45%,18.56%,19.61%,23.29%,35.22%,36.37%,37.53%,38.19%,38.40%,37.35%,39.33%,40.30%,41.00%,43.42%,47.11%,266354,300807,310811,332939,346152,401328,405493,447906,458451,456185,248909
,Kansas,9.26%,11.81%,13.97%,14.96%,14.99%,14.75%,15.97%,16.27%,17.88%,20.41%,23.46%,35.03%,37.58%,38.58%,39.92%,38.94%,37.47%,38.51%,38.93%,41.18%,44.29%,47.30%,49526,52623,55538,57487,60362,69375,67957,86237,93972,97930,63698
,Maine,8.61%,9.70%,12.04%,13.78%,14.01%,14.02%,16.11%,17.34%,18.50%,18.89%,21.74%,25.22%,26.60%,30.87%,33.09%,33.07%,32.24%,35.92%,37.40%,38.75%,39.85%,43.31%,34908,46514,50705,55556,57731,67891,68516,65995,66968,65496,40047
,Texas,12.20%,13.60%,15.54%,16.86%,17.49%,16.86%,18.25%,19.97%,21.25%,22.79%,25.60%,33.17%,33.98%,36.12%,37.74%,39.09%,38.04%,41.43%,43.20%,44.00%,46.35%,49.15%,420964,532120,608850,678617,740840,1006213,962376,1020661,1120671,1190061,642815
,Oklahoma,7.89%,12.25%,13.49%,13.64%,13.44%,14.11%,15.44%,17.22%,18.61%,20.46%,23.40%,33.09%,34.69%,39.19%,42.28%,42.94%,42.92%,44.09%,45.32%,47.21%,50.11%,52.59%,59525,83272,107005,113283,117887,127830,132674,146926,159842,161003,91915
,New Jersey,7.96%,8.48%,10.74%,12.72%,14.80%,14.73%,16.71%,17.29%,17.90%,19.75%,24.02%,27.88%,27.88%,29.87%,32.13%,32.95%,31.65%,34.54%,36.25%,38.32%,40.62%,43.86%,59906,82813,117013,146801,171142,228241,241234,276023,312093,327196,172805
,Nebraska,9.95%,11.31%,11.63%,12.60%,13.05%,13.15%,14.07%,15.72%,16.68%,18.73%,21.48%,34.43%,36.13%,36.05%,38.90%,39.85%,40.44%,41.44%,42.47%,42.79%,45.08%,47.41%,30125,36439,50013,56526,61016,68313,71887,73606,84439,89955,56331
,New York,9.76%,10.64%,11.83%,13.27%,12.77%,13.25%,16.26%,17.54%,18.05%,19.38%,22.46%,29.25%,30.01%,30.81%,30.92%,27.48%,27.26%,32.37%,34.39%,35.23%,37.56%,41.04%,374323,437985,484317,561081,710556,935567,838693,867456,920172,918797,514434
,Montana,6.87%,7.97%,9.05%,13.74%,15.98%,16.33%,17.04%,15.41%,14.53%,15.12%,16.55%,27.46%,29.58%,31.00%,30.66%,28.59%,27.04%,29.87%,29.70%,34.17%,37.05%,40.11%,24358,26816,28438,29562,31521,36740,36355,43322,47793,48997,27920
,South Dakota,10.21%,12.04%,12.96%,14.23%,13.31%,12.93%,14.45%,16.45%,18.33%,20.17%,23.27%,37.44%,36.37%,34.91%,34.95%,32.64%,31.45%,34.24%,35.64%,36.68%,38.41%,41.31%,32958,33771,37381,38604,42513,47502,45447,43600,45434,46064,28806
,New Mexico,10.19%,11.43%,13.14%,13.79%,12.15%,12.22%,14.15%,15.47%,16.46%,17.67%,20.21%,36.81%,36.05%,37.78%,39.35%,36.94%,36.72%,39.47%,40.51%,41.53%,43.41%,46.71%,46877,54723,61603,65562,69916,74965,74348,75044,76869,77242,43663
,New Hampshire,9.21%,10.86%,12.54%,13.79%,14.10%,15.16%,16.01%,16.30%,17.07%,18.30%,20.66%,31.29%,30.24%,32.30%,33.79%,33.10%,34.47%,35.95%,36.73%,37.60%,39.19%,41.75%,36067,39901,42792,44895,47611,49800,50752,50311,50956,49911,30792
,Arizona,10.84%,11.61%,12.76%,13.51%,12.74%,11.50%,13.86%,16.44%,17.73%,20.08%,24.01%,32.84%,33.19%,34.65%,35.32%,32.27%,28.40%,30.07%,31.98%,33.79%,37.03%,40.48%,50514,61024,64841,67467,74227,99795,118737,143659,169611,178559,96609
,Utah,8.82%,9.67%,10.13%,10.16%,9.63%,14.77%,21.53%,23.31%,23.26%,19.06%,20.39%,27.72%,28.22%,29.06%,29.13%,27.67%,26.34%,27.64%,27.87%,27.99%,26.17%,31.26%,49234,52226,54021,57732,64351,84579,72103,77840,83332,143215,107989
,Oregon,11.43%,12.28%,12.70%,12.94%,12.15%,10.06%,12.63%,13.47%,14.73%,16.05%,18.41%,30.92%,32.23%,33.01%,32.73%,30.36%,25.37%,30.77%,32.50%,33.72%,35.40%,38.18%,144188,151606,170506,180264,198327,266619,218016,217075,224442,227133,131982
,Wyoming,8.78%,9.64%,10.59%,11.46%,11.86%,13.39%,15.02%,14.48%,15.38%,16.05%,18.47%,36.38%,35.77%,36.76%,36.15%,35.39%,35.41%,37.19%,37.87%,39.80%,41.95%,44.87%,8620,9154,9728,10188,10545,12199,11964,13698,14530,16811,9199
,California,8.62%,9.00%,10.15%,10.61%,10.47%,10.25%,12.50%,14.33%,15.41%,17.50%,19.82%,27.21%,27.16%,28.37%,29.59%,27.83%,25.56%,27.91%,29.75%,31.27%,33.55%,35.89%,279858,358232,409567,508815,650925,840779,844335,896784,1046677,1055783,571357
,Vermont,8.03%,8.95%,9.64%,11.34%,11.93%,12.00%,12.47%,12.75%,13.17%,14.48%,16.68%,27.87%,28.29%,28.62%,27.08%,26.54%,26.60%,28.86%,30.39%,31.44%,32.69%,34.91%,20047,20656,21350,25008,32036,36611,35469,36944,36987,35600,21142
,Nevada,9.78%,10.48%,10.41%,10.87%,7.59%,8.46%,11.80%,13.41%,14.49%,13.85%,17.67%,31.65%,29.31%,30.15%,31.97%,23.66%,24.17%,29.67%,31.84%,33.69%,34.96%,39.37%,31637,42380,61559,71429,116301,119868,98223,97720,100658,114373,52189
,Colorado,7.43%,8.39%,9.30%,10.58%,11.35%,11.01%,12.81%,13.12%,13.21%,14.15%,16.10%,23.66%,25.28%,26.83%,27.08%,26.78%,24.67%,28.06%,28.79%,30.34%,32.81%,35.76%,161478,188050,214788,230989,257827,342842,321794,348275,370631,364772,206816
,Washington,8.10%,8.87%,13.09%,14.48%,13.66%,11.67%,10.56%,10.63%,11.42%,12.04%,14.30%,29.36%,30.06%,31.15%,31.60%,30.29%,27.48%,26.32%,26.58%,28.40%,30.30%,33.16%,102385,111947,122368,129050,138288,160482,172666,199138,207738,205404,103813
