,Measures,Percentage with Has Any Encounters? preceded by Diagnosis (All): Obesity CCW definition within 24 months (%),,,,,,,,,,,Percentage with Has Any Encounters? preceded by BMI 30.0  or more within 24 months (%),,,,,,,,,,,Number of Patients,,,,,,,,,,
,,Jan 1 – Dec 31 2016,Jan 1 – Dec 31 2017,Jan 1 – Dec 31 2018,Jan 1 – Dec 31 2019,Jan 1 – Dec 31 2020,Jan 1 – Dec 31 2021,Jan 1 – Dec 31 2022,Jan 1 – Dec 31 2023,Jan 1 – Dec 31 2024,Jan 1 – Dec 31 2025,Jan 1 – Apr 14 2026,Jan 1 – Dec 31 2016,Jan 1 – Dec 31 2017,Jan 1 – Dec 31 2018,Jan 1 – Dec 31 2019,Jan 1 – Dec 31 2020,Jan 1 – Dec 31 2021,Jan 1 – Dec 31 2022,Jan 1 – Dec 31 2023,Jan 1 – Dec 31 2024,Jan 1 – Dec 31 2025,Jan 1 – Apr 14 2026,Jan 1 – Dec 31 2016,Jan 1 – Dec 31 2017,Jan 1 – Dec 31 2018,Jan 1 – Dec 31 2019,Jan 1 – Dec 31 2020,Jan 1 – Dec 31 2021,Jan 1 – Dec 31 2022,Jan 1 – Dec 31 2023,Jan 1 – Dec 31 2024,Jan 1 – Dec 31 2025,Jan 1 – Apr 14 2026
Age at Encounter in Years,State of Residence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Indiana,2.23%,2.82%,3.12%,3.27%,3.44%,3.76%,3.85%,3.92%,3.87%,4.54%,4.78%,5.44%,5.76%,5.96%,6.11%,6.29%,6.85%,7.00%,6.95%,6.78%,6.96%,6.74%,313408,355239,384282,409421,394600,464811,494029,504846,518266,498889,286328
,Nova Scotia,,,,,,,,,,,,,,,,,,,,,,,10 or fewer,10 or fewer,10 or fewer,11,13,10 or fewer,10 or fewer,15,24,18,10 or fewer
,Sonora,,,,,,,,,,,,,,,,,,,,,,,10 or fewer,10 or fewer,10 or fewer,10 or fewer,10 or fewer,10 or fewer,23,17,13,18,10 or fewer
,Rhode Island,3.20%,3.79%,4.27%,4.57%,5.27%,5.87%,5.93%,6.66%,8.65%,10.52%,11.56%,3.00%,3.35%,3.64%,3.89%,4.40%,4.68%,4.81%,5.29%,5.44%,5.73%,6.07%,75416,82740,84603,85728,73700,80231,92294,105604,123759,118795,66396
,Iowa,2.31%,2.64%,2.79%,2.87%,2.93%,3.04%,3.04%,3.05%,3.32%,4.33%,4.74%,4.94%,5.47%,5.75%,5.86%,5.92%,6.40%,6.46%,6.62%,6.69%,6.90%,6.55%,264214,279607,288748,295489,289909,314031,323930,345392,370464,384592,238960
,Delaware,7.44%,7.24%,7.17%,7.13%,7.66%,8.36%,8.69%,8.34%,8.39%,9.15%,9.59%,5.47%,5.90%,6.21%,6.43%,6.84%,7.49%,7.71%,7.66%,7.66%,7.81%,7.88%,90169,97886,102357,107234,104101,114101,117877,123032,125746,124976,76061
,South Carolina,2.88%,3.58%,4.38%,4.97%,5.93%,5.58%,5.57%,5.34%,5.41%,6.09%,6.63%,5.29%,5.91%,6.50%,6.82%,7.06%,6.95%,7.08%,7.18%,7.23%,7.34%,7.18%,235511,297917,319619,353460,343545,462324,526615,583728,603907,599815,370806
,Massachusetts,8.12%,7.50%,6.99%,7.63%,8.59%,9.21%,8.53%,8.49%,7.37%,8.39%,9.43%,5.19%,4.86%,5.06%,5.34%,5.59%,6.06%,5.97%,6.19%,5.73%,6.24%,6.57%,212679,256407,302276,312243,292131,327888,377559,417116,546929,577998,347980
,Maryland,3.48%,3.41%,3.45%,3.30%,3.48%,3.37%,3.48%,3.19%,3.02%,3.64%,4.43%,5.22%,5.04%,5.13%,5.25%,5.37%,5.46%,5.79%,5.92%,5.93%,6.65%,7.30%,72426,94562,115459,144086,140700,177167,183601,189794,194834,191796,94482
,Tennessee,1.11%,1.72%,2.05%,2.25%,2.87%,3.10%,3.37%,3.57%,3.99%,5.83%,7.06%,6.33%,5.84%,6.48%,6.90%,6.99%,6.96%,7.20%,7.14%,6.50%,7.57%,8.03%,53291,82737,98830,105568,101490,128737,145170,156516,196271,230375,126300
,Wisconsin,2.50%,2.50%,2.51%,2.66%,2.70%,2.97%,3.24%,3.28%,3.45%,4.66%,5.15%,4.52%,4.63%,4.81%,4.99%,5.10%,5.93%,6.11%,6.10%,5.99%,6.03%,5.79%,597528,613421,633264,651077,633873,674039,690728,700222,708047,690000,420827
,Missouri,1.47%,1.52%,1.63%,1.91%,2.20%,2.40%,2.07%,2.22%,2.43%,3.01%,3.56%,5.32%,5.94%,6.45%,6.87%,7.26%,7.38%,6.45%,6.93%,6.84%,6.76%,6.88%,36559,52924,60973,70777,67808,78320,99674,126094,144940,142980,76571
,Illinois,3.05%,3.12%,3.12%,3.53%,4.37%,5.66%,5.86%,5.60%,5.56%,6.63%,7.03%,4.80%,4.95%,5.14%,5.45%,5.86%,6.86%,6.90%,6.74%,6.61%,6.76%,6.73%,765146,789800,844789,903041,859195,950885,1002037,1033878,1064616,1025136,551346
