age	geography	time	obesity_dx_ccw	obesity_bmi	diabetes_dx_ccw	diabetes_a1c_6_5	n_patients_chronic
<18 Years	01123	2023-01-01	NA	NA	NA	NA	11
<18 Years	08089	2023-01-01	4.19	7.92	1.64	1.64	669
<18 Years	01001	2023-01-01	NA	NA	NA	NA	49
<18 Years	01079	2023-01-01	NA	NA	NA	NA	NA
<18 Years	05023	2023-01-01	2.68	8.6	0.88	0.74	2164
<18 Years	08115	2023-01-01	NA	NA	NA	NA	63
<18 Years	06015	2023-01-01	2.6	7.8	NA	NA	1962
<18 Years	06025	2023-01-01	3.53	4.81	NA	NA	312
<18 Years	05063	2023-01-01	4.09	9.15	1.79	1.41	1344
<18 Years	05013	2023-01-01	NA	9.6	NA	NA	250
<18 Years	05029	2023-01-01	3.48	6.69	1.37	1.19	1091
<18 Years	05047	2023-01-01	2.22	6.76	NA	NA	991
<18 Years	01053	2023-01-01	2.58	7.45	1.03	0.89	1355
<18 Years	09005	2023-01-01	4.84	6.75	0.8	0.67	11385
<18 Years	08101	2023-01-01	4.26	6.68	1.09	0.83	9641
<18 Years	01051	2023-01-01	NA	NA	NA	NA	49
<18 Years	05017	2023-01-01	5.32	11.7	NA	NA	282
<18 Years	09011	2023-01-01	10.11	7.89	0.52	0.38	22130
<18 Years	05027	2023-01-01	7.01	9.9	NA	NA	970
<18 Years	05053	2023-01-01	4.15	6.91	1.09	0.8	1374
<18 Years	05147	2023-01-01	NA	7.91	NA	NA	215
<18 Years	09009	2023-01-01	11.92	7.67	0.65	0.48	31024
<18 Years	08099	2023-01-01	7.84	9.56	NA	NA	408
<18 Years	04007	2023-01-01	NA	NA	NA	NA	127
<18 Years	05045	2023-01-01	4.42	5.81	1.08	0.91	9331
<18 Years	06019	2023-01-01	6.36	6.67	0.69	0.32	114901
<18 Years	08011	2023-01-01	NA	11.3	NA	NA	115
<18 Years	04015	2023-01-01	NA	8.19	NA	NA	171
<18 Years	05145	2023-01-01	4.28	6.93	1.52	1.37	3808
<18 Years	01113	2023-01-01	NA	9.72	NA	NA	247
<18 Years	04017	2023-01-01	NA	NA	NA	NA	69
<18 Years	02198	2023-01-01	NA	NA	NA	NA	NA
<18 Years	08081	2023-01-01	3.41	6.87	0.55	NA	1993
<18 Years	02240	2023-01-01	NA	NA	NA	NA	NA
