age	county	bmi_30_49.8	obesity_(%)	n_obesity_county	Year
55-64 Years	COFFEE, TN	42.70%	22.47%	89	1/1/2025 - 10/30/2025
55-64 Years	FRANKLIN, VT	42.26%	15.64%	3107	1/1/2025 - 10/30/2025
55-64 Years	HARRISON, TX	52.19%	23.57%	297	1/1/2025 - 10/30/2025
55-64 Years	REEVES, TX	60.87%	NA	23	1/1/2025 - 10/30/2025
55-64 Years	REAL, TX	50.00%	30.56%	36	1/1/2025 - 10/30/2025
55-64 Years	CUMBERLAND, TN	45.77%	20.90%	201	1/1/2025 - 10/30/2025
55-64 Years	MONTGOMERY, PA	41.07%	24.36%	70573	1/1/2025 - 10/30/2025
55-64 Years	GEAUGA, OH	46.27%	35.79%	9297	1/1/2025 - 10/30/2025
55-64 Years	DICKSON, TN	49.56%	14.41%	458	1/1/2025 - 10/30/2025
55-64 Years	HARRIS, TX	50.05%	30.08%	221529	1/1/2025 - 10/30/2025
55-64 Years	HEMPHILL, TX	41.67%	13.10%	84	1/1/2025 - 10/30/2025
55-64 Years	ANGELINA, TX	50.81%	23.17%	807	1/1/2025 - 10/30/2025
55-64 Years	LOGAN, OK	43.01%	11.23%	730	1/1/2025 - 10/30/2025
55-64 Years	JEFFERSON, OK	44.74%	NA	38	1/1/2025 - 10/30/2025
55-64 Years	CALDWELL, TX	53.39%	24.02%	487	1/1/2025 - 10/30/2025
55-64 Years	ADAMS, ND	40.74%	14.81%	81	1/1/2025 - 10/30/2025
55-64 Years	STAUNTON CITY, VA	50.76%	23.29%	1314	1/1/2025 - 10/30/2025
55-64 Years	HANSON, SD	36.45%	23.36%	107	1/1/2025 - 10/30/2025
55-64 Years	TILLAMOOK, OR	43.72%	21.38%	1473	1/1/2025 - 10/30/2025
55-64 Years	BROOKINGS, SD	47.12%	41.53%	1110	1/1/2025 - 10/30/2025
55-64 Years	ORANGE, TX	49.15%	26.75%	942	1/1/2025 - 10/30/2025
55-64 Years	SALEM, VA	44.59%	15.29%	157	1/1/2025 - 10/30/2025
55-64 Years	LAVACA, TX	48.32%	28.15%	238	1/1/2025 - 10/30/2025
55-64 Years	LAWRENCE, TN	48.15%	NA	27	1/1/2025 - 10/30/2025
55-64 Years	MOTLEY, TX	NA	NA	5	1/1/2025 - 10/30/2025
55-64 Years	ROBERTS, TX	NA	NA	24	1/1/2025 - 10/30/2025
55-64 Years	SNYDER, PA	41.08%	21.97%	314	1/1/2025 - 10/30/2025
55-64 Years	GRAND FORKS, ND	49.08%	33.45%	6530	1/1/2025 - 10/30/2025
55-64 Years	HARDING, SD	53.49%	25.58%	43	1/1/2025 - 10/30/2025
55-64 Years	KIOWA, OK	37.10%	11.29%	124	1/1/2025 - 10/30/2025
55-64 Years	GOLIAD, TX	58.49%	24.53%	53	1/1/2025 - 10/30/2025
55-64 Years	PERKINS, SD	36.89%	21.36%	103	1/1/2025 - 10/30/2025
55-64 Years	BON HOMME, SD	35.38%	26.15%	65	1/1/2025 - 10/30/2025
55-64 Years	WARREN, TN	42.19%	NA	64	1/1/2025 - 10/30/2025
55-64 Years	LINCOLN, TN	39.47%	28.95%	38	1/1/2025 - 10/30/2025
55-64 Years	HAAKON, SD	51.69%	NA	89	1/1/2025 - 10/30/2025
55-64 Years	YANKTON, SD	41.90%	25.08%	327	1/1/2025 - 10/30/2025
55-64 Years	ELLIS, OK	NA	NA	24	1/1/2025 - 10/30/2025
55-64 Years	MCINTOSH, ND	47.27%	26.67%	165	1/1/2025 - 10/30/2025
55-64 Years	KINGSBURY, SD	50.20%	35.86%	251	1/1/2025 - 10/30/2025
55-64 Years	CARTER, OK	44.90%	15.31%	392	1/1/2025 - 10/30/2025
55-64 Years	RUTLAND, VT	42.47%	18.39%	2936	1/1/2025 - 10/30/2025
55-64 Years	GRAND ISLE, VT	38.48%	17.51%	868	1/1/2025 - 10/30/2025
55-64 Years	ROANOKE, VA	40.51%	18.61%	548	1/1/2025 - 10/30/2025
55-64 Years	STARK, ND	49.66%	27.37%	2799	1/1/2025 - 10/30/2025
55-64 Years	BUTTE, SD	47.41%	15.80%	348	1/1/2025 - 10/30/2025
55-64 Years	CLAY, TX	47.42%	27.84%	97	1/1/2025 - 10/30/2025
55-64 Years	WASCO, OR	45.77%	20.47%	1241	1/1/2025 - 10/30/2025
55-64 Years	SCOTT, TN	54.84%	32.26%	62	1/1/2025 - 10/30/2025
55-64 Years	HETTINGER, ND	46.15%	25.00%	156	1/1/2025 - 10/30/2025
55-64 Years	WASHINGTON, VT	42.89%	25.64%	7351	1/1/2025 - 10/30/2025
55-64 Years	YOUNG, TX	38.37%	19.19%	172	1/1/2025 - 10/30/2025
55-64 Years	DUCHESNE, UT	39.22%	21.98%	232	1/1/2025 - 10/30/2025
55-64 Years	ATOKA, OK	42.36%	13.89%	144	1/1/2025 - 10/30/2025
55-64 Years	BASTROP, TX	50.93%	23.99%	1926	1/1/2025 - 10/30/2025
55-64 Years	CHARLESTON, SC	42.53%	23.16%	39236	1/1/2025 - 10/30/2025
55-64 Years	ROANOKE CITY, VA	41.79%	20.13%	457	1/1/2025 - 10/30/2025
55-64 Years	JACKSON, SD	51.28%	NA	78	1/1/2025 - 10/30/2025
55-64 Years	MONTOUR, PA	49.21%	25.40%	63	1/1/2025 - 10/30/2025
55-64 Years	CIMARRON, OK	46.34%	NA	41	1/1/2025 - 10/30/2025
55-64 Years	BUENA VISTA CITY, VA	48.94%	24.11%	141	1/1/2025 - 10/30/2025
55-64 Years	KERR, TX	44.55%	21.81%	321	1/1/2025 - 10/30/2025
55-64 Years	PRESIDIO, TX	NA	NA	24	1/1/2025 - 10/30/2025
55-64 Years	YAMHILL, OR	39.89%	20.20%	3377	1/1/2025 - 10/30/2025
55-64 Years	BRISCOE, TX	NA	NA	19	1/1/2025 - 10/30/2025
55-64 Years	GREER, OK	54.90%	33.33%	51	1/1/2025 - 10/30/2025
55-64 Years	MEADE, SD	42.60%	13.70%	1000	1/1/2025 - 10/30/2025
55-64 Years	HARDIN, TX	50.29%	29.39%	694	1/1/2025 - 10/30/2025
55-64 Years	FORT BEND, TX	45.67%	28.36%	48887	1/1/2025 - 10/30/2025
55-64 Years	ADDISON, VT	41.15%	19.45%	4267	1/1/2025 - 10/30/2025
55-64 Years	LOUDOUN, VA	42.23%	26.74%	25429	1/1/2025 - 10/30/2025
55-64 Years	HUDSPETH, TX	NA	NA	5	1/1/2025 - 10/30/2025
55-64 Years	FAULK, SD	50.00%	31.03%	58	1/1/2025 - 10/30/2025
55-64 Years	THROCKMORTON, TX	NA	NA	12	1/1/2025 - 10/30/2025
55-64 Years	HAYS, TX	47.42%	24.36%	3387	1/1/2025 - 10/30/2025
55-64 Years	HUTCHINSON, SD	36.50%	19.71%	137	1/1/2025 - 10/30/2025
55-64 Years	COVINGTON CITY, VA	45.13%	23.89%	113	1/1/2025 - 10/30/2025
55-64 Years	DAWSON, TX	NA	NA	14	1/1/2025 - 10/30/2025
55-64 Years	MINNEHAHA, SD	48.16%	40.26%	13554	1/1/2025 - 10/30/2025
55-64 Years	CALEDONIA, VT	40.38%	15.36%	1699	1/1/2025 - 10/30/2025
55-64 Years	KENDALL, TX	40.16%	29.38%	1011	1/1/2025 - 10/30/2025
55-64 Years	CUSTER, SD	41.14%	15.91%	440	1/1/2025 - 10/30/2025
55-64 Years	COLLIN, TX	44.54%	26.28%	59558	1/1/2025 - 10/30/2025
55-64 Years	MAJOR, OK	40.30%	NA	67	1/1/2025 - 10/30/2025
55-64 Years	WALWORTH, SD	40.25%	28.93%	159	1/1/2025 - 10/30/2025
55-64 Years	GILLESPIE, TX	40.09%	22.03%	227	1/1/2025 - 10/30/2025
55-64 Years	CHESTER, PA	39.38%	26.76%	42699	1/1/2025 - 10/30/2025
55-64 Years	WINKLER, TX	NA	NA	13	1/1/2025 - 10/30/2025
55-64 Years	WARD, TX	60.00%	NA	30	1/1/2025 - 10/30/2025
55-64 Years	ALEXANDRIA CITY, VA	38.93%	25.78%	8232	1/1/2025 - 10/30/2025
55-64 Years	GOLDEN VALLEY, ND	44.34%	25.47%	106	1/1/2025 - 10/30/2025
55-64 Years	ORLEANS, VT	37.80%	13.93%	1479	1/1/2025 - 10/30/2025
55-64 Years	HICKMAN, TN	41.48%	18.52%	135	1/1/2025 - 10/30/2025
55-64 Years	MELLETTE, SD	46.88%	17.19%	64	1/1/2025 - 10/30/2025
55-64 Years	PENNINGTON, SD	40.78%	15.42%	4112	1/1/2025 - 10/30/2025
55-64 Years	SHERMAN, OR	47.50%	22.50%	80	1/1/2025 - 10/30/2025
55-64 Years	ROCKBRIDGE, VA	41.34%	19.28%	612	1/1/2025 - 10/30/2025
55-64 Years	RICH, UT	31.11%	18.89%	90	1/1/2025 - 10/30/2025
55-64 Years	SANBORN, SD	43.14%	21.57%	51	1/1/2025 - 10/30/2025
55-64 Years	DEWEY, OK	47.92%	NA	48	1/1/2025 - 10/30/2025
55-64 Years	KINGFISHER, OK	38.89%	11.11%	180	1/1/2025 - 10/30/2025
55-64 Years	POTTER, SD	55.88%	NA	34	1/1/2025 - 10/30/2025
55-64 Years	KENEDY, TX	NA	NA	5	1/1/2025 - 10/30/2025
55-64 Years	ECTOR, TX	50.14%	21.14%	369	1/1/2025 - 10/30/2025
55-64 Years	COLLINGSWORTH, TX	28.36%	NA	67	1/1/2025 - 10/30/2025
55-64 Years	BOTETOURT, VA	44.52%	16.96%	283	1/1/2025 - 10/30/2025
55-64 Years	VICTORIA, TX	46.60%	23.88%	779	1/1/2025 - 10/30/2025
55-64 Years	ALFALFA, OK	41.51%	22.64%	53	1/1/2025 - 10/30/2025
55-64 Years	FAIRFAX, VA	39.01%	24.82%	66382	1/1/2025 - 10/30/2025
55-64 Years	JOHNSTON, OK	42.05%	15.91%	88	1/1/2025 - 10/30/2025
55-64 Years	MONTGOMERY, TX	45.98%	28.20%	32006	1/1/2025 - 10/30/2025
55-64 Years	HARPER, OK	48.78%	NA	41	1/1/2025 - 10/30/2025
55-64 Years	MOODY, SD	44.78%	32.17%	230	1/1/2025 - 10/30/2025
55-64 Years	BOWMAN, ND	43.21%	NA	81	1/1/2025 - 10/30/2025
55-64 Years	EDDY, ND	35.94%	23.50%	217	1/1/2025 - 10/30/2025
55-64 Years	BATH, VA	45.38%	18.49%	119	1/1/2025 - 10/30/2025
55-64 Years	HOOD, TX	47.22%	27.37%	1995	1/1/2025 - 10/30/2025
55-64 Years	TOOELE, UT	45.96%	27.43%	2428	1/1/2025 - 10/30/2025
55-64 Years	CENTRE, PA	40.78%	20.00%	385	1/1/2025 - 10/30/2025
55-64 Years	BRISTOL, RI	38.74%	32.93%	3526	1/1/2025 - 10/30/2025
55-64 Years	DEKALB, TN	NA	NA	22	1/1/2025 - 10/30/2025
55-64 Years	FOSTER, ND	42.61%	28.17%	284	1/1/2025 - 10/30/2025
55-64 Years	LINCOLN, SD	48.19%	38.49%	4154	1/1/2025 - 10/30/2025
55-64 Years	WILLACY, TX	57.69%	24.36%	78	1/1/2025 - 10/30/2025
55-64 Years	CARBON, UT	48.36%	22.95%	244	1/1/2025 - 10/30/2025
55-64 Years	DESCHUTES, OR	41.11%	30.54%	20885	1/1/2025 - 10/30/2025
55-64 Years	CALLAHAN, TX	54.35%	30.43%	92	1/1/2025 - 10/30/2025
55-64 Years	ALBEMARLE, VA	38.46%	25.03%	10950	1/1/2025 - 10/30/2025
55-64 Years	DAVISON, SD	44.96%	23.11%	476	1/1/2025 - 10/30/2025
55-64 Years	TRAVIS, TX	44.47%	23.20%	31789	1/1/2025 - 10/30/2025
55-64 Years	CHEATHAM, TN	32.81%	13.28%	128	1/1/2025 - 10/30/2025
55-64 Years	ANDREWS, TX	42.22%	NA	45	1/1/2025 - 10/30/2025
55-64 Years	FAIRFAX CITY, VA	40.17%	24.77%	2136	1/1/2025 - 10/30/2025
55-64 Years	BEADLE, SD	38.00%	25.11%	450	1/1/2025 - 10/30/2025
55-64 Years	REFUGIO, TX	60.42%	31.25%	48	1/1/2025 - 10/30/2025
55-64 Years	HASKELL, TX	41.38%	NA	29	1/1/2025 - 10/30/2025
55-64 Years	JACK, TX	60.23%	28.65%	171	1/1/2025 - 10/30/2025
55-64 Years	GRANT, SD	44.32%	34.66%	176	1/1/2025 - 10/30/2025
55-64 Years	WALKER, TX	36.14%	18.24%	8489	1/1/2025 - 10/30/2025
55-64 Years	ZAPATA, TX	NA	NA	15	1/1/2025 - 10/30/2025
55-64 Years	CLARK, SD	47.12%	30.22%	278	1/1/2025 - 10/30/2025
55-64 Years	LAWRENCE, SD	40.67%	14.16%	1045	1/1/2025 - 10/30/2025
55-64 Years	JONES, TX	60.00%	28.00%	50	1/1/2025 - 10/30/2025
55-64 Years	ARCHER, TX	55.56%	20.37%	54	1/1/2025 - 10/30/2025
55-64 Years	PROVIDENCE, RI	40.42%	27.49%	32217	1/1/2025 - 10/30/2025
55-64 Years	MIDLAND, TX	46.09%	20.87%	460	1/1/2025 - 10/30/2025
55-64 Years	BILLINGS, ND	42.00%	28.00%	50	1/1/2025 - 10/30/2025
55-64 Years	WASHINGTON, RI	36.36%	23.56%	8408	1/1/2025 - 10/30/2025
55-64 Years	SLOPE, ND	NA	NA	14	1/1/2025 - 10/30/2025
55-64 Years	BAILEY, TX	30.00%	NA	50	1/1/2025 - 10/30/2025
55-64 Years	BEAVER, OK	35.19%	NA	54	1/1/2025 - 10/30/2025
55-64 Years	GILES, TN	42.86%	39.29%	28	1/1/2025 - 10/30/2025
55-64 Years	CAMERON, TX	50.79%	27.69%	1459	1/1/2025 - 10/30/2025
55-64 Years	JONES, SD	NA	NA	20	1/1/2025 - 10/30/2025
55-64 Years	COCHRAN, TX	NA	NA	5	1/1/2025 - 10/30/2025
55-64 Years	DEUEL, SD	44.51%	32.69%	364	1/1/2025 - 10/30/2025
55-64 Years	JERAULD, SD	50.00%	30.00%	40	1/1/2025 - 10/30/2025
55-64 Years	TAYLOR, TX	47.02%	20.54%	521	1/1/2025 - 10/30/2025
55-64 Years	BENNETT, SD	24.72%	NA	89	1/1/2025 - 10/30/2025
55-64 Years	HAND, SD	NA	NA	37	1/1/2025 - 10/30/2025
55-64 Years	CODINGTON, SD	39.38%	29.19%	1521	1/1/2025 - 10/30/2025
55-64 Years	BENNINGTON, VT	37.27%	13.76%	1025	1/1/2025 - 10/30/2025
55-64 Years	WALLOWA, OR	38.00%	15.26%	629	1/1/2025 - 10/30/2025
55-64 Years	CHITTENDEN, VT	34.97%	17.56%	17268	1/1/2025 - 10/30/2025
55-64 Years	BEAUFORT, SC	37.11%	13.02%	5077	1/1/2025 - 10/30/2025
55-64 Years	EL PASO, TX	43.12%	24.31%	436	1/1/2025 - 10/30/2025
55-64 Years	ARLINGTON, VA	34.61%	19.03%	12408	1/1/2025 - 10/30/2025
55-64 Years	BORDEN, TX	NA	NA	5	1/1/2025 - 10/30/2025
55-64 Years	LANE, OR	46.03%	19.10%	4508	1/1/2025 - 10/30/2025
55-64 Years	STARR, TX	52.85%	48.78%	123	1/1/2025 - 10/30/2025
55-64 Years	CHARLOTTESVILLE CITY, VA	39.54%	26.30%	3685	1/1/2025 - 10/30/2025
55-64 Years	KENT, RI	37.80%	23.22%	7736	1/1/2025 - 10/30/2025
55-64 Years	BENTON, OR	35.44%	17.31%	5847	1/1/2025 - 10/30/2025
55-64 Years	EMERY, UT	38.82%	NA	85	1/1/2025 - 10/30/2025
55-64 Years	JACKSON, OR	35.57%	19.30%	5684	1/1/2025 - 10/30/2025
55-64 Years	HIDALGO, TX	54.59%	34.79%	2788	1/1/2025 - 10/30/2025
55-64 Years	CLACKAMAS, OR	37.81%	17.19%	17538	1/1/2025 - 10/30/2025
55-64 Years	OGLALA LAKOTA, SD	46.67%	NA	30	1/1/2025 - 10/30/2025
55-64 Years	MACON, TN	NA	NA	21	1/1/2025 - 10/30/2025
55-64 Years	FISHER, TX	75.00%	NA	16	1/1/2025 - 10/30/2025
55-64 Years	MARSHALL, TN	NA	NA	30	1/1/2025 - 10/30/2025
55-64 Years	COMAL, TX	31.00%	20.44%	2187	1/1/2025 - 10/30/2025
55-64 Years	SALT LAKE, UT	35.77%	21.56%	40835	1/1/2025 - 10/30/2025
55-64 Years	LOVING, TX	NA	NA	5	1/1/2025 - 10/30/2025
55-64 Years	GRAND, UT	28.09%	9.79%	235	1/1/2025 - 10/30/2025
55-64 Years	GAINES, TX	42.86%	NA	28	1/1/2025 - 10/30/2025
55-64 Years	WASHINGTON, OR	36.03%	17.19%	21355	1/1/2025 - 10/30/2025
55-64 Years	DAVIS, UT	35.57%	23.00%	7587	1/1/2025 - 10/30/2025
55-64 Years	SHACKELFORD, TX	59.09%	NA	22	1/1/2025 - 10/30/2025
55-64 Years	GLASSCOCK, TX	46.15%	NA	26	1/1/2025 - 10/30/2025
55-64 Years	MULTNOMAH, OR	34.81%	16.64%	34087	1/1/2025 - 10/30/2025
55-64 Years	HAMLIN, SD	43.65%	41.01%	378	1/1/2025 - 10/30/2025
55-64 Years	WINDHAM, VT	29.68%	13.20%	3433	1/1/2025 - 10/30/2025
55-64 Years	SEVIER, UT	30.99%	20.57%	384	1/1/2025 - 10/30/2025
55-64 Years	FOARD, TX	NA	NA	11	1/1/2025 - 10/30/2025
55-64 Years	FALLS CHURCH CITY, VA	31.28%	20.89%	991	1/1/2025 - 10/30/2025
55-64 Years	LOUDON, TN	30.65%	16.53%	248	1/1/2025 - 10/30/2025
55-64 Years	CLATSOP, OR	35.15%	19.02%	899	1/1/2025 - 10/30/2025
55-64 Years	KLAMATH, OR	48.42%	32.05%	855	1/1/2025 - 10/30/2025
55-64 Years	BEDFORD, TN	23.73%	18.64%	59	1/1/2025 - 10/30/2025
55-64 Years	ROBERTSON, TN	27.59%	25.86%	58	1/1/2025 - 10/30/2025
55-64 Years	WEBER, UT	32.67%	24.53%	4065	1/1/2025 - 10/30/2025
55-64 Years	BOX ELDER, UT	34.47%	23.84%	818	1/1/2025 - 10/30/2025
55-64 Years	WEBB, TX	53.22%	27.46%	528	1/1/2025 - 10/30/2025
55-64 Years	UNION, PA	30.26%	18.09%	304	1/1/2025 - 10/30/2025
55-64 Years	LAMOILLE, VT	26.41%	9.74%	2022	1/1/2025 - 10/30/2025
55-64 Years	BEE, TX	66.02%	35.92%	103	1/1/2025 - 10/30/2025
55-64 Years	ARANSAS, TX	41.85%	22.28%	184	1/1/2025 - 10/30/2025
55-64 Years	MILLARD, UT	31.33%	19.28%	166	1/1/2025 - 10/30/2025
55-64 Years	HOOD RIVER, OR	30.17%	13.84%	1127	1/1/2025 - 10/30/2025
55-64 Years	SMITH, TN	NA	NA	21	1/1/2025 - 10/30/2025
55-64 Years	CANNON, TN	NA	NA	16	1/1/2025 - 10/30/2025
55-64 Years	JIM HOGG, TX	NA	NA	12	1/1/2025 - 10/30/2025
55-64 Years	BEAVER, UT	22.22%	NA	63	1/1/2025 - 10/30/2025
55-64 Years	JUAB, UT	26.58%	NA	79	1/1/2025 - 10/30/2025
55-64 Years	KANE, UT	28.24%	12.94%	85	1/1/2025 - 10/30/2025
55-64 Years	PIUTE, UT	NA	NA	30	1/1/2025 - 10/30/2025
55-64 Years	LIVE OAK, TX	55.36%	30.36%	56	1/1/2025 - 10/30/2025
55-64 Years	IRON, UT	25.97%	16.65%	847	1/1/2025 - 10/30/2025
55-64 Years	JOSEPHINE, OR	31.88%	16.04%	505	1/1/2025 - 10/30/2025
55-64 Years	UTAH, UT	31.54%	19.04%	6522	1/1/2025 - 10/30/2025
55-64 Years	LEXINGTON CITY, VA	32.64%	16.58%	193	1/1/2025 - 10/30/2025
55-64 Years	MAURY, TN	26.70%	21.02%	176	1/1/2025 - 10/30/2025
55-64 Years	DUVAL, TX	43.90%	26.83%	41	1/1/2025 - 10/30/2025
55-64 Years	MORGAN, UT	27.27%	15.76%	165	1/1/2025 - 10/30/2025
55-64 Years	ROANE, TN	22.93%	19.11%	157	1/1/2025 - 10/30/2025
55-64 Years	SANPETE, UT	27.90%	23.82%	319	1/1/2025 - 10/30/2025
55-64 Years	CACHE, UT	25.35%	24.21%	2024	1/1/2025 - 10/30/2025
55-64 Years	KNOX, TN	23.90%	12.29%	887	1/1/2025 - 10/30/2025
55-64 Years	WAYNE, UT	NA	NA	35	1/1/2025 - 10/30/2025
55-64 Years	JIM WELLS, TX	57.05%	30.20%	149	1/1/2025 - 10/30/2025
55-64 Years	KLEBERG, TX	60.00%	32.00%	75	1/1/2025 - 10/30/2025
55-64 Years	BROOKS, TX	NA	NA	5	1/1/2025 - 10/30/2025
55-64 Years	WASATCH, UT	22.17%	18.05%	1263	1/1/2025 - 10/30/2025
55-64 Years	WASHINGTON, UT	22.30%	17.48%	2700	1/1/2025 - 10/30/2025
55-64 Years	SUMNER, TN	24.53%	16.53%	375	1/1/2025 - 10/30/2025
55-64 Years	WILLIAMSON, TN	20.59%	11.97%	476	1/1/2025 - 10/30/2025
55-64 Years	MORGAN, TN	24.07%	NA	54	1/1/2025 - 10/30/2025
55-64 Years	GARFIELD, UT	15.53%	15.53%	103	1/1/2025 - 10/30/2025
55-64 Years	SAN PATRICIO, TX	46.49%	29.15%	271	1/1/2025 - 10/30/2025
55-64 Years	ANDERSON, TN	24.29%	17.14%	210	1/1/2025 - 10/30/2025
55-64 Years	WILSON, TN	19.85%	10.66%	272	1/1/2025 - 10/30/2025
55-64 Years	KENT, TX	NA	NA	5	1/1/2025 - 10/30/2025
55-64 Years	SUMMIT, UT	14.77%	10.58%	3535	1/1/2025 - 10/30/2025
55-64 Years	MONTGOMERY, TN	18.33%	15.91%	660	1/1/2025 - 10/30/2025
55-64 Years	DAVIDSON, TN	16.11%	11.34%	1173	1/1/2025 - 10/30/2025
55-64 Years	NUECES, TX	49.51%	27.79%	1022	1/1/2025 - 10/30/2025
55-64 Years	RUTHERFORD, TN	14.56%	15.84%	625	1/1/2025 - 10/30/2025
55-64 Years	CULBERSON, TX	NA	NA	5	1/1/2025 - 10/30/2025
65+ Years	WILLIAMSBURG, SC	53.36%	26.41%	5529	1/1/2025 - 10/30/2025
65+ Years	PORTSMOUTH CITY, VA	49.94%	32.03%	13256	1/1/2025 - 10/30/2025
65+ Years	SOUTHAMPTON, VA	49.08%	28.23%	3107	1/1/2025 - 10/30/2025
65+ Years	FRANKLIN CITY, VA	48.26%	28.77%	2190	1/1/2025 - 10/30/2025
65+ Years	PETERSBURG CITY, VA	50.57%	26.47%	4669	1/1/2025 - 10/30/2025
65+ Years	MARLBORO, SC	49.52%	21.13%	2811	1/1/2025 - 10/30/2025
65+ Years	HOPEWELL CITY, VA	47.93%	18.32%	1861	1/1/2025 - 10/30/2025
65+ Years	SURRY, VA	51.46%	30.99%	1368	1/1/2025 - 10/30/2025
65+ Years	BUCHANAN, VA	48.28%	24.57%	2523	1/1/2025 - 10/30/2025
65+ Years	JACKSON, OH	48.56%	33.33%	1530	1/1/2025 - 10/30/2025
65+ Years	MEIGS, OH	49.71%	32.42%	2215	1/1/2025 - 10/30/2025
65+ Years	SUSSEX, VA	48.31%	25.18%	1505	1/1/2025 - 10/30/2025
65+ Years	MARION, TN	48.12%	25.21%	3026	1/1/2025 - 10/30/2025
65+ Years	NOTTOWAY, VA	50.26%	23.26%	1956	1/1/2025 - 10/30/2025
65+ Years	ROSS, OH	48.85%	38.78%	6201	1/1/2025 - 10/30/2025
65+ Years	BRUNSWICK, VA	49.65%	28.35%	2882	1/1/2025 - 10/30/2025
65+ Years	WYTHE, VA	48.68%	13.45%	2580	1/1/2025 - 10/30/2025
65+ Years	PICKAWAY, OH	51.31%	37.69%	8541	1/1/2025 - 10/30/2025
65+ Years	CLARENDON, SC	48.40%	31.09%	7163	1/1/2025 - 10/30/2025
65+ Years	DILLON, SC	53.22%	23.15%	4739	1/1/2025 - 10/30/2025
65+ Years	PIKE, OH	48.10%	36.93%	1503	1/1/2025 - 10/30/2025
65+ Years	ARMSTRONG, PA	47.81%	16.79%	7677	1/1/2025 - 10/30/2025
65+ Years	DINWIDDIE, VA	50.83%	24.11%	3024	1/1/2025 - 10/30/2025
65+ Years	MORROW, OH	54.10%	35.50%	5262	1/1/2025 - 10/30/2025
65+ Years	PRINCE EDWARD, VA	49.40%	19.91%	1577	1/1/2025 - 10/30/2025
65+ Years	BAMBERG, SC	49.58%	20.72%	2239	1/1/2025 - 10/30/2025
65+ Years	COLUMBIANA, OH	49.24%	26.44%	12101	1/1/2025 - 10/30/2025
65+ Years	FOREST, PA	49.19%	17.34%	248	1/1/2025 - 10/30/2025
65+ Years	SUFFOLK CITY, VA	48.03%	33.06%	15376	1/1/2025 - 10/30/2025
65+ Years	LEE, SC	47.93%	26.71%	2587	1/1/2025 - 10/30/2025
65+ Years	HOCKING, OH	49.51%	32.58%	2535	1/1/2025 - 10/30/2025
65+ Years	GUERNSEY, OH	47.47%	20.89%	3781	1/1/2025 - 10/30/2025
65+ Years	LAKE, TN	47.79%	27.07%	724	1/1/2025 - 10/30/2025
65+ Years	VINTON, OH	48.84%	33.78%	903	1/1/2025 - 10/30/2025
65+ Years	GREENSVILLE, VA	50.77%	23.46%	2336	1/1/2025 - 10/30/2025
65+ Years	HAMPTON CITY, VA	49.03%	31.97%	21167	1/1/2025 - 10/30/2025
65+ Years	MARION, SC	51.27%	21.60%	6005	1/1/2025 - 10/30/2025
65+ Years	CROSBY, TX	50.00%	NA	44	1/1/2025 - 10/30/2025
65+ Years	CLAY, TN	NA	NA	19	1/1/2025 - 10/30/2025
65+ Years	PULASKI, VA	50.18%	6.99%	815	1/1/2025 - 10/30/2025
65+ Years	FLORENCE, SC	48.55%	21.48%	24706	1/1/2025 - 10/30/2025
65+ Years	CRAWFORD, OH	54.92%	42.35%	8860	1/1/2025 - 10/30/2025
65+ Years	KING AND QUEEN, VA	49.69%	27.52%	1457	1/1/2025 - 10/30/2025
65+ Years	ASHLAND, OH	50.79%	41.72%	8608	1/1/2025 - 10/30/2025
65+ Years	ORANGEBURG, SC	48.64%	19.00%	12975	1/1/2025 - 10/30/2025
65+ Years	DARLINGTON, SC	47.25%	19.70%	9878	1/1/2025 - 10/30/2025
65+ Years	NOBLE, OH	47.90%	19.61%	714	1/1/2025 - 10/30/2025
65+ Years	COLONIAL HEIGHTS CITY, VA	46.32%	23.49%	2789	1/1/2025 - 10/30/2025
65+ Years	FAYETTE, OH	47.04%	39.06%	2755	1/1/2025 - 10/30/2025
65+ Years	APPOMATTOX, VA	50.26%	9.69%	1341	1/1/2025 - 10/30/2025
65+ Years	RICHLAND, OH	50.92%	41.07%	22297	1/1/2025 - 10/30/2025
65+ Years	MONROE, OH	52.50%	30.71%	2400	1/1/2025 - 10/30/2025
65+ Years	MORGAN, OH	42.12%	26.71%	584	1/1/2025 - 10/30/2025
65+ Years	ESSEX, VA	49.47%	27.88%	2367	1/1/2025 - 10/30/2025
65+ Years	TRUMBULL, OH	47.32%	29.29%	29086	1/1/2025 - 10/30/2025
65+ Years	FAIRFIELD, OH	48.65%	32.24%	19454	1/1/2025 - 10/30/2025
65+ Years	MANASSAS PARK CITY, VA	47.08%	30.64%	754	1/1/2025 - 10/30/2025
65+ Years	CUMBERLAND, VA	47.98%	21.75%	892	1/1/2025 - 10/30/2025
65+ Years	MECKLENBURG, VA	49.01%	33.04%	7042	1/1/2025 - 10/30/2025
65+ Years	ISLE OF WIGHT, VA	47.78%	31.79%	8374	1/1/2025 - 10/30/2025
65+ Years	RAINS, TX	50.67%	24.30%	1350	1/1/2025 - 10/30/2025
65+ Years	LOGAN, OH	49.21%	29.40%	4885	1/1/2025 - 10/30/2025
65+ Years	CHARLOTTE, VA	50.60%	24.31%	1411	1/1/2025 - 10/30/2025
65+ Years	VAN BUREN, TN	42.67%	20.67%	150	1/1/2025 - 10/30/2025
