age	county	bmi_30_49.8	obesity_(%)	n_obesity_county	Year
<18 Years	FOND DU LAC, WI	6.02%	3.74%	7028	1/1/2025 - 10/30/2025
<18 Years	GRANT, WI	7.33%	3.13%	2170	1/1/2025 - 10/30/2025
<18 Years	BARRON, WI	5.97%	2.82%	888	1/1/2025 - 10/30/2025
<18 Years	LANGLADE, WI	6.37%	5.18%	251	1/1/2025 - 10/30/2025
<18 Years	JEFFERSON, WI	5.28%	4.22%	4529	1/1/2025 - 10/30/2025
<18 Years	TREMPEALEAU, WI	5.98%	3.60%	3663	1/1/2025 - 10/30/2025
<18 Years	MONROE, WI	6.37%	4.14%	5294	1/1/2025 - 10/30/2025
<18 Years	KENOSHA, WI	6.32%	4.67%	24162	1/1/2025 - 10/30/2025
<18 Years	ASOTIN, WA	NA	NA	64	1/1/2025 - 10/30/2025
<18 Years	LINCOLN, WA	NA	NA	40	1/1/2025 - 10/30/2025
<18 Years	JUNEAU, WI	5.44%	3.13%	1855	1/1/2025 - 10/30/2025
<18 Years	LARAMIE, WY	4.85%	3.32%	11805	1/1/2025 - 10/30/2025
<18 Years	BAYFIELD, WI	6.24%	3.73%	1073	1/1/2025 - 10/30/2025
<18 Years	WAYNE, WV	12.42%	7.08%	3929	1/1/2025 - 10/30/2025
<18 Years	CRAWFORD, WI	5.61%	2.20%	1229	1/1/2025 - 10/30/2025
<18 Years	MONONGALIA, WV	5.78%	3.65%	13901	1/1/2025 - 10/30/2025
<18 Years	SKAGIT, WA	7.94%	7.99%	15030	1/1/2025 - 10/30/2025
<18 Years	EAU CLAIRE, WI	4.87%	2.90%	4824	1/1/2025 - 10/30/2025
<18 Years	PUTNAM, WV	5.66%	3.46%	4860	1/1/2025 - 10/30/2025
<18 Years	MONROE, WV	5.81%	3.87%	413	1/1/2025 - 10/30/2025
<18 Years	ASHLAND, WI	6.51%	3.59%	1506	1/1/2025 - 10/30/2025
<18 Years	CLAY, WV	7.87%	5.08%	610	1/1/2025 - 10/30/2025
<18 Years	FERRY, WA	NA	NA	21	1/1/2025 - 10/30/2025
<18 Years	CLARK, WI	4.61%	NA	499	1/1/2025 - 10/30/2025
<18 Years	SAWYER, WI	7.07%	4.50%	1244	1/1/2025 - 10/30/2025
<18 Years	POLK, WI	4.57%	1.90%	1576	1/1/2025 - 10/30/2025
<18 Years	COLUMBIA, WI	5.16%	4.46%	3835	1/1/2025 - 10/30/2025
<18 Years	TAYLOR, WI	NA	NA	125	1/1/2025 - 10/30/2025
<18 Years	ISLAND, WA	5.14%	2.86%	1712	1/1/2025 - 10/30/2025
<18 Years	VERNON, WI	4.64%	2.61%	3253	1/1/2025 - 10/30/2025
<18 Years	RICHLAND, WI	6.26%	2.87%	767	1/1/2025 - 10/30/2025
<18 Years	CABELL, WV	9.43%	4.66%	8206	1/1/2025 - 10/30/2025
<18 Years	VILAS, WI	NA	NA	75	1/1/2025 - 10/30/2025
<18 Years	SAINT CROIX, WI	4.36%	4.36%	1331	1/1/2025 - 10/30/2025
<18 Years	IRON, WI	8.09%	NA	235	1/1/2025 - 10/30/2025
<18 Years	MILWAUKEE, WI	7.26%	6.97%	142207	1/1/2025 - 10/30/2025
<18 Years	CARBON, WY	7.41%	2.72%	405	1/1/2025 - 10/30/2025
<18 Years	BIG HORN, WY	NA	NA	181	1/1/2025 - 10/30/2025
<18 Years	SPOKANE, WA	9.37%	4.76%	630	1/1/2025 - 10/30/2025
<18 Years	SKAMANIA, WA	8.56%	2.62%	724	1/1/2025 - 10/30/2025
<18 Years	CONVERSE, WY	NA	NA	116	1/1/2025 - 10/30/2025
<18 Years	DOUGLAS, WA	5.88%	6.07%	5803	1/1/2025 - 10/30/2025
<18 Years	SAUK, WI	6.05%	4.00%	1950	1/1/2025 - 10/30/2025
<18 Years	LA CROSSE, WI	4.69%	2.78%	14618	1/1/2025 - 10/30/2025
<18 Years	WASHINGTON, WI	4.17%	2.52%	14223	1/1/2025 - 10/30/2025
<18 Years	IOWA, WI	5.60%	3.87%	983	1/1/2025 - 10/30/2025
<18 Years	SWEETWATER, WY	NA	2.19%	640	1/1/2025 - 10/30/2025
<18 Years	OKANOGAN, WA	7.07%	5.36%	3977	1/1/2025 - 10/30/2025
<18 Years	NIOBRARA, WY	NA	NA	21	1/1/2025 - 10/30/2025
<18 Years	CAMPBELL, WY	7.04%	2.67%	1535	1/1/2025 - 10/30/2025
<18 Years	LINCOLN, WY	4.19%	1.01%	2076	1/1/2025 - 10/30/2025
<18 Years	COLUMBIA, WA	NA	NA	5	1/1/2025 - 10/30/2025
<18 Years	COWLITZ, WA	6.24%	2.59%	5065	1/1/2025 - 10/30/2025
<18 Years	GRAYS HARBOR, WA	NA	NA	41	1/1/2025 - 10/30/2025
<18 Years	GREEN, WI	5.16%	3.86%	2228	1/1/2025 - 10/30/2025
<18 Years	CHELAN, WA	5.67%	5.23%	9235	1/1/2025 - 10/30/2025
<18 Years	LAFAYETTE, WI	4.37%	3.10%	709	1/1/2025 - 10/30/2025
<18 Years	WESTON, WY	3.85%	NA	312	1/1/2025 - 10/30/2025
<18 Years	POCAHONTAS, WV	4.85%	NA	227	1/1/2025 - 10/30/2025
<18 Years	WOOD, WI	5.21%	3.67%	844	1/1/2025 - 10/30/2025
<18 Years	PACIFIC, WA	12.33%	NA	227	1/1/2025 - 10/30/2025
<18 Years	LINCOLN, WI	6.37%	NA	251	1/1/2025 - 10/30/2025
<18 Years	WHATCOM, WA	6.94%	3.73%	6409	1/1/2025 - 10/30/2025
<18 Years	SNOHOMISH, WA	5.24%	3.25%	15208	1/1/2025 - 10/30/2025
<18 Years	JACKSON, WI	5.66%	3.10%	1289	1/1/2025 - 10/30/2025
<18 Years	PARK, WY	5.41%	NA	979	1/1/2025 - 10/30/2025
<18 Years	ONEIDA, WI	NA	NA	180	1/1/2025 - 10/30/2025
<18 Years	KITTITAS, WA	7.33%	8.53%	750	1/1/2025 - 10/30/2025
<18 Years	ALBANY, WY	4.16%	1.45%	2139	1/1/2025 - 10/30/2025
<18 Years	MARATHON, WI	5.60%	3.87%	1499	1/1/2025 - 10/30/2025
<18 Years	BENTON, WA	NA	NA	185	1/1/2025 - 10/30/2025
<18 Years	WASHAKIE, WY	NA	NA	69	1/1/2025 - 10/30/2025
<18 Years	PIERCE, WA	3.61%	2.01%	3431	1/1/2025 - 10/30/2025
<18 Years	NATRONA, WY	7.32%	6.16%	601	1/1/2025 - 10/30/2025
<18 Years	WYOMING, WV	7.36%	3.22%	435	1/1/2025 - 10/30/2025
<18 Years	HOT SPRINGS, WY	NA	NA	32	1/1/2025 - 10/30/2025
<18 Years	STEVENS, WA	NA	NA	18	1/1/2025 - 10/30/2025
<18 Years	FRANKLIN, WA	NA	NA	89	1/1/2025 - 10/30/2025
<18 Years	LEWIS, WA	5.96%	NA	319	1/1/2025 - 10/30/2025
<18 Years	FREMONT, WY	9.93%	8.19%	403	1/1/2025 - 10/30/2025
<18 Years	OZAUKEE, WI	2.87%	2.06%	14148	1/1/2025 - 10/30/2025
<18 Years	KLICKITAT, WA	6.59%	4.68%	1411	1/1/2025 - 10/30/2025
<18 Years	UINTA, WY	3.53%	NA	1333	1/1/2025 - 10/30/2025
<18 Years	MASON, WA	NA	NA	39	1/1/2025 - 10/30/2025
<18 Years	PRICE, WI	NA	NA	127	1/1/2025 - 10/30/2025
<18 Years	WHITMAN, WA	5.09%	NA	393	1/1/2025 - 10/30/2025
<18 Years	SUBLETTE, WY	NA	NA	170	1/1/2025 - 10/30/2025
<18 Years	WAUKESHA, WI	3.32%	2.18%	46581	1/1/2025 - 10/30/2025
<18 Years	CLALLAM, WA	NA	NA	27	1/1/2025 - 10/30/2025
<18 Years	PORTAGE, WI	3.82%	3.53%	1047	1/1/2025 - 10/30/2025
<18 Years	DANE, WI	3.92%	4.10%	69815	1/1/2025 - 10/30/2025
<18 Years	YAKIMA, WA	7.28%	6.94%	9505	1/1/2025 - 10/30/2025
<18 Years	KING, WA	4.27%	2.51%	60538	1/1/2025 - 10/30/2025
<18 Years	CROOK, WY	4.05%	NA	296	1/1/2025 - 10/30/2025
<18 Years	SHERIDAN, WY	7.47%	NA	174	1/1/2025 - 10/30/2025
<18 Years	JOHNSON, WY	NA	NA	62	1/1/2025 - 10/30/2025
<18 Years	WALLA WALLA, WA	NA	NA	46	1/1/2025 - 10/30/2025
<18 Years	CLARK, WA	3.85%	2.01%	33758	1/1/2025 - 10/30/2025
<18 Years	PEND OREILLE, WA	NA	NA	5	1/1/2025 - 10/30/2025
<18 Years	SAN JUAN, WA	7.95%	9.93%	151	1/1/2025 - 10/30/2025
<18 Years	JEFFERSON, WA	NA	NA	15	1/1/2025 - 10/30/2025
<18 Years	KITSAP, WA	NA	NA	377	1/1/2025 - 10/30/2025
<18 Years	THURSTON, WA	6.65%	3.42%	526	1/1/2025 - 10/30/2025
<18 Years	TETON, WY	NA	NA	198	1/1/2025 - 10/30/2025
<18 Years	None of the above	6.10%	3.49%	50845	1/1/2025 - 10/30/2025
<18 Years	Total	6.20%	4.46%	1027470	1/1/2025 - 10/30/2025
18-24 Years	MINGO, WV	50.73%	28.45%	341	1/1/2025 - 10/30/2025
18-24 Years	TYLER, WV	45.18%	23.49%	332	1/1/2025 - 10/30/2025
18-24 Years	PLEASANTS, WV	39.00%	16.18%	241	1/1/2025 - 10/30/2025
18-24 Years	WIRT, WV	49.48%	21.88%	192	1/1/2025 - 10/30/2025
18-24 Years	RITCHIE, WV	40.00%	14.57%	350	1/1/2025 - 10/30/2025
18-24 Years	WEBSTER, WV	42.69%	18.18%	253	1/1/2025 - 10/30/2025
18-24 Years	MCDOWELL, WV	47.32%	17.07%	205	1/1/2025 - 10/30/2025
18-24 Years	DODDRIDGE, WV	51.85%	25.56%	270	1/1/2025 - 10/30/2025
18-24 Years	MARINETTE, WI	37.61%	13.34%	2151	1/1/2025 - 10/30/2025
18-24 Years	WETZEL, WV	43.34%	20.48%	796	1/1/2025 - 10/30/2025
18-24 Years	CALHOUN, WV	43.10%	15.52%	116	1/1/2025 - 10/30/2025
18-24 Years	TAYLOR, WV	44.57%	18.80%	617	1/1/2025 - 10/30/2025
18-24 Years	NICHOLAS, WV	35.21%	13.53%	835	1/1/2025 - 10/30/2025
18-24 Years	GRANT, WV	38.72%	11.06%	452	1/1/2025 - 10/30/2025
18-24 Years	BARBOUR, WV	40.08%	16.97%	489	1/1/2025 - 10/30/2025
