Session Title,Heat only KYNC county year 2018-2025,,
Session ID,2792485,,
Data Model,Patients,,
Population Base,All Patients,,
Population Criteria Filters: These criteria are a summary and do not fully reflect the content of the exported session.,State of Residence: STATES_KY_NC,"Encounter Type: Emergency, Emergency to Inpatient",
Session Date Range,1/1/2018 - 12/31/2025,,
Measure,Number of Patients,,
Export User,Stephanie Perniciaro,,
Date of Export,1/22/2026,,
,,,
,,,
,Diagnosis (Encounter),Heat,"Total: Total includes all data, including data from columns not currently displayed."
Year,County of Residence,,
,"YELLOWSTONE, MT",10 or fewer,9456
,"ALLEGAN, MI",10 or fewer,10600
,"SAINT LAWRENCE, NY",10 or fewer,289
,"LINCOLN, NC",10 or fewer,3030
,"HAMPDEN, MA",10 or fewer,3045
,"PLATTE, MO",14,10089
,"MADISON, MS",15,9358
,"PEARL RIVER, MS",31,13209
,"SARATOGA, NY",10 or fewer,878
,"WARREN, NJ",13,11708
,"EDGECOMBE, NC",20,11650
,"LENOIR, NC",10 or fewer,4636
,"BULLITT, KY",21,10256
,"BURKE, NC",10 or fewer,1510
,"CHATHAM, NC",10 or fewer,11218
,"MONTCALM, MI",15,11701
,"CLINTON, NY",10 or fewer,203
,"FRANKLIN, NC",24,11150
,"WRIGHT, MN",10 or fewer,6403
,"CHEMUNG, NY",10 or fewer,6983
,"IREDELL, NC",10 or fewer,5071
,"HERKIMER, NY",12,7872
,"OTSEGO, NY",10 or fewer,11702
,"STANLY, NC",10 or fewer,1830
,"DUPLIN, NC",14,8448
,"GENESEE, NY",10 or fewer,3095
,"CAPE GIRARDEAU, MO",23,10250
,"HALIFAX, NC",10 or fewer,3970
,"CLAY, MN",10 or fewer,10624
,"CROW WING, MN",18,10321
,"CHESHIRE, NH",10 or fewer,9427
,"OLDHAM, KY",17,9376
,"BEAUFORT, NC",17,11974
,"BARRY, MI",10 or fewer,8615
,"NEWAYGO, MI",11,9507
,"WHITLEY, KY",10 or fewer,10577
,"BUCHANAN, MO",10 or fewer,1194
,"CHISAGO, MN",10 or fewer,10141
,"HOWARD, MD",10 or fewer,5224
,"BUNCOMBE, NC",10 or fewer,2937
,"ST JOHN THE BAPTIST, LA",25,11709
,"OXFORD, ME",12,8111
,"RICHMOND, NY",10 or fewer,5622
,"LEE, MS",10 or fewer,2980
,"PASQUOTANK, NC",20,11255
,"LAUDERDALE, MS",10 or fewer,1146
,"SCOTT, MN",10 or fewer,7142
,"WILSON, NC",10 or fewer,6017
,"LIVINGSTON, NY",10 or fewer,4294
,"PASSAIC, NJ",10 or fewer,1878
,"ITASCA, MN",11,9819
,"LAFOURCHE, LA",15,8377
,"FREDERICK, MD",10 or fewer,3725
,"LAFAYETTE, MS",26,8918
,"KNOX, ME",10 or fewer,9868
,"CHENANGO, NY",10 or fewer,3477
,"ATLANTIC, NJ",10 or fewer,4529
,"BELTRAMI, MN",10 or fewer,8893
,"PIKE, KY",10 or fewer,410
,"QUEEN ANNES, MD",10 or fewer,1974
,"HENDERSON, KY",10 or fewer,3273
,"ACADIA, LA",10 or fewer,1652
,"CHAVES, NM",18,6501
,"BRANCH, MI",10 or fewer,1429
,"MECOSTA, MI",10 or fewer,8297
,"DELAWARE, NY",10 or fewer,7108
,"OTTER TAIL, MN",13,4735
,"CALCASIEU, LA",10 or fewer,1585
,"ONSLOW, NC",10 or fewer,3407
,"SANDOVAL, NM",10 or fewer,6811
,"HOPKINS, KY",29,8975
,"GRAFTON, NH",10 or fewer,4501
,"GRANVILLE, NC",10 or fewer,6369
,"KANDIYOHI, MN",10 or fewer,5450
,"SAINT MARTIN, LA",10 or fewer,2106
,"CRAVEN, NC",10 or fewer,2488
,"HANCOCK, MS",19,6819
,"SAINT CHARLES, LA",13,6434
,"DARE, NC",10 or fewer,6879
,"DORCHESTER, MD",10 or fewer,2523
,"CATAWBA, NC",10 or fewer,2251
,"CECIL, MD",10 or fewer,2395
,"DELTA, MI",10 or fewer,7530
