Session Title,Heat only NDVA county year 2018-2025,,
Session ID,2792486,,
Data Model,Patients,,
Population Base,All Patients,,
Population Criteria Filters: These criteria are a summary and do not fully reflect the content of the exported session.,State of Residence: STATES_ND_VA,"Encounter Type: Emergency, Emergency to Inpatient",
Session Date Range,1/1/2018 - 12/31/2025,,
Measure,Number of Patients,,
Export User,Stephanie Perniciaro,,
Date of Export,1/22/2026,,
,,,
,,,
,Diagnosis (Encounter),Heat,"Total: Total includes all data, including data from columns not currently displayed."
Year,County of Residence,,
,"UTAH, UT",10 or fewer,2563
,"BENTON, OR",10 or fewer,10384
,"MONONGALIA, WV",10 or fewer,9998
,"GRAND FORKS, ND",12,10958
,"LACKAWANNA, PA",10 or fewer,1744
,"LAURENS, SC",34,15760
,"BRADFORD, PA",11,13110
,"CHEROKEE, SC",11,5049
,"BURLEIGH, ND",16,9596
,"DORCHESTER, SC",10 or fewer,4963
,"HAWKINS, TN",10 or fewer,12070
,"FREDERICK, VA",10 or fewer,3936
,"JEFFERSON, WV",11,12134
,"WASHINGTON, RI",10 or fewer,10231
,"LINCOLN, OR",10 or fewer,11518
,"KERSHAW, SC",10 or fewer,622
,"YORK, VA",22,9998
,"OCONEE, SC",15,10146
,"MARION, WV",10 or fewer,7088
,"WASHINGTON, VA",10 or fewer,5660
,"BUTLER, PA",10 or fewer,3226
,"CREEK, OK",25,7181
,"TIPTON, TN",30,9880
,"ORANGEBURG, SC",10 or fewer,1143
,"WAGONER, OK",14,7022
,"BRADLEY, TN",10 or fewer,5565
,"GEAUGA, OH",10 or fewer,5252
,"BELMONT, OH",10 or fewer,1437
,"CRAWFORD, OH",10 or fewer,11770
,"CARTER, TN",10 or fewer,1007
,"HIDALGO, TX",10 or fewer,1694
,"PICKAWAY, OH",10 or fewer,3750
,"COOS, OR",10 or fewer,862
,"PENNINGTON, SD",10 or fewer,5819
,"BROWN, OH",10 or fewer,11350
,"MERCER, WV",10 or fewer,529
,"MANASSAS CITY, VA",10 or fewer,7520
,"SENECA, OH",13,10470
,"TUSCARAWAS, OH",10 or fewer,962
,"ASHTABULA, OH",10 or fewer,3044
,"UMATILLA, OR",10 or fewer,2351
,"WASHINGTON, VT",10 or fewer,480
,"SANDUSKY, OH",14,9550
,"CORYELL, TX",10 or fewer,3748
,"LIBERTY, TX",10 or fewer,5353
,"CANADIAN, OK",10 or fewer,688
,"CULPEPER, VA",10 or fewer,2856
,"DAVIS, UT",10 or fewer,3364
,"MAYES, OK",31,7279
,"HARRISONBURG CITY, VA",10 or fewer,7275
,"MADISON, TN",10 or fewer,650
,"HAYS, TX",10 or fewer,1458
,"WISE, VA",15,7861
,"GLOUCESTER, VA",27,8699
,"CHARLOTTESVILLE CITY, VA",10 or fewer,7969
,"PREBLE, OH",17,9366
,"KANAWHA, WV",10 or fewer,1252
,"WASHINGTON, TX",14,7469
,"ATHENS, OH",10 or fewer,1800
,"ACCOMACK, VA",12,8346
,"FAUQUIER, VA",10 or fewer,4972
,"BURNET, TX",13,5838
,"COLUMBIANA, OH",10 or fewer,5604
,"ISLE OF WIGHT, VA",10 or fewer,6966
,"CLEVELAND, OK",10 or fewer,967
,"OHIO, WV",10 or fewer,1013
,"DARKE, OH",10 or fewer,3642
,"PETERSBURG CITY, VA",10 or fewer,1263
,"ERATH, TX",10 or fewer,904
,"BLAIR, PA",10 or fewer,1137
,"SHENANDOAH, VA",10 or fewer,2750
,"UNION, SC",12,9634
,"OKMULGEE, OK",26,5496
,"DEFIANCE, OH",10 or fewer,6763
,"ASHLAND, OH",10 or fewer,1968
,"HUNT, TX",10 or fewer,2141
,"MARION, SC",10 or fewer,277
,"CHESTER, SC",10 or fewer,449
,"HOOD, TX",10 or fewer,2836
,"DARLINGTON, SC",10 or fewer,404
,"WINDSOR, VT",10 or fewer,3803
,"LOUISA, VA",10 or fewer,5440
,"HALIFAX, VA",10 or fewer,746
,"OBION, TN",18,6866
,"SMYTH, VA",10 or fewer,1015
,"CHESTERFIELD, SC",10 or fewer,593
,"SOMERSET, PA",10 or fewer,5874
,"STAFFORD, VA",10 or fewer,4469
,"COLUMBIA, OR",10 or fewer,5960
,"BRISTOL, RI",10 or fewer,5638
,"FAIRFAX CITY, VA",10 or fewer,4974
,"CLINTON, OH",10 or fewer,5462
,"MERCER, PA",10 or fewer,1447
,"JEFFERSON, OR",10 or fewer,5761
,"WISE, TX",10 or fewer,1929
,"MADISON, OH",10 or fewer,5196
,"CHAMPAIGN, OH",10 or fewer,6638
,"MALHEUR, OR",10 or fewer,3089
,"CROOK, OR",10 or fewer,5415
,"RUSK, TX",10 or fewer,276
,"GRAYSON, TX",10 or fewer,1782
,"WAYNE, OH",10 or fewer,3747
,"WOOD, TX",10 or fewer,510
,"ORANGE, VA",10 or fewer,4163
,"MARSHALL, WV",12,3574
,"BEAVER, PA",10 or fewer,2451
,"WARREN, VA",10 or fewer,2184
,"PUTNAM, OH",10 or fewer,5522
,"LINCOLN, SD",10 or fewer,4130
,"WILLIAMS, OH",10 or fewer,1643
,"PERRY, PA",10 or fewer,5355
,"UPSHUR, WV",10 or fewer,6208
,"JACKSON, WV",10 or fewer,1235
,"PIKE, PA",10 or fewer,2589
,"FAYETTE, TN",10 or fewer,3339
,"HURON, OH",10 or fewer,4908
,"CARROLL, TN",10 or fewer,3477
,"RUSSELL, VA",10 or fewer,1665
,"HIGHLAND, OH",10 or fewer,2973
,"ADDISON, VT",10 or fewer,189
,"WEBER, UT",10 or fewer,1250
,"AIKEN, SC",10 or fewer,1056
,"FLUVANNA, VA",10 or fewer,4733
,"DILLON, SC",10 or fewer,222
,"LANE, OR",10 or fewer,3277
,"WALLER, TX",10 or fewer,2680
,"MILAM, TX",11,3623
,"MECKLENBURG, VA",10 or fewer,693
