Session Title,Heat only WAWY county year 2018-2025,,
Session ID,2792488,,
Data Model,Patients,,
Population Base,All Patients,,
Population Criteria Filters: These criteria are a summary and do not fully reflect the content of the exported session.,State of Residence: STATES_WA_WY,"Encounter Type: Emergency, Emergency to Inpatient",
Session Date Range,1/1/2018 - 12/31/2025,,
Measure,Number of Patients,,
Export User,Stephanie Perniciaro,,
Date of Export,1/22/2026,,
,,,
,,,
,Diagnosis (Encounter),Heat,"Total: Total includes all data, including data from columns not currently displayed."
Year,County of Residence,,
,"BAYFIELD, WI",10 or fewer,551
,"SAWYER, WI",10 or fewer,664
,"MASON, WV",10 or fewer,218
,"TUCKER, WV",10 or fewer,248
,"GILMER, WV",10 or fewer,413
,"CLARK, WI",10 or fewer,500
,"PEPIN, WI",10 or fewer,211
,"KITTITAS, WA",10 or fewer,376
,"UINTA, WY",10 or fewer,298
,"ROANE, WV",10 or fewer,205
,"FREMONT, WY",10 or fewer,292
,"LAFAYETTE, WI",10 or fewer,402
,"KLICKITAT, WA",10 or fewer,337
,"CLALLAM, WA",10 or fewer,350
,"WASHBURN, WI",10 or fewer,345
,"GRAYS HARBOR, WA",10 or fewer,367
,"CALHOUN, WV",10 or fewer,287
,"BOONE, WV",10 or fewer,98
,"MONROE, WV",10 or fewer,92
,"PACIFIC, WA",10 or fewer,350
,"FRANKLIN, WA",10 or fewer,237
,"LOGAN, WV",10 or fewer,116
,"MASON, WA",10 or fewer,290
,"WYOMING, WV",10 or fewer,96
,"ASHLAND, WI",10 or fewer,303
,"LINCOLN, WV",10 or fewer,90
,"WESTON, WY",10 or fewer,124
,"SAN JUAN, WA",10 or fewer,258
,"GOSHEN, WY",10 or fewer,208
,"ONEIDA, WI",10 or fewer,266
,"TETON, WY",10 or fewer,174
,"WAYNE, WV",10 or fewer,218
,"WHITMAN, WA",10 or fewer,149
,"PLATTE, WY",10 or fewer,250
,"SUMMERS, WV",10 or fewer,76
,"SHERIDAN, WY",10 or fewer,169
,"SKAMANIA, WA",10 or fewer,264
,"WALLA WALLA, WA",10 or fewer,201
,"BIG HORN, WY",10 or fewer,75
,"CROOK, WY",10 or fewer,150
,"SUBLETTE, WY",10 or fewer,95
,"POCAHONTAS, WV",10 or fewer,155
,"VILAS, WI",10 or fewer,233
,"MENOMINEE, WI",10 or fewer,248
,"LINCOLN, WI",10 or fewer,194
,"LANGLADE, WI",10 or fewer,212
,"JEFFERSON, WA",10 or fewer,143
,"STEVENS, WA",10 or fewer,138
,"TAYLOR, WI",10 or fewer,197
,"FOREST, WI",10 or fewer,131
,"CONVERSE, WY",10 or fewer,92
,"PRICE, WI",10 or fewer,195
,"WAHKIAKUM, WA",10 or fewer,110
,"ASOTIN, WA",10 or fewer,92
,"WASHAKIE, WY",10 or fewer,53
,"ADAMS, WA",10 or fewer,58
,"FLORENCE, WI",10 or fewer,89
,"IRON, WI",10 or fewer,76
,"JOHNSON, WY",10 or fewer,62
,"LINCOLN, WA",10 or fewer,62
,"PEND OREILLE, WA",10 or fewer,36
,"HOT SPRINGS, WY",10 or fewer,28
,"FERRY, WA",10 or fewer,27
,"NIOBRARA, WY",10 or fewer,22
,"COLUMBIA, WA",10 or fewer,11
,"GARFIELD, WA",10 or fewer,10 or fewer
,None of the above,13,23592
,Total,769,853064
Jan 1 – Dec 31 2019,"MILWAUKEE, WI",34,121533
,"KING, WA",33,79475
,"DANE, WI",41,57719
,"CLARK, WA",11,47811
,"BROWN, WI",31,42416
,"SNOHOMISH, WA",10 or fewer,17322
,"BERKELEY, WV",25,29130
,"WAUKESHA, WI",18,20396
,"ROCK, WI",23,24805
,"LARAMIE, WY",10 or fewer,19453
,"RACINE, WI",11,12972
,"SHEBOYGAN, WI",15,17117
