Session Title,Number of Patients by Diagnosis (Encounter) and County of Residence,,
Session ID,2792481,,
Data Model,Patients,,
Population Base,All Patients,,
Population Criteria Filters: These criteria are a summary and do not fully reflect the content of the exported session.,State of Residence: STATES_AL_DE,"Encounter Type: Emergency, Emergency to Inpatient",
Session Date Range,1/1/2018 - 12/31/2025,,
Measure,Number of Patients,,
Export User,Stephanie Perniciaro,,
Date of Export,1/22/2026,,
,,,
,,,
,Diagnosis (Encounter),Heat,"Total: Total includes all data, including data from columns not currently displayed."
Year,County of Residence,,
,"ASHLEY, AR",10 or fewer,401
,"DELTA, CO",10 or fewer,555
,"EAGLE, CO",10 or fewer,394
,"PHILLIPS, AR",10 or fewer,596
,"MONTGOMERY, AL",10 or fewer,430
,"PARK, CO",10 or fewer,737
,"LEE, AL",10 or fewer,528
,"RANDOLPH, AL",10 or fewer,842
,"INDEPENDENCE, AR",10 or fewer,546
,"COCONINO, AZ",10 or fewer,606
,"NEVADA, AR",10 or fewer,896
,"YOLO, CA",10 or fewer,567
,"GRAND, CO",10 or fewer,477
,"OTERO, CO",10 or fewer,289
,"WASHINGTON, AL",10 or fewer,102
,"GILA, AZ",10 or fewer,566
,"NEVADA, CA",10 or fewer,599
,"TUSCALOOSA, AL",10 or fewer,526
,"SANTA CRUZ, AZ",10 or fewer,537
,"MONTROSE, CO",10 or fewer,460
,"NAVAJO, AZ",10 or fewer,487
,"SHELBY, AL",10 or fewer,437
,"BUTTE, CA",10 or fewer,525
,"LOGAN, AR",10 or fewer,191
,"FRANKLIN, AR",10 or fewer,119
,"SHASTA, CA",10 or fewer,507
,"JOHNSON, AR",10 or fewer,319
,"GUNNISON, CO",10 or fewer,171
,"RANDOLPH, AR",10 or fewer,504
,"YELL, AR",10 or fewer,313
,"JACKSON, AR",10 or fewer,523
,"CLAY, AR",10 or fewer,521
,"PLUMAS, CA",10 or fewer,501
,"MADISON, AR",10 or fewer,75
,"NAPA, CA",10 or fewer,344
,"HEMPSTEAD, AR",10 or fewer,427
,"LINCOLN, AR",10 or fewer,258
,"SUMTER, AL",10 or fewer,65
,"MILLER, AR",10 or fewer,310
,"DESHA, AR",10 or fewer,288
,"ETOWAH, AL",10 or fewer,258
,"BRADLEY, AR",10 or fewer,298
,"DALLAS, AR",10 or fewer,488
,"PIKE, AR",10 or fewer,488
,"SHARP, AR",10 or fewer,404
,"MARIPOSA, CA",10 or fewer,246
,"APACHE, AZ",10 or fewer,325
,"SUMMIT, CO",10 or fewer,297
,"CLARKE, AL",10 or fewer,54
,"LOGAN, CO",10 or fewer,342
,"LA PLATA, CO",10 or fewer,320
,"RUSSELL, AL",10 or fewer,298
,"BAXTER, AR",10 or fewer,305
,"CLEVELAND, AR",10 or fewer,229
,"LAS ANIMAS, CO",10 or fewer,233
