Session Title,OBESITY by ICD and BMI County Age 2024,,,
Session ID,2776918,,,
Data Model,Patients,,,
Population Base,All Patients,,,
Population Criteria Filters: These criteria are a summary and do not fully reflect the content of the exported session.,State of Residence (U.S.): States ND_VA,Has Any Encounters?,Base Patient,
Session Date Range,1/1/2024 - 12/31/2024,,,
Export User,Stephanie Perniciaro,,,
Date of Export,11/14/2025,,,
,,,,
,,,,
,Measures,BMI 30+ (%),OBESITY (%),Number of Patients
Age at Encounter in Years,County of Residence,,,
Less than 18 Years,"LOVING, TX",-,-,10 or fewer
,"MUSKOGEE, OK",8.22%,2.48%,4806
,"SANDUSKY, OH",7.90%,3.03%,6442
,"WESTMORELAND, PA",6.84%,3.51%,6404
,"BROWN, OH",7.25%,4.74%,5693
,"SOMERSET, PA",8.66%,3.35%,2091
,"DANVILLE CITY, VA",10.42%,5.54%,758
,"WESTMORELAND, VA",11.04%,5.85%,1060
,"FULTON, PA",5.75%,2.81%,748
,"HUNTINGDON, PA",9.09%,-,198
,"MOORE, TN",-,-,10 or fewer
,"CLEARFIELD, PA",14.16%,-,113
,"HARDIN, OH",7.23%,3.21%,3057
,"DEFIANCE, OH",8.11%,4.93%,6631
,"CHEROKEE, OK",8.22%,3.85%,986
,"NORFOLK CITY, VA",6.54%,2.42%,5166
,"HASKELL, OK",11.80%,3.93%,610
,"KNOX, OH",5.77%,2.52%,1110
,"MARION, OH",8.60%,5.66%,11016
,"AMELIA, VA",10.86%,4.13%,654
,"LAUDERDALE, TN",7.86%,10.55%,1564
,"FRANKLIN, PA",6.56%,3.77%,14250
,"COOS, OR",8.90%,10.99%,7460
,"OBION, TN",7.31%,4.82%,2326
,"WYANDOT, OH",6.27%,3.25%,2646
,"ZAVALA, TX",11.43%,-,105
,"BELMONT, OH",8.67%,5.17%,8801
,"HIGHLAND, OH",8.69%,6.17%,3957
,"HALIFAX, VA",9.88%,4.71%,3989
,"CLINTON, OH",7.07%,4.70%,5916
,"HENRY, VA",8.13%,6.47%,603
,"BLEDSOE, TN",9.61%,6.28%,1051
,"CRAWFORD, PA",7.21%,4.81%,915
,"SCHUYLKILL, PA",7.51%,6.83%,16488
,"WISE, VA",11.21%,4.53%,5789
,"FALLS, TX",9.21%,4.77%,1802
,"LEE, TX",6.89%,5.20%,711
,"HENDERSON, TN",5.37%,4.23%,614
,"RUSSELL, VA",8.97%,3.17%,2932
,"OTTAWA, OH",7.03%,2.62%,4081
,"LAMPASAS, TX",8.35%,7.40%,2946
,"LATIMER, OK",8.65%,2.88%,520
,"LAWRENCE, PA",7.34%,3.02%,995
,"FAIRFIELD, SC",10.09%,7.33%,2211
,"PATRICK, VA",6.84%,-,190
,"GALAX CITY, VA",-,-,100
,"FAYETTE, PA",8.42%,3.05%,10856
,"DIMMIT, TX",12.12%,-,99
,"MORRIS, TX",12.14%,4.83%,766
,"BURLESON, TX",7.26%,4.26%,2066
,"PERRY, PA",8.00%,3.47%,3201
,"INDIANA, PA",7.30%,3.02%,397
,"HARRISON, OH",8.11%,2.43%,1357
,"BAMBERG, SC",10.69%,3.16%,1235
,"KERSHAW, SC",8.18%,2.77%,8122
,"LAURENS, SC",8.60%,9.31%,9298
,"LAKE, OR",7.67%,5.04%,417
,"DECATUR, TN",7.14%,6.55%,168
,"UNION, OH",4.64%,2.51%,3621
,"CREEK, OK",7.16%,3.78%,7486
,"CAROLINE, VA",8.86%,5.25%,1524
,"NEWBERRY, SC",9.71%,4.49%,2069
,"HURON, OH",7.27%,3.16%,4236
,"SARGENT, ND",7.89%,4.18%,646
,"CHESTER, TN",5.75%,7.95%,591
,"CLARION, PA",-,-,53
,"GALLIA, OH",7.37%,4.53%,353
,"ATASCOSA, TX",10.48%,8.56%,1145
,"VAN ZANDT, TX",6.85%,3.47%,3516
,"RICHMOND, VA",7.93%,5.05%,1110
,"AUGLAIZE, OH",5.86%,2.39%,3258
,"LICKING, OH",6.33%,3.86%,20827
,"CRAIG, OK",9.14%,1.60%,1564
,"GRANT, ND",4.83%,-,269
,"CAMBRIA, PA",9.19%,2.64%,6934
,"ORANGEBURG, SC",10.28%,5.76%,7829
,"ADAMS, OH",7.21%,5.52%,2553
,"EDWARDS, TX",-,-,40
,"ADAMS, PA",7.58%,3.55%,12197
,"ALLEN, OH",6.08%,2.25%,12383
,"COKE, TX",6.04%,5.47%,530
,"HENRY, OH",6.86%,4.35%,3631
,"KING WILLIAM, VA",7.72%,3.72%,2150
,"VAN BUREN, TN",-,-,65
,"ROBERTSON, TX",6.56%,3.77%,1723
,"HAWKINS, TN",10.54%,3.83%,5931
,"HOWARD, TX",6.75%,3.77%,504
,"SMYTH, VA",9.35%,2.46%,3294
,"FRANKLIN, OH",5.65%,2.58%,68264
,"CHESAPEAKE CITY, VA",5.59%,2.95%,7696
,"MALHEUR, OR",9.08%,6.09%,5517
,"MCCULLOCH, TX",6.99%,2.08%,672
,"JEFFERSON, PA",-,-,47
,"HENRY, TN",11.58%,2.95%,915
,"CAMP, TX",9.90%,6.64%,1718
,"KAUFMAN, TX",7.10%,4.60%,20217
,"DYER, TN",6.33%,7.78%,2829
,"NORTHAMPTON, VA",3.89%,2.64%,643
,"SUMTER, SC",7.28%,3.66%,8939
,"NEWPORT NEWS CITY, VA",6.45%,4.94%,16231
,"MERCER, PA",7.22%,1.76%,1759
,"LEE, VA",11.70%,4.11%,2555
,"LOUISA, VA",9.10%,3.82%,3636
,"SALUDA, SC",8.36%,6.68%,1962
,"ROGERS, OK",5.98%,2.99%,8274
,"WAGONER, OK",5.98%,3.92%,8042
,"EMPORIA CITY, VA",7.80%,-,141
,"FULTON, OH",7.10%,3.48%,6438
,"CORYELL, TX",7.78%,5.23%,8478
,"STONEWALL, TX",-,-,10 or fewer
,"OSAGE, OK",6.85%,3.67%,1007
,"TOM GREEN, TX",8.61%,5.59%,23652
,"GRUNDY, TN",8.33%,3.87%,336
,"DELAWARE, OK",5.63%,2.13%,800
,"CLERMONT, OH",6.49%,4.66%,30919
,"ACCOMACK, VA",4.27%,2.04%,2506
,"GLOUCESTER, VA",6.15%,3.95%,4765
,"PAGE, VA",8.30%,3.48%,3592
,"NORTHUMBERLAND, VA",9.01%,4.81%,1288
,"CALHOUN, SC",8.55%,5.34%,1555
,"MCKEAN, PA",-,-,83
,"PUTNAM, OH",5.14%,1.58%,4555
,"NAVARRO, TX",9.15%,6.93%,2425
,"SCOTT, VA",10.63%,3.73%,2013
,"NOWATA, OK",7.35%,-,313
,"WOOD, TX",8.70%,3.12%,3587
,"HUNT, TX",6.89%,7.98%,7818
,"MAYES, OK",7.77%,3.96%,5302
,"LYNCHBURG CITY, VA",9.57%,1.94%,2893
,"LAMOURE, ND",3.74%,2.22%,722
,"MADISON, VA",7.91%,3.95%,1568
,"RANSOM, ND",6.43%,3.73%,964
,"BEDFORD, PA",5.34%,2.77%,506
,"MONROE, PA",8.06%,14.58%,27149
,"RUNNELS, TX",6.32%,3.98%,1281
,"LUCAS, OH",7.51%,5.48%,67583
,"OKFUSKEE, OK",8.73%,4.97%,825
,"EDGEFIELD, SC",8.91%,1.93%,1504
,"MONTGOMERY, OH",6.29%,6.02%,88398
,"JUNIATA, PA",6.03%,-,232
,"PAULDING, OH",7.26%,2.77%,2094
,"BARNES, ND",7.59%,3.62%,1740
,"ELLIS, TX",6.75%,5.93%,30847
,"FLUVANNA, VA",7.32%,4.09%,2815
,"NORTON CITY, VA",11.81%,4.18%,838
,"BUTLER, OH",6.79%,6.43%,66925
