Session Title,OBESITY by ICD and BMI County KYNY Age 2026,,,
Session ID,2818141,,,
Data Model,Patients,,,
Population Base,All Patients,,,
Population Criteria Filters: These criteria are a summary and do not fully reflect the content of the exported session.,"State of Residence: Kentucky, Louisiana, Maine, Maryland, Massachusetts, Michigan, Minnesota, Mississippi, Missouri, Montana, Nebraska, Nevada, New Hampshire, New Jersey, New Mexico, New York",Country of Residence: United States of America,Has Any Encounters?,Base Patient
Session Date Range,1/1/2026 - 3/30/2026,,,
Export User,Stephanie Perniciaro,,,
Date of Export,5/4/2026,,,
,,,,
,,,,
Measures,BMI 30+ (%),OBESITY (%),Number of Patients,
County of Residence,,,,
"BUTLER, NE",50.29%,21.53%,873,
"VERNON, MO",50.29%,25.54%,873,
"BRACKEN, KY",50.27%,29.29%,3199,
"JEFFERSON DAVIS, LA",50.25%,29.81%,9867,
"ANDERSON, KY",50.18%,29.25%,11474,
"PERRY, KY",50.17%,27.95%,3245,
"BATES, MO",50.16%,26.56%,1864,
"HICKMAN, KY",50.12%,34.39%,1227,
"MONTGOMERY, MS",50.08%,31.44%,1797,
"ANDREW, MO",50.06%,23.50%,8667,
"GRENADA, MS",50.06%,25.09%,2547,
"HOWARD, NE",50.05%,23.67%,1031,
"GALLATIN, KY",50.03%,29.48%,4491,
"CAMERON, LA",50.00%,26.36%,664,
"OKTIBBEHA, MS",49.97%,22.17%,7790,
"ATTALA, MS",49.97%,19.48%,5107,
"MENIFEE, KY",49.93%,30.12%,737,
"RED WILLOW, NE",49.92%,19.71%,1867,
"CAROLINE, MD",49.87%,33.23%,16907,
"LENAWEE, MI",49.83%,37.56%,52467,
"WOLFE, KY",49.73%,24.53%,750,
"LAFAYETTE, MO",49.68%,23.51%,4100,
"WAYNE, KY",49.68%,18.29%,2504,
"LAKE, MI",49.62%,31.84%,4821,
"LEAKE, MS",49.56%,20.07%,6855,
"FULTON, KY",49.53%,34.24%,2342,
"HALL, NE",49.49%,25.30%,13125,
"MONTGOMERY, KY",49.49%,28.49%,3637,
"KNOX, KY",49.48%,27.51%,11845,
"CALDWELL, MO",49.48%,21.03%,1821,
"WHEELER, NE",49.41%,17.65%,85,
"GARFIELD, NE",49.40%,20.72%,251,
"PENDLETON, KY",49.40%,31.71%,9013,
"COAHOMA, MS",49.39%,25.09%,1881,
"HARLAN, KY",49.38%,25.91%,2671,
"MERCER, KY",49.38%,27.38%,4767,
"MARSHALL, MS",49.38%,22.99%,11720,
"KNOTT, KY",49.35%,27.37%,3011,
"LEFLORE, MS",49.31%,24.27%,1158,
"SHANNON, MO",49.30%,30.23%,215,
"ATCHISON, MO",49.28%,20.00%,690,
"CATTARAUGUS, NY",49.27%,22.66%,5610,
"LINCOLN, KY",49.25%,26.63%,3218,
"GEORGE, MS",49.24%,23.94%,5518,
"TALLAHATCHIE, MS",49.24%,24.79%,1182,
"CASS, NE",49.19%,26.82%,7814,
"MORGAN, KY",49.16%,24.81%,1068,
"HENRY, MO",49.14%,23.09%,1516,
"ESTILL, KY",49.09%,27.25%,6044,
"MORGAN, MO",49.08%,28.08%,381,
"DESOTO, MS",49.07%,24.45%,59644,
"STONE, MS",49.04%,24.56%,5806,
"ORLEANS, NY",48.98%,24.58%,17210,
"IBERVILLE, LA",48.91%,32.77%,17480,
"GRAYSON, KY",48.88%,29.30%,6170,
"FARIBAULT, MN",48.88%,32.37%,5274,
"ST JOHN THE BAPTIST, LA",48.87%,32.90%,20933,
"DUNKLIN, MO",48.83%,45.11%,4673,
"DAWSON, NE",48.82%,19.46%,3572,
"JOHNSON, NE",48.79%,21.06%,660,
"BRECKINRIDGE, KY",48.78%,28.39%,5773,
"TAYLOR, KY",48.76%,24.04%,3499,
"MONTGOMERY, MO",48.65%,29.73%,37,
"FRONTIER, NE",48.64%,25.03%,843,
"WASHINGTON, MD",48.63%,26.77%,75323,
"REYNOLDS, MO",48.57%,56.98%,1153,
"LOGAN, NE",48.55%,22.38%,344,
"WHITLEY, KY",48.53%,24.83%,20416,
"JOHNSON, MO",48.53%,22.23%,5024,
"PANOLA, MS",48.52%,25.75%,7020,
"GLACIER, MT",48.50%,24.61%,1097,
"GRANT, KY",48.48%,27.28%,19530,
"GLADWIN, MI",48.44%,23.78%,1695,
"HARDIN, KY",48.42%,34.26%,69481,
"ALLEGANY, MD",48.38%,31.03%,16078,
"BUTLER, MO",48.38%,62.67%,12917,
"SAGINAW, MI",48.37%,30.17%,81163,
"CARROLL, KY",48.33%,27.83%,5353,
"RUSSELL, KY",48.32%,27.76%,2028,
"DODGE, NE",48.26%,21.03%,2791,
"ROWAN, KY",48.22%,26.99%,2138,
"ROCKCASTLE, KY",48.21%,27.84%,3358,
"CHARITON, MO",48.19%,27.54%,276,
