Session Title,OBESITY by ICD and BMI County KYNY Age 2026,,,
Session ID,2818141,,,
Data Model,Patients,,,
Population Base,All Patients,,,
Population Criteria Filters: These criteria are a summary and do not fully reflect the content of the exported session.,"State of Residence: Kentucky, Louisiana, Maine, Maryland, Massachusetts, Michigan, Minnesota, Mississippi, Missouri, Montana, Nebraska, Nevada, New Hampshire, New Jersey, New Mexico, New York",Country of Residence: United States of America,Has Any Encounters?,Base Patient
Session Date Range,1/1/2026 - 3/30/2026,,,
Export User,Stephanie Perniciaro,,,
Date of Export,5/4/2026,,,
,,,,
,,,,
Measures,BMI 30+ (%),OBESITY (%),Number of Patients,
County of Residence,,,,
"LAPEER, MI",42.59%,24.65%,14025,
"KEITH, NE",42.58%,20.18%,2081,
"NEWTON, MO",42.58%,17.48%,761,
"PLATTE, MO",42.57%,22.99%,30216,
"ANDROSCOGGIN, ME",42.55%,22.24%,42727,
"CHIPPEWA, MN",42.55%,32.64%,6548,
"JESSAMINE, KY",42.52%,28.69%,22374,
"ASCENSION, LA",42.51%,31.19%,83307,
"SHERIDAN, MT",42.51%,15.31%,614,
"DIXON, NE",42.48%,15.25%,2321,
"CUMBERLAND, NJ",42.47%,18.70%,19255,
"OTSEGO, NY",42.46%,23.13%,36060,
"MADISON, NE",42.46%,17.74%,14670,
"PINE, MN",42.45%,28.48%,7141,
"SCHENECTADY, NY",42.44%,20.05%,24366,
"BALTIMORE CITY, MD",42.41%,28.47%,119048,
"HIDALGO, NM",42.37%,18.64%,59,
"ALLEN, LA",42.37%,18.41%,2032,
"DAWSON, MT",42.34%,17.20%,907,
"WARREN, NY",42.27%,18.95%,21468,
"JASPER, MO",42.27%,18.20%,2484,
"BALTIMORE, MD",42.27%,30.85%,170014,
"CALLAWAY, MO",42.25%,23.94%,142,
"CHEMUNG, NY",42.22%,24.61%,54981,
"LANCASTER, NE",42.21%,20.83%,93635,
"OXFORD, ME",42.19%,26.03%,26654,
"RENVILLE, MN",42.19%,34.07%,3475,
"CROW WING, MN",42.18%,26.71%,35260,
"CARROLL, MD",42.06%,23.49%,18452,
"WABASHA, MN",42.03%,28.07%,1913,
"ROSEBUD, MT",42.02%,20.78%,1492,
"CAPE GIRARDEAU, MO",42.00%,56.01%,25333,
"CHASE, NE",41.98%,18.83%,786,
"SAINT MARY, LA",41.98%,21.56%,11663,
"NEW MADRID, MO",41.97%,51.89%,3800,
"YELLOWSTONE, MT",41.93%,20.88%,51479,
"POPE, MN",41.93%,25.94%,2540,
"SHERBURNE, MN",41.92%,30.49%,35582,
"COLUMBIA, NY",41.91%,24.66%,27341,
"SARATOGA, NY",41.89%,23.31%,105718,
"CHISAGO, MN",41.87%,32.42%,22107,
"VALENCIA, NM",41.86%,20.23%,25197,
"STILLWATER, MT",41.85%,19.12%,2239,
"PETROLEUM, MT",41.79%,16.42%,67,
"DICKINSON, MI",41.79%,21.44%,11559,
"PERKINS, NE",41.69%,18.22%,686,
"ALBANY, NY",41.64%,23.53%,134783,
"BROOME, NY",41.62%,21.74%,123341,
"KENNEBEC, ME",41.59%,17.19%,18015,
"COTTONWOOD, MN",41.58%,24.52%,5570,
"ROSEAU, MN",41.57%,19.73%,9405,
"BECKER, MN",41.55%,33.89%,23093,
"KANDIYOHI, MN",41.54%,38.98%,27532,
"LAFAYETTE, LA",41.50%,25.09%,99516,
"CUSTER, MT",41.50%,17.61%,4299,
"HAMILTON, NY",41.48%,16.29%,1068,
"MCLEAN, KY",41.46%,23.56%,849,
"EAST BATON ROUGE, LA",41.32%,26.59%,235615,
"HILL, MT",41.31%,18.40%,1859,
"OLDHAM, KY",41.24%,26.71%,34091,
"FREDERICK, MD",41.23%,18.63%,16305,
"METCALFE, KY",41.22%,17.91%,296,
"GENESEE, MI",41.20%,25.30%,58060,
"BURLINGTON, NJ",41.12%,23.20%,224735,
"KALAMAZOO, MI",41.07%,21.60%,128095,
"LIBERTY, MT",41.03%,15.86%,290,
"ROSCOMMON, MI",41.03%,23.89%,1377,
"CLINTON, KY",41.02%,21.61%,1180,
"SAINT LOUIS, MN",41.00%,28.54%,102172,
"CLARK, KY",40.98%,25.02%,12316,
"LAFAYETTE, MS",40.95%,22.66%,13357,
"MONROE, NY",40.93%,22.59%,489196,
"FAYETTE, KY",40.91%,28.02%,124717,
"OTTER TAIL, MN",40.91%,31.48%,37623,
"ONTONAGON, MI",40.91%,21.02%,176,
"PIKE, MO",40.91%,,44,
"HUBBARD, MN",40.87%,27.83%,13302,
"TETON, MT",40.86%,18.84%,2112,
"HUMBOLDT, NV",40.86%,18.28%,1422,
"CALVERT, MD",40.85%,24.30%,2881,
"FILLMORE, MN",40.84%,26.00%,2904,
"SAINT TAMMANY, LA",40.82%,25.75%,123166,
"MONITEAU, MO",40.82%,,49,
"PRAIRIE, MT",40.73%,19.35%,248,
"WIBAUX, MT",40.71%,11.50%,113,
"MANISTEE, MI",40.70%,22.11%,2356,
"BROADWATER, MT",40.70%,18.88%,2580,
"ONTARIO, NY",40.62%,22.70%,72350,
"ORLEANS, LA",40.61%,26.72%,172098,
"SOCORRO, NM",40.58%,18.16%,6934,
"JACKSON, MN",40.56%,29.67%,4509,
"POLK, MN",40.55%,29.18%,19979,
"BIG STONE, MN",40.51%,30.30%,1528,
"SULLIVAN, NH",40.49%,20.61%,22352,
"LEWIS AND CLARK, MT",40.49%,20.31%,35195,
"CARLTON, MN",40.45%,28.47%,14726,
"REDWOOD, MN",40.44%,30.66%,6739,
"EVANGELINE, LA",40.39%,20.93%,2570,
"SAINT MARYS, MD",40.38%,19.51%,2635,
"STEARNS, MN",40.32%,32.43%,90325,
"QUAY, NM",40.21%,14.85%,3151,
"SCHOOLCRAFT, MI",40.20%,15.39%,903,
"DAVIESS, KY",40.18%,21.67%,11866,
"EAST CARROLL, LA",40.18%,19.82%,570,
"KENT, MI",40.15%,27.70%,427877,
"HANCOCK, ME",40.13%,21.46%,5290,
"POWELL, MT",40.11%,16.21%,728,
"MORA, NM",40.11%,16.36%,379,
"TRAVERSE, MN",40.09%,29.29%,2113,
"SUFFOLK, NY",40.05%,27.05%,310041,
"CATAHOULA, LA",40.00%,18.90%,455,
"HAYES, NE",40.00%,13.53%,170,
"STEELE, MN",40.00%,24.59%,370,
"ESSEX, NJ",39.99%,25.11%,150744,
"RIO ARRIBA, NM",39.99%,17.32%,12644,
"JACKSON, LA",39.93%,16.15%,904,
"MCLEOD, MN",39.91%,25.57%,1283,
"PHILLIPS, MT",39.86%,16.37%,281,
"FERGUS, MT",39.82%,15.94%,1587,
"MISSAUKEE, MI",39.73%,18.70%,818,
"SHIAWASSEE, MI",39.71%,21.63%,3440,
"CURRY, NM",39.70%,17.22%,14737,
"ROOSEVELT, MT",39.66%,17.31%,1069,
"SULLIVAN, MO",39.66%,21.46%,522,
"EATON, MI",39.64%,20.42%,8893,
"CAMDEN, MO",39.61%,19.81%,1030,
"ANOKA, MN",39.60%,27.61%,76451,
"MACKINAC, MI",39.55%,18.08%,354,
"SULLIVAN, NY",39.50%,23.25%,18097,
"LUNA, NM",39.45%,18.04%,654,
"YORK, ME",39.39%,21.62%,86699,
"FALLON, MT",39.37%,17.26%,475,
"DEER LODGE, MT",39.31%,12.73%,1155,
"SANDOVAL, NM",39.29%,19.35%,54839,
"OHIO, KY",39.25%,20.02%,1144,
"SUSSEX, NJ",39.24%,23.08%,4455,
"CAPE MAY, NJ",39.17%,22.49%,33321,
"NYE, NV",39.15%,22.68%,6419,
"LIVINGSTON, MI",39.15%,28.07%,77252,
"DAWES, NE",39.11%,16.94%,744,
"SAN MIGUEL, NM",39.10%,18.03%,2890,
"CARSON CITY, NV",39.10%,14.34%,10312,
"JUDITH BASIN, MT",39.09%,15.83%,417,
"CECIL, MD",39.04%,23.55%,12391,
"TODD, KY",39.02%,13.41%,164,
"CLARK, MO",39.02%,20.98%,305,
"CLEARWATER, MN",39.01%,30.44%,5914,
"CUMBERLAND, KY",38.99%,16.97%,218,
"OTTAWA, MI",38.96%,26.55%,160862,
"CHURCHILL, NV",38.95%,17.64%,6621,
"DAKOTA, NE",38.93%,18.33%,8364,
"DOUGLAS, MN",38.89%,29.71%,13071,
"KNOX, ME",38.80%,20.52%,26796,
"COLE, MO",38.77%,20.76%,472,
"PIERCE, NE",38.72%,15.73%,2340,
"CLAY, MN",38.68%,34.71%,42191,
"HUDSON, NJ",38.68%,25.42%,110044,
"TALBOT, MD",38.66%,22.06%,19496,
"HILLSBOROUGH, NH",38.64%,19.85%,119289,
"ISABELLA, MI",38.63%,19.83%,3808,
"HOUSTON, MN",38.57%,24.79%,8301,
"LINCOLN, ME",38.56%,22.16%,21537,
"FRANKLIN, MO",38.43%,15.05%,432,
"MONTMORENCY, MI",38.41%,22.46%,414,
"CHESHIRE, NH",38.40%,20.32%,37785,
"LYON, MN",38.38%,24.51%,3484,
"INGHAM, MI",38.36%,20.93%,20966,
"DAKOTA, MN",38.29%,29.33%,78301,
"THOMAS, NE",38.28%,17.49%,303,
"COOS, NH",38.27%,12.27%,4100,
"COLFAX, NM",38.25%,17.80%,983,
"SILVER BOW, MT",38.21%,15.88%,17174,
"CARBON, MT",38.19%,15.33%,2773,
"IRON, MI",38.16%,19.66%,1719,
"MIDDLESEX, NJ",38.15%,23.36%,122341,
"LINCOLN, LA",38.11%,16.75%,2776,
"BERNALILLO, NM",38.10%,18.84%,222066,
"SAINT LOUIS CITY, MO",38.07%,22.18%,8566,
"POWDER RIVER, MT",38.06%,15.16%,310,
"OCEAN, NJ",38.05%,19.65%,99327,
"SAGADAHOC, ME",38.03%,20.23%,19267,
"KITTSON, MN",37.98%,25.97%,2838,
"AVOYELLES, LA",37.98%,21.26%,2117,
"TAOS, NM",37.96%,15.56%,3683,
"WATONWAN, MN",37.91%,21.63%,430,
"UNION, NM",37.82%,13.45%,275,
"LEA, NM",37.81%,14.67%,484,
"LE SUEUR, MN",37.69%,26.28%,605,
"YELLOW MEDICINE, MN",37.61%,30.80%,3523,
"ORANGE, NY",37.61%,20.25%,55665,
"MINERAL, MT",37.41%,20.86%,139,
"VERNON, LA",37.41%,14.09%,1604,
"COOK, MN",37.37%,15.40%,2039,
"SWEET GRASS, MT",37.34%,19.71%,482,
"HICKORY, MO",37.34%,18.03%,233,
"NOBLES, MN",37.32%,34.85%,10018,
"UNION, NJ",37.30%,22.11%,65369,
"SOMERSET, NJ",37.24%,21.49%,63592,
"WHITE PINE, NV",37.23%,15.38%,728,
"LAKE OF THE WOODS, MN",37.10%,22.06%,1682,
"MONROE, KY",37.07%,18.53%,259,
"BARAGA, MI",37.06%,16.47%,170,
"DOUGLAS, MO",37.06%,14.72%,197,
"SCHUYLER, MO",36.99%,23.29%,73,
"MEAGHER, MT",36.96%,19.32%,533,
"BARNSTABLE, MA",36.94%,31.95%,54004,
"LAWRENCE, KY",36.90%,16.08%,1710,
"WEXFORD, MI",36.90%,16.49%,2225,
"BRONX, NY",36.88%,27.61%,439861,
"PLYMOUTH, MA",36.86%,29.43%,118810,
"JEFFERSON, MT",36.84%,18.12%,5741,
"RICE, MN",36.83%,25.23%,1716,
"WEST FELICIANA, LA",36.79%,18.64%,5509,
"BLAINE, NE",36.79%,14.15%,106,
"NASSAU, NY",36.69%,26.19%,311601,
"PRESQUE ISLE, MI",36.60%,20.98%,429,
"EUREKA, NV",36.55%,15.74%,197,
"HOOKER, NE",36.53%,19.95%,386,
"WINONA, MN",36.48%,23.91%,12102,
"EDDY, NM",36.48%,17.26%,869,
"GOGEBIC, MI",36.48%,18.20%,1346,
"TOMPKINS, NY",36.45%,14.94%,42477,
"ULSTER, NY",36.44%,22.16%,24969,
"LINCOLN, NM",36.40%,11.48%,9713,
"WORCESTER, MA",36.37%,26.76%,349788,
"MURRAY, MN",36.29%,26.25%,3654,
"SCOTT, MN",36.24%,27.59%,15816,
"CHRISTIAN, KY",36.18%,19.03%,1755,
"HOPKINS, KY",36.12%,20.28%,5734,
"SIBLEY, MN",36.07%,25.57%,305,
"LAKE, MN",36.02%,24.54%,2787,
"BLUE EARTH, MN",36.01%,21.86%,883,
"WINN, LA",36.00%,14.46%,325,
"ROCKINGHAM, NH",36.00%,20.80%,53157,
"EDMONSON, KY",35.98%,20.84%,667,
"MACON, MO",35.90%,14.53%,117,
"ROCKLAND, NY",35.87%,16.31%,58047,
"GOODHUE, MN",35.84%,24.75%,812,
"OZARK, MO",35.77%,14.63%,123,
"RAMSEY, MN",35.71%,26.50%,105237,
"CRAWFORD, MI",35.70%,19.57%,465,
"BELTRAMI, MN",35.62%,31.00%,28929,
"WASECA, MN",35.57%,26.17%,149,
"MERCER, NJ",35.57%,21.81%,75340,
"WASHINGTON, MN",35.55%,29.56%,52547,
"OAKLAND, MI",35.53%,23.77%,418626,
"GREENUP, KY",35.46%,19.39%,2042,
"DADE, MO",35.39%,16.85%,178,
"WASHTENAW, MI",35.38%,24.69%,128127,
"TERREBONNE, LA",35.38%,15.48%,17283,
"ROOSEVELT, NM",35.35%,13.21%,3270,
"MERRIMACK, NH",35.35%,17.37%,35257,
"ATLANTIC, NJ",35.34%,15.77%,57807,
"OTERO, NM",35.34%,11.32%,3744,
"DANIELS, MT",35.23%,12.50%,176,
"STOREY, NV",34.88%,19.60%,602,
"ALPENA, MI",34.81%,20.77%,698,
"LAC QUI PARLE, MN",34.79%,25.87%,1581,
"BARREN, KY",34.55%,17.79%,1832,
"GREENE, MO",34.54%,13.79%,20197,
"ESSEX, MA",34.46%,25.50%,180375,
"LINCOLN, MN",34.35%,26.78%,687,
"BROWN, MN",34.34%,24.36%,661,
"HOWARD, MD",34.32%,22.34%,42848,
"WASHOE, NV",34.26%,20.93%,170470,
"HUNTERDON, NJ",34.25%,17.48%,14898,
"KINGS, NY",34.20%,26.48%,487785,
"HOUGHTON, MI",34.19%,12.47%,778,
"CARTER, MT",34.17%,15.08%,199,
"CHEBOYGAN, MI",34.15%,17.41%,896,
"WEBSTER, MO",34.00%,11.17%,2212,
"CHIPPEWA, MI",33.99%,16.21%,759,
"BEAVERHEAD, MT",33.84%,14.59%,1844,
"BERGEN, NJ",33.79%,24.37%,160483,
"BELKNAP, NH",33.72%,16.41%,8981,
"WRIGHT, MO",33.40%,12.27%,497,
"HENNEPIN, MN",33.39%,21.85%,222182,
"BIENVILLE, LA",33.33%,11.81%,237,
"HARDING, NM",33.33%,12.64%,87,
"MCCONE, MT",33.33%,15.91%,264,
"SAN JUAN, NM",33.20%,15.26%,1750,
"BOONE, MO",33.20%,12.45%,1205,
"MONMOUTH, NJ",33.19%,17.47%,80418,
"DUTCHESS, NY",33.16%,17.95%,13638,
"OTSEGO, MI",33.09%,16.49%,940,
"OLMSTED, MN",33.08%,16.67%,1176,
"CARROLL, NH",33.04%,17.09%,16583,
"BOYD, KY",32.98%,16.98%,3187,
"VALLEY, MT",32.90%,13.32%,383,
"QUEENS, NY",32.78%,23.73%,389272,
"ROCK, MN",32.76%,23.74%,5779,
"RAPIDES, LA",32.74%,15.96%,3665,
"KALKASKA, MI",32.66%,14.31%,692,
"MISSOULA, MT",32.50%,12.93%,6742,
"GRAFTON, NH",32.48%,15.84%,29867,
"CLARK, NV",32.47%,24.28%,215581,
"SUFFOLK, MA",32.38%,26.40%,258312,
"GRANT, LA",32.32%,15.02%,526,
"EMMET, MI",32.27%,14.05%,1844,
"DODGE, MN",32.19%,21.23%,146,
"ARTHUR, NE",32.14%,,84,
"MUHLENBERG, KY",32.13%,14.75%,1363,
"GARFIELD, MT",32.12%,16.58%,193,
"HOWELL, MO",31.91%,15.83%,398,
"STRAFFORD, NH",31.90%,16.53%,6275,
"MIDDLESEX, MA",31.65%,24.69%,464719,
"LAKE, MT",31.58%,15.79%,304,
"PUTNAM, NY",31.55%,15.88%,6580,
"CATRON, NM",31.54%,12.85%,428,
"LA SALLE, LA",31.53%,14.69%,463,
"FRANKLIN, MA",31.52%,20.72%,7607,
"GRANT, NE",31.50%,15.50%,200,
"HAMPSHIRE, MA",31.47%,20.55%,10659,
"CUMBERLAND, ME",31.42%,16.23%,125245,
"GRANITE, MT",31.40%,14.53%,172,
"SIOUX, NE",31.37%,18.63%,102,
"MORRIS, NJ",31.32%,17.67%,25178,
"PIPESTONE, MN",31.31%,22.27%,1648,
"ADAIR, MO",31.28%,18.11%,243,
"WESTCHESTER, NY",30.90%,18.60%,196667,
"DALLAS, MO",30.88%,14.63%,800,
"DOUGLAS, NV",30.61%,11.85%,7074,
"MONROE, MO",30.56%,,36,
"LOS ALAMOS, NM",30.49%,11.87%,1912,
"SABINE, LA",30.47%,16.05%,430,
"MCDONALD, MO",30.31%,13.71%,518,
"SANDERS, MT",30.28%,16.20%,142,
"CLINTON, MI",30.26%,13.79%,3067,
"MONTGOMERY, MD",30.25%,15.07%,46158,
"NATCHITOCHES, LA",30.23%,15.95%,602,
"LACLEDE, MO",30.23%,10.33%,3708,
"WARREN, MO",30.08%,13.82%,123,
"GRANT, NM",30.05%,9.63%,436,
"BENZIE, MI",30.00%,13.13%,830,
"SIERRA, NM",29.95%,18.77%,1476,
"CARVER, MN",29.86%,21.81%,5865,
"RICHMOND, NY",29.60%,15.50%,47679,
"CHRISTIAN, MO",29.59%,13.35%,2764,
"BUTLER, KY",29.54%,12.89%,1459,
"PARK, MT",29.43%,17.69%,3969,
"SANTA FE, NM",29.36%,15.03%,29582,
"STONE, MO",29.32%,12.88%,955,
"NICOLLET, MN",29.18%,18.70%,401,
"MADISON, MT",28.90%,17.99%,2007,
"LINCOLN, MT",28.69%,13.93%,122,
"LAWRENCE, MO",28.63%,12.10%,992,
"CHARLEVOIX, MI",28.48%,13.31%,1127,
"POLK, MO",28.45%,12.27%,717,
"NORFOLK, MA",28.39%,22.07%,144144,
"LINCOLN, MO",28.33%,12.92%,240,
"RALLS, MO",,,25,
"KEWEENAW, MI",27.78%,20.37%,54,
"SAINT LOUIS, MO",27.65%,13.72%,11973,
"BERKSHIRE, MA",27.51%,13.80%,4304,
"LINCOLN, NV",26.96%,11.78%,382,
"ESMERALDA, NV",26.83%,,41,
"WARREN, KY",26.74%,12.37%,5157,
"CLAIBORNE, LA",26.00%,12.00%,200,
"LOGAN, KY",25.98%,12.15%,535,
"BARRY, MO",25.63%,12.15%,757,
"RAVALLI, MT",25.62%,12.05%,722,
"ANTRIM, MI",25.41%,11.89%,1169,
"DUKES, MA",24.64%,30.82%,2265,
"GALLATIN, MT",24.32%,15.15%,51918,
"FLATHEAD, MT",24.27%,10.12%,820,
"NEW YORK, NY",24.18%,17.12%,253807,
"TANEY, MO",23.96%,9.78%,2884,
"SIMPSON, KY",23.77%,9.18%,1035,
"SHELBY, MO",,,17,
"GRAND TRAVERSE, MI",22.48%,8.01%,5080,
"LEELANAU, MI",22.11%,9.83%,977,
"WEBSTER, LA",21.73%,10.12%,405,
"RED RIVER, LA",21.57%,,102,
"ALLEN, KY",21.36%,9.70%,969,
"NANTUCKET, MA",20.89%,16.88%,474,
"BOSSIER, LA",20.50%,9.45%,1693,
"DE SOTO, LA",19.70%,8.98%,401,
"CADDO, LA",19.64%,8.22%,4451,
"SAINT CHARLES, MO",18.96%,9.91%,3824,
"JEFFERSON, MO",14.95%,8.79%,3230,
None of the above,36.72%,23.01%,1042373,
Total,40.40%,25.60%,22494927,
