Session Title,OBESITY by ICD and BMI County ALDE Age 2026,,,
Session ID,2815139,,,
Data Model,Patients,,,
Population Base,All Patients,,,
Population Criteria Filters: These criteria are a summary and do not fully reflect the content of the exported session.,"State of Residence: Alabama, Alaska, Arizona, Arkansas, California, Colorado, Connecticut, Delaware",Country of Residence: United States of America,Has Any Encounters?,Base Patient
Session Date Range,1/1/2026 - 3/30/2026,,,
Export User,Stephanie Perniciaro,,,
Date of Export,4/30/2026,,,
,,,,
,,,,
Measures,BMI 30+ (%),OBESITY (%),Number of Patients,
County of Residence,,,,
"LAKE AND PENINSULA, AK",,,10 or fewer,
"LOWER CT RIVER VLY, CT",,,10 or fewer,
"WESTERN CT, CT",,,10 or fewer,
"BRISTOL BAY, AK",,,10 or fewer,
"MIDDLESEX, CT",40.19%,25.54%,68021,
"PULASKI, AR",40.10%,25.36%,138110,
"KIOWA, CO",40.00%,21.05%,190,
"SHASTA, CA",39.87%,25.56%,6569,
"KERN, CA",39.70%,25.87%,95060,
"LINCOLN, AR",39.64%,20.07%,1380,
"CALHOUN, AR",39.62%,25.41%,732,
"ETOWAH, AL",39.53%,16.65%,5254,
"COLUMBIA, AR",39.45%,18.29%,1744,
"HARTFORD, CT",39.13%,25.84%,287240,
"SISKIYOU, CA",39.10%,29.16%,4307,
"DESHA, AR",39.01%,21.98%,1210,
"BRADLEY, AR",38.75%,22.73%,1324,
"NAVAJO, AZ",38.58%,15.29%,1138,
"MADERA, CA",38.56%,21.78%,30449,
"DEL NORTE, CA",38.45%,20.93%,5768,
"COCHISE, AZ",38.45%,21.32%,4263,
"MESA, CO",38.39%,17.38%,51899,
"HALE, AL",38.39%,31.41%,831,
"TOLLAND, CT",38.21%,23.11%,43625,
"IZARD, AR",38.16%,15.13%,760,
"YELL, AR",38.14%,19.63%,1589,
"MODOC, CA",38.04%,19.34%,786,
"FREMONT, CO",38.04%,21.87%,5747,
"PRINCE OF WALES HYDER, AK",37.93%,,29,
"SAN BENITO, CA",37.81%,26.81%,7394,
"SEARCY, AR",37.80%,17.60%,500,
"PHILLIPS, CO",37.72%,19.75%,562,
"GILA, AZ",37.72%,14.93%,1567,
"MONTEREY, CA",37.71%,33.52%,154272,
"RIO BLANCO, CO",37.69%,13.08%,520,
"HUERFANO, CO",37.57%,24.19%,1517,
"SANTA BARBARA, CA",37.43%,23.45%,14960,
"FRANKLIN, AL",37.43%,16.55%,1106,
"DELTA, CO",37.30%,14.15%,3343,
"APACHE, AZ",36.93%,14.59%,658,
"WELD, CO",36.92%,21.94%,129338,
"CONEJOS, CO",36.85%,17.61%,426,
"CLEVELAND, AR",36.71%,18.79%,1272,
"LA PAZ, AZ",36.62%,17.32%,456,
"ELBERT, CO",36.54%,20.00%,7679,
"COVINGTON, AL",36.51%,12.67%,1334,
"KODIAK ISLAND, AK",36.39%,13.63%,2927,
"BACA, CO",36.36%,17.68%,396,
"MARICOPA, AZ",36.34%,17.99%,543025,
"KIT CARSON, CO",36.25%,18.03%,549,
"LAKE, CA",36.23%,21.74%,4093,
"PIMA, AZ",36.21%,26.40%,197452,
"FAIRFIELD, CT",36.17%,25.64%,178713,
"ALAMOSA, CO",36.17%,18.03%,893,
"SIERRA, CA",36.16%,16.97%,271,
"SAN JOAQUIN, CA",36.09%,21.05%,83766,
"POLK, AR",35.97%,16.46%,948,
"KINGS, CA",35.94%,19.70%,9233,
"ADAMS, CO",35.87%,18.51%,117140,
"COSTILLA, CO",35.63%,21.56%,320,
"IMPERIAL, CA",35.37%,16.99%,14494,
"HUMBOLDT, CA",34.89%,17.83%,45994,
"LINCOLN, CO",34.82%,21.66%,494,
"BULLOCK, AL",34.58%,14.02%,214,
"VALDEZ CORDOVA, AK",,,29,
"RIVERSIDE, CA",34.43%,21.72%,351297,
"SEVIER, AR",34.42%,16.64%,703,
"YUMA, CO",34.06%,18.07%,913,
"STONE, AR",34.03%,17.93%,714,
"TEHAMA, CA",33.94%,17.32%,710,
"SAN BERNARDINO, CA",33.88%,22.05%,179229,
"RIO GRANDE, CO",33.74%,20.09%,901,
"MOHAVE, AZ",33.69%,15.47%,3051,
"PLUMAS, CA",33.59%,17.29%,1313,
"MONTROSE, CO",33.55%,12.54%,2975,
"ALEUTIANS EAST, AK",,,12,
"HAINES, AK",,,21,
"PERRY, AL",33.33%,22.22%,108,
"YAKUTAT, AK",,,10 or fewer,
"FAIRBANKS NORTH STAR, AK",33.22%,9.37%,587,
"EL PASO, CO",33.09%,18.39%,223877,
"MENDOCINO, CA",33.08%,20.21%,14158,
"TULARE, CA",32.98%,19.09%,23447,
"GARLAND, AR",32.98%,15.68%,7366,
"TELLER, CO",32.77%,17.30%,9584,
"FAYETTE, AL",32.74%,15.03%,672,
"CALAVERAS, CA",32.62%,15.75%,2051,
"TUSCALOOSA, AL",32.48%,24.93%,9378,
"KETCHIKAN GATEWAY, AK",32.35%,19.61%,102,
"SOUTHEAST FAIRBANKS, AK",,,31,
"LOS ANGELES, CA",32.18%,19.60%,408788,
"INYO, CA",32.18%,16.33%,637,
"SANTA CRUZ, AZ",32.01%,18.70%,2037,
"SOLANO, CA",31.93%,18.64%,43218,
"ARAPAHOE, CO",31.81%,17.77%,183602,
"CRENSHAW, AL",31.81%,12.98%,393,
"PINAL, AZ",31.74%,15.46%,31885,
"NEWTON, AR",31.73%,10.84%,249,
"PETERSBURG, AK",31.71%,,41,
"MARSHALL, AL",31.69%,21.85%,1565,
"SUTTER, CA",31.54%,12.20%,2337,
"NAPA, CA",31.52%,27.58%,16263,
"KENAI PENINSULA, AK",31.51%,15.10%,384,
"PARK, CO",31.44%,16.74%,2354,
"BAXTER, AR",31.22%,12.95%,1259,
"MONTGOMERY, AR",31.21%,12.29%,423,
"TRINITY, CA",31.09%,15.16%,521,
"SAN DIEGO, CA",30.63%,21.25%,968717,
"JACKSON, CO",30.62%,15.17%,356,
"MONTEZUMA, CO",30.27%,16.62%,740,
"MARIPOSA, CA",30.18%,16.08%,1418,
"SANTA CRUZ, CA",30.07%,20.42%,35801,
"DOLORES, CO",29.81%,14.42%,104,
"JEFFERSON, CO",29.59%,15.21%,125719,
"CUSTER, CO",29.53%,18.96%,823,
"LARIMER, CO",29.42%,17.17%,159314,
"DOUGLAS, CO",29.18%,17.43%,119447,
"MARION, AR",28.78%,12.68%,410,
"CONTRA COSTA, CA",28.69%,16.98%,168652,
"SONOMA, CA",28.54%,16.20%,72400,
"CLAY, AL",28.40%,9.62%,426,
"TALLADEGA, AL",28.40%,13.65%,1722,
"DENVER, CO",28.26%,13.62%,242487,
