Session Title,OBESITY by ICD and BMI State Age 2024,,,
Session ID,2776840,,,
Data Model,Patients,,,
Population Base,All Patients,,,
Population Criteria Filters: These criteria are a summary and do not fully reflect the content of the exported session.,State of Residence (U.S.): States AL-DE,Has Any Encounters?,Base Patient,
Session Date Range,1/1/2024 - 12/31/2024,,,
Export User,Stephanie Perniciaro,,,
Date of Export,11/14/2025,,,
,,,,
,,,,
,Measures,BMI 30+ (%),OBESITY (%),Number of Patients
Age at Encounter in Years,County of Residence,,,
Less than 18 Years,"KUSILVAK, AK",-,-,10 or fewer
,"COOSA, AL",-,-,10 or fewer
,"WALKER, AL",-,-,57
,"CLEBURNE, AL",9.73%,-,113
,"PERRY, AL",-,-,10 or fewer
,"WILCOX, AL",-,-,21
,"CHOCTAW, AL",11.00%,1.68%,1009
,"ALEUTIANS EAST, AK",-,-,10 or fewer
,"TALLADEGA, AL",-,-,32
,"BLOUNT, AL",-,-,35
,"CLARKE, AL",7.69%,-,156
,"ALPINE, CA",-,-,28
,"DALLAS, AL",-,-,12
,"CLAY, AL",-,-,18
,"MARENGO, AL",-,-,124
,"CALHOUN, AL",10.23%,-,176
,"GREENE, AL",14.91%,-,161
,"WASHINGTON, AL",7.38%,-,271
,"CHAMBERS, AL",7.23%,5.62%,249
,"MISSISSIPPI, AR",8.07%,4.73%,1648
,"SUMTER, AL",8.89%,7.55%,821
,"MOBILE, AL",9.49%,5.12%,10039
,"PIKE, AL",-,-,68
,"MONROE, AL",8.97%,5.56%,234
,"MARSHALL, AL",-,-,65
,"CHEROKEE, AL",10.67%,6.18%,178
,"RANDOLPH, AL",-,-,172
,"HALE, AL",9.94%,14.91%,161
,"KENT, DE",8.53%,8.86%,24032
,"ETOWAH, AL",13.48%,4.46%,1165
,"POINSETT, AR",8.73%,5.00%,2418
,"BUTLER, AL",-,-,33
,"LAWRENCE, AR",7.79%,3.83%,757
,"CONECUH, AL",9.16%,8.40%,262
,"PICKENS, AL",8.04%,3.57%,560
,"MACON, AL",-,-,63
,"JACKSON, AR",9.04%,4.08%,564
,"RANDOLPH, AR",9.38%,3.95%,608
,"DILLINGHAM, AK",-,-,10 or fewer
,"NEVADA, AR",8.47%,3.43%,496
,"OUACHITA, AR",12.80%,3.68%,2149
,"JACKSON, AL",3.92%,-,306
,"BARBOUR, AL",11.83%,-,186
,"ALEUTIANS WEST, AK",-,-,10 or fewer
,"SAINT CLAIR, AL",-,-,80
,"CROSS, AR",7.59%,4.77%,1384
,"PHILLIPS, AR",12.14%,7.21%,527
,"SHARP, AR",11.16%,3.28%,457
,"SAINT FRANCIS, AR",7.72%,4.43%,609
,"LAWRENCE, AL",-,-,10 or fewer
,"PERRY, AR",9.96%,5.28%,853
,"YUKON KOYUKUK, AK",-,-,10 or fewer
,"SUSSEX, DE",9.39%,12.16%,25987
,"CRAIGHEAD, AR",7.80%,5.23%,12057
,"MONROE, AR",7.79%,2.82%,603
,"GREENE, AR",8.94%,3.63%,2786
,"CLARK, AR",8.75%,3.61%,1828
,"WINSTON, AL",-,-,46
,"AUTAUGA, AL",-,-,39
,"DALLAS, AR",9.87%,5.19%,385
,"CROWLEY, CO",15.52%,12.07%,116
,"LASSEN, CA",11.00%,3.33%,600
,"SCOTT, AR",8.20%,1.92%,573
,"CULLMAN, AL",-,-,32
,"CRITTENDEN, AR",7.78%,6.65%,4254
,"BULLOCK, AL",-,-,16
,"JOHNSON, AR",12.38%,4.38%,1300
,"DALE, AL",3.79%,1.89%,1056
,"VAN BUREN, AR",6.21%,3.10%,612
,"SOUTHEAST FAIRBANKS, AK",-,-,10 or fewer
,"LEE, AR",8.14%,5.43%,258
,"MILLER, AR",10.56%,6.39%,1581
,"LAFAYETTE, AR",9.55%,-,157
,"TUSCALOOSA, AL",8.69%,11.68%,2980
,"ARKANSAS, AR",9.48%,5.76%,2585
,"NORTHWEST ARCTIC, AK",-,-,10 or fewer
,"HOUSTON, AL",5.53%,2.05%,3275
,"LITTLE RIVER, AR",10.30%,3.52%,369
,"CLAY, AR",5.49%,2.39%,711
,"MORGAN, AL",-,-,41
,"SEDGWICK, CO",-,-,55
,"BENT, CO",9.73%,-,113
,"SISKIYOU, CA",19.07%,6.36%,1054
,"CRAWFORD, AR",8.49%,4.49%,6654
,"SALINE, AR",7.09%,7.91%,9677
,"HENRY, AL",6.69%,-,284
,"HOT SPRING, AR",10.31%,4.58%,1989
,"SEBASTIAN, AR",9.98%,5.40%,11157
,"PRAIRIE, AR",7.35%,2.19%,776
,"BALDWIN, AL",6.88%,2.85%,11246
,"OTERO, CO",7.30%,4.32%,740
,"LOGAN, AR",7.88%,2.88%,1040
,"BIBB, AL",-,-,37
,"ESCAMBIA, AL",7.05%,3.87%,1291
,"COLBERT, AL",-,-,59
,"PUEBLO, CO",7.60%,4.54%,9939
,"COVINGTON, AL",9.09%,-,264
,"FRANKLIN, AL",8.38%,-,179
,"LONOKE, AR",6.36%,5.21%,7563
,"FRANKLIN, AR",7.37%,3.34%,1018
,"HEMPSTEAD, AR",9.72%,3.19%,720
,"LAMAR, AL",5.41%,4.30%,628
,"YUMA, AZ",-,-,112
,"WINDHAM, CT",9.04%,13.46%,12017
,"INDEPENDENCE, AR",8.09%,5.25%,1410
