Session Title,OBESITY by ICD and BMI County FLKS Age 2026,,,
Session ID,2818140,,,
Data Model,Patients,,,
Population Base,All Patients,,,
Population Criteria Filters: These criteria are a summary and do not fully reflect the content of the exported session.,"State of Residence: Florida, Georgia, Hawaii, Idaho, Illinois, Indiana, Iowa, Kansas",Country of Residence: United States of America,Has Any Encounters?,Base Patient
Session Date Range,1/1/2026 - 3/30/2026,,,
Export User,Stephanie Perniciaro,,,
Date of Export,5/4/2026,,,
,,,,
,,,,
Measures,BMI 30+ (%),OBESITY (%),Number of Patients,
County of Residence,,,,
"KALAWAO, HI",,,10 or fewer,
"WAYNE, IN",48.27%,30.34%,31225,
"WASHINGTON, GA",48.14%,20.27%,2447,
"CLAY, IN",48.14%,22.26%,939,
"HAMILTON, IL",48.13%,28.01%,482,
"WASHINGTON, IL",48.09%,27.33%,1310,
"HENRY, GA",48.09%,28.61%,55695,
"FAYETTE, IN",48.09%,32.44%,11706,
"CASS, IN",48.06%,26.32%,2944,
"FULTON, IN",48.06%,23.77%,1931,
"BUREAU, IL",48.05%,21.03%,20490,
"PAULDING, GA",48.02%,28.80%,74942,
"CLARK, IN",47.95%,27.01%,64327,
"ST JOSEPH, IN",47.95%,26.22%,41925,
"CHATTAHOOCHEE, GA",47.92%,24.04%,624,
"LYON, KS",47.92%,26.31%,11802,
"MARION, GA",47.91%,24.16%,981,
"MARSHALL, IA",47.81%,29.47%,13942,
"CLAYTON, GA",47.81%,28.55%,47559,
"JASPER, IA",47.75%,27.97%,9404,
"CRAWFORD, IL",47.74%,18.84%,4003,
"PIKE, IN",47.70%,44.98%,6380,
"MACOUPIN, IL",47.69%,20.95%,6505,
"LIBERTY, FL",47.67%,29.22%,1588,
"LA SALLE, IL",47.63%,24.10%,51500,
"WORTH, IA",47.61%,30.60%,1781,
"WARREN, IL",47.60%,22.49%,8638,
"BREMER, IA",47.60%,32.93%,11521,
"CLAY, KS",47.60%,18.94%,1061,
"CLINTON, IN",47.57%,25.82%,639,
