Session Title,OBESITY by ICD and BMI County FLKS Age 2026,,,
Session ID,2818140,,,
Data Model,Patients,,,
Population Base,All Patients,,,
Population Criteria Filters: These criteria are a summary and do not fully reflect the content of the exported session.,"State of Residence: Florida, Georgia, Hawaii, Idaho, Illinois, Indiana, Iowa, Kansas",Country of Residence: United States of America,Has Any Encounters?,Base Patient
Session Date Range,1/1/2026 - 3/30/2026,,,
Export User,Stephanie Perniciaro,,,
Date of Export,5/4/2026,,,
,,,,
,,,,
Measures,BMI 30+ (%),OBESITY (%),Number of Patients,
County of Residence,,,,
"KALAWAO, HI",,,10 or fewer,
"ADAMS, IL",39.20%,14.52%,551,
"WRIGHT, IA",39.13%,17.64%,3900,
"LAWRENCE, IN",39.10%,19.61%,775,
"SUMTER, FL",39.05%,26.44%,36764,
"CHEROKEE, IA",39.03%,18.03%,2590,
"CLINCH, GA",39.00%,21.86%,741,
"COOK, GA",38.97%,21.60%,2148,
"GILCHRIST, FL",38.94%,23.07%,3593,
"THOMAS, GA",38.86%,20.76%,1585,
"PIATT, IL",38.86%,22.48%,9114,
"SEMINOLE, FL",38.77%,32.08%,175777,
"JOHNSON, KS",38.77%,24.81%,251112,
"HANCOCK, IL",38.68%,19.05%,1559,
"ALLAMAKEE, IA",38.59%,22.23%,6216,
"PLYMOUTH, IA",38.59%,20.97%,6180,
"CLARKE, GA",38.59%,21.18%,35610,
"UNION, IA",38.50%,23.08%,1265,
"CHAMPAIGN, IL",38.49%,24.23%,113769,
"SUWANNEE, FL",38.46%,20.80%,4933,
"COFFEE, GA",38.38%,17.21%,912,
"HANCOCK, IA",38.35%,20.94%,1786,
"HASKELL, KS",38.33%,,60,
"MITCHELL, IA",38.25%,20.41%,779,
"ECHOLS, GA",38.23%,19.59%,633,
"SHOSHONE, ID",38.20%,17.98%,89,
"TURNER, GA",38.20%,21.35%,267,
"LOWNDES, GA",38.16%,21.08%,29002,
"PINELLAS, FL",38.10%,28.51%,103502,
"CRISP, GA",38.08%,17.34%,646,
"GREENE, GA",37.99%,17.63%,8433,
"DALLAS, IA",37.97%,26.03%,35197,
"ORANGE, FL",37.96%,29.87%,511543,
"DODGE, GA",37.94%,17.42%,999,
"LONG, GA",37.93%,15.27%,203,
"DAWSON, GA",37.87%,29.90%,10346,
"DOUGHERTY, GA",37.84%,16.73%,2032,
"SHERIDAN, KS",37.76%,14.26%,519,
"IRWIN, GA",37.74%,15.95%,257,
"JO DAVIESS, IL",37.72%,16.94%,4292,
"ELMORE, ID",37.58%,23.45%,13634,
"BERRIEN, GA",37.52%,17.94%,3534,
"DUBOIS, IN",37.46%,15.83%,15793,
"FREMONT, ID",37.42%,12.27%,326,
"CHEROKEE, GA",37.41%,22.93%,75443,
"PIERCE, GA",37.37%,16.84%,380,
"TIFT, GA",37.35%,19.67%,1261,
"BOISE, ID",37.21%,24.10%,2502,
"RINGGOLD, IA",37.07%,20.03%,669,
"GWINNETT, GA",36.96%,24.89%,136096,
"BULLOCH, GA",36.96%,15.12%,1204,
"WINNESHIEK, IA",36.87%,19.55%,6276,
"MEADE, KS",36.84%,,57,
"BREVARD, FL",36.84%,19.50%,181522,
"BACON, GA",36.81%,17.03%,182,
"FULTON, GA",36.79%,23.99%,273484,
"LEWIS, ID",36.76%,8.09%,136,
"BOONE, IN",36.75%,21.35%,5813,
"WORTH, GA",36.38%,19.79%,470,
"MCINTOSH, GA",36.36%,18.18%,231,
"BUTTE, ID",36.26%,18.13%,171,
"EVANS, GA",36.25%,11.88%,160,
"WAYNE, GA",36.19%,17.16%,373,
"CARIBOU, ID",36.14%,15.70%,1057,
"CLARK, KS",36.11%,,36,
"LIBERTY, GA",35.99%,13.32%,653,
"FRANKLIN, FL",35.90%,19.45%,1301,
"GOVE, KS",35.80%,15.18%,257,
"LAKE, IL",35.72%,27.12%,150621,
"DUPAGE, IL",35.62%,22.30%,161377,
"LAFAYETTE, FL",35.28%,19.84%,615,
"BROWARD, FL",35.22%,23.83%,401214,
"LYON, IA",35.15%,27.42%,4672,
"WARE, GA",35.12%,16.40%,689,
"KOOTENAI, ID",35.08%,15.48%,1770,
"APPLING, GA",34.97%,16.78%,286,
"GULF, FL",34.89%,16.16%,427,
"BENTON, IN",34.75%,20.57%,141,
"JEFFERSON, IA",34.71%,15.44%,3633,
"HAMILTON, IN",34.57%,21.93%,74646,
"BAY, FL",34.41%,18.19%,6652,
"PRATT, KS",34.29%,15.71%,140,
"JOHNSON, IA",34.24%,19.96%,92963,
"BRANTLEY, GA",33.89%,18.51%,416,
"LEE, GA",33.74%,15.37%,898,
"INDIAN RIVER, FL",33.65%,25.41%,68528,
"CAMAS, ID",33.52%,25.27%,364,
"ONEIDA, ID",33.47%,15.08%,968,
"ADA, ID",33.43%,22.29%,246321,
"GLYNN, GA",33.32%,16.59%,2140,
"SEDGWICK, KS",33.28%,14.73%,6130,
"MONROE, IN",33.16%,14.43%,2114,
"LATAH, ID",32.96%,11.94%,12019,
"MANATEE, FL",32.87%,18.43%,11734,
"OCONEE, GA",32.87%,18.84%,15864,
"COLQUITT, GA",32.79%,15.79%,1235,
"SCOTT, KS",32.75%,10.53%,171,
"CHARLOTTE, FL",32.74%,24.18%,23579,
"ALACHUA, FL",32.71%,20.76%,97784,
"EFFINGHAM, GA",32.63%,15.73%,858,
"SAINT JOHNS, FL",32.60%,23.04%,95699,
"SUMNER, KS",32.40%,13.24%,287,
"SIOUX, IA",32.35%,22.55%,9430,
"TATTNALL, GA",32.13%,13.36%,277,
"TIPPECANOE, IN",32.12%,14.76%,1538,
"MARTIN, FL",32.04%,25.47%,56898,
"BEAR LAKE, ID",31.52%,19.57%,2719,
"EMMET, IA",31.47%,22.90%,607,
"DESOTO, FL",31.41%,18.81%,2270,
"BONNEVILLE, ID",31.22%,12.03%,2860,
"HAWAII, HI",31.16%,13.16%,39566,
"MONROE, FL",31.00%,24.19%,4320,
"BUTLER, KS",30.93%,11.74%,886,
"MIAMI-DADE, FL",30.90%,20.64%,260404,
"VALLEY, ID",30.77%,16.92%,7176,
"GRAY, KS",29.90%,,97,
"JEFFERSON, ID",29.53%,9.94%,684,
"CHATHAM, GA",29.28%,12.49%,3490,
"FORSYTH, GA",28.77%,18.70%,26591,
"HONOLULU, HI",28.58%,14.79%,241006,
"MAUI, HI",28.50%,12.90%,11377,
"LEMHI, ID",28.29%,14.74%,251,
"PALM BEACH, FL",27.58%,17.86%,138543,
"CLAY, IA",27.43%,13.06%,1524,
"KAUAI, HI",27.22%,12.70%,29307,
"SARASOTA, FL",27.10%,16.34%,13078,
"FRANKLIN, ID",26.94%,16.51%,2138,
"DICKINSON, IA",26.80%,15.73%,1392,
"COLLIER, FL",26.77%,18.87%,72375,
"WICHITA, KS",26.23%,,61,
"HAMILTON, KS",25.00%,,60,
"MADISON, ID",24.89%,9.84%,691,
"BRYAN, GA",24.45%,9.25%,724,
"BONNER, ID",24.16%,14.43%,298,
"CUSTER, ID",23.15%,15.92%,622,
"OKALOOSA, FL",22.74%,12.64%,5040,
"WALTON, FL",22.62%,10.29%,2401,
"BOUNDARY, ID",,,39,
"BLAINE, ID",19.80%,15.20%,14392,
"ESCAMBIA, FL",18.27%,10.17%,7061,
"CLARK, ID",,,12,
"SANTA ROSA, FL",15.97%,8.23%,4859,
"TETON, ID",13.91%,5.51%,381,
None of the above,34.03%,21.71%,645832,
Total,40.47%,26.31%,15446399,
