Session Title,OBESITY by ICD and BMI County Age 2025,,,
Session ID,2776887,,,
Data Model,Patients,,,
Population Base,All Patients,,,
Population Criteria Filters: These criteria are a summary and do not fully reflect the content of the exported session.,State of Residence (U.S.): States AL-DE,Has Any Encounters?,Base Patient,
Session Date Range,1/1/2025 - 10/30/2025,,,
Export User,Stephanie Perniciaro,,,
Date of Export,11/14/2025,,,
,,,,
,,,,
,Measures,BMI 30+ (%),OBESITY (%),Number of Patients
Age at Encounter in Years,County of Residence,,,
Less than 18 Years,"PERRY, AL",-,-,10 or fewer
,"LINCOLN, AR",11.78%,6.97%,416
,"KIOWA, CO",-,-,55
,"LASSEN, CA",9.18%,3.74%,588
,"FULTON, AR",7.63%,-,236
,"FRESNO, CA",6.88%,7.23%,103966
,"WINDHAM, CT",8.44%,10.60%,10848
,"INDEPENDENCE, AR",8.80%,5.57%,1239
,"CONWAY, AR",8.15%,5.63%,994
,"CHILTON, AL",-,-,11
,"DREW, AR",9.68%,4.03%,868
,"NOME, AK",-,-,10 or fewer
,"GRAHAM, AZ",-,-,123
,"WOODRUFF, AR",8.81%,7.25%,193
,"NEW HAVEN, CT",7.89%,8.45%,29058
,"SISKIYOU, CA",13.38%,8.11%,1024
,"NEW LONDON, CT",7.81%,8.25%,20360
,"CALHOUN, AR",8.91%,4.62%,303
,"NAVAJO, AZ",-,-,61
,"HEMPSTEAD, AR",10.24%,3.67%,654
,"CRENSHAW, AL",-,-,48
,"MIDDLESEX, CT",6.34%,7.43%,15136
,"IMPERIAL, CA",4.81%,3.97%,478
,"LITCHFIELD, CT",6.92%,4.61%,9892
,"FAULKNER, AR",6.62%,6.36%,8839
,"MOFFAT, CO",6.49%,4.03%,1835
,"WHITE, AR",7.80%,5.30%,3206
,"GRANT, AR",6.20%,4.02%,1419
,"ELMORE, AL",-,-,41
,"LAS ANIMAS, CO",8.99%,7.25%,345
,"NORTHWEST ARCTIC, AK",-,-,10 or fewer
,"YELL, AR",11.49%,6.85%,496
,"GILA, AZ",-,-,106
,"CHICOT, AR",13.29%,5.32%,301
,"LEE, AL",6.31%,-,301
,"MONTGOMERY, AL",-,-,94
,"MORGAN, CO",7.28%,6.16%,1071
,"MORGAN, AL",-,-,39
,"PULASKI, AR",6.95%,11.06%,43876
,"WASHINGTON, CO",-,-,106
,"GREENLEE, AZ",-,-,40
,"COLUMBIA, AR",8.81%,5.17%,987
,"PIKE, AR",8.82%,-,306
,"POPE, AR",9.31%,4.97%,1912
,"MADERA, CA",5.24%,5.44%,13250
,"BRADLEY, AR",8.78%,3.64%,467
,"DESHA, AR",10.05%,6.96%,388
,"SEARCY, AR",7.79%,-,154
,"BETHEL, AK",-,-,10 or fewer
,"MARICOPA, AZ",5.41%,2.83%,83935
,"IZARD, AR",7.52%,-,266
,"HARTFORD, CT",7.47%,8.01%,92246
,"PHILLIPS, CO",-,-,100
,"SOUTHEAST FAIRBANKS, AK",-,-,10 or fewer
,"TOLLAND, CT",5.75%,6.95%,11968
,"SAN BENITO, CA",9.05%,7.57%,1955
,"HAINES, AK",-,-,10 or fewer
,"SKAGWAY, AK",-,-,10 or fewer
,"SHASTA, CA",11.52%,6.52%,1502
,"KINGS, CA",7.05%,6.71%,5021
,"HUERFANO, CO",8.44%,-,154
,"HOWARD, AR",8.98%,5.99%,334
,"KERN, CA",8.90%,11.14%,48662
,"COCHISE, AZ",5.45%,6.09%,1083
,"FREMONT, CO",5.87%,4.26%,1057
,"SAN JOAQUIN, CA",8.92%,10.27%,27476
,"MODOC, CA",8.06%,-,186
,"APACHE, AZ",-,-,34
,"MESA, CO",5.64%,3.87%,7930
,"YUBA, CA",9.72%,5.15%,854
,"MONTEREY, CA",9.35%,14.43%,43231
,"DELTA, CO",6.73%,4.49%,401
,"WELD, CO",4.51%,3.45%,41411
,"MOHAVE, AZ",-,-,161
,"LIMESTONE, AL",-,-,59
,"DEL NORTE, CA",7.66%,9.01%,1631
,"CLEVELAND, AR",7.93%,4.13%,605
,"STONE, AR",5.73%,-,227
,"TEHAMA, CA",11.61%,-,112
,"LINCOLN, CO",-,-,177
,"FAIRFIELD, CT",6.97%,9.98%,27871
,"KODIAK ISLAND, AK",4.53%,2.45%,1060
,"DENALI, AK",-,-,10 or fewer
,"PIMA, AZ",6.87%,14.04%,62938
,"MADISON, AL",7.28%,-,151
,"POLK, AR",8.44%,2.81%,391
,"ELBERT, CO",4.38%,3.22%,1554
,"JEFFERSON, AL",4.38%,-,251
,"JACKSON, CO",-,-,59
,"TULARE, CA",8.57%,7.52%,13516
,"BACA, CO",-,-,78
,"CHEYENNE, CO",-,-,59
,"YUMA, CO",6.58%,7.00%,243
,"RIVERSIDE, CA",6.53%,5.63%,92000
,"VALDEZ CORDOVA, AK",-,-,10 or fewer
,"TRINITY, CA",-,-,92
,"SANTA CRUZ, AZ",5.63%,7.45%,604
,"HUMBOLDT, CA",6.76%,6.20%,13975
,"SANTA BARBARA, CA",7.82%,13.69%,7721
,"LAKE, CA",6.42%,8.94%,1432
,"NAPA, CA",8.49%,20.74%,6764
,"RIO BLANCO, CO",-,-,125
,"SHELBY, AL",-,-,74
,"DILLINGHAM, AK",-,-,10 or fewer
,"ADAMS, CO",5.44%,4.53%,44899
,"FAIRBANKS NORTH STAR, AK",-,-,43
,"RIO GRANDE, CO",12.01%,9.89%,283
,"PLUMAS, CA",-,-,192
,"KIT CARSON, CO",5.45%,-,202
,"GARLAND, AR",9.42%,5.58%,2473
,"CALAVERAS, CA",-,-,238
,"SAN BERNARDINO, CA",6.19%,8.40%,64569
,"CONEJOS, CO",-,-,135
,"COSTILLA, CO",-,-,57
,"SIERRA, CA",-,-,61
,"ALAMOSA, CO",6.77%,4.31%,325
,"SOLANO, CA",7.24%,12.00%,16647
,"MONTROSE, CO",4.15%,5.30%,434
,"TELLER, CO",3.79%,2.59%,1584
,"SAN DIEGO, CA",3.46%,4.96%,128303
,"KENAI PENINSULA, AK",-,-,33
,"EL PASO, CO",3.63%,2.84%,71700
,"KETCHIKAN GATEWAY, AK",-,-,10 or fewer
,"PARK, CO",3.23%,2.74%,402
,"LOS ANGELES, CA",8.12%,15.49%,102696
,"MONTGOMERY, AR",9.09%,-,187
,"INYO, CA",-,-,70
,"MENDOCINO, CA",5.47%,10.36%,5867
,"BAXTER, AR",6.76%,3.62%,636
,"ARAPAHOE, CO",4.54%,4.54%,59672
,"MARIPOSA, CA",-,3.51%,342
,"DOLORES, CO",-,-,26
,"SONOMA, CA",8.24%,11.71%,30741
,"PINAL, AZ",3.00%,1.83%,11648
,"NORTH SLOPE, AK",-,-,10 or fewer
,"SANTA CRUZ, CA",9.57%,15.57%,9251
,"SEVIER, AR",9.01%,4.40%,477
,"MATANUSKA SUSITNA, AK",-,-,54
,"LARIMER, CO",3.40%,2.66%,37286
,"CUSTER, CO",-,-,89
,"NEWTON, AR",8.39%,-,143
,"JUNEAU, AK",-,-,20
,"PETERSBURG, AK",-,-,10 or fewer
,"CONTRA COSTA, CA",6.85%,9.13%,71063
,"SUTTER, CA",4.94%,3.29%,486
,"JEFFERSON, CO",3.84%,2.66%,30796
,"ALAMEDA, CA",6.12%,9.70%,85494
,"MERCED, CA",8.22%,9.15%,12093
,"DOUGLAS, CO",2.63%,2.03%,26548
,"MARION, AR",4.98%,-,221
,"HOONAH ANGOON, AK",-,-,10 or fewer
,"DENVER, CO",5.94%,3.97%,70557
,"GLENN, CA",-,-,58
,"AMADOR, CA",-,-,225
,"SACRAMENTO, CA",4.88%,10.09%,44441
,"NEW CASTLE, DE",6.59%,10.60%,62389
,"BROOMFIELD, CO",2.85%,1.93%,5691
,"KUSILVAK, AK",-,-,10 or fewer
,"SAGUACHE, CO",-,-,43
,"ORANGE, CA",4.00%,8.04%,81068
,"MONTEZUMA, CO",7.36%,5.63%,231
,"BOONE, AR",6.14%,4.41%,749
,"YAVAPAI, AZ",-,-,442
,"LAKE, CO",6.32%,5.79%,190
,"COLUSA, CA",-,-,232
