Session Title,OBESITY by ICD and BMI County NCTX Age 2026,,,
Session ID,2818143,,,
Data Model,Patients,,,
Population Base,All Patients,,,
Population Criteria Filters: These criteria are a summary and do not fully reflect the content of the exported session.,"State of Residence: North Carolina, North Dakota, Ohio, Oklahoma, Oregon, Pennsylvania, Rhode Island, South Carolina, South Dakota, Tennessee, Texas",Country of Residence: United States of America,Has Any Encounters?,Base Patient
Session Date Range,1/1/2026 - 3/30/2026,,,
Export User,Stephanie Perniciaro,,,
Date of Export,5/4/2026,,,
,,,,
,,,,
Measures,BMI 30+ (%),OBESITY (%),Number of Patients,
County of Residence,,,,
"HAYWOOD, TN",49.74%,30.24%,3687,
"NASH, NC",49.73%,32.28%,39374,
"LAUDERDALE, TN",49.71%,35.17%,6660,
"HARRISON, OH",49.71%,29.41%,6121,
"PASQUOTANK, NC",49.71%,32.83%,18784,
"HENDERSON, TN",49.68%,36.49%,6344,
"RANDOLPH, NC",49.61%,29.32%,62044,
"OBION, TN",49.61%,26.69%,12782,
"HOCKING, OH",49.60%,29.78%,9976,
"HURON, OH",49.55%,35.04%,16628,
"SENECA, OH",49.53%,27.90%,21258,
"SCIOTO, OH",49.47%,29.80%,6282,
"EDGEFIELD, SC",49.45%,25.28%,11271,
"WICHITA, TX",49.38%,21.78%,38897,
"HARNETT, NC",49.31%,30.60%,44627,
"CHAMPAIGN, OH",49.29%,31.66%,19207,
"CAMBRIA, PA",49.26%,27.12%,53137,
"JEFFERSON, OK",49.19%,24.32%,370,
"HOKE, NC",49.17%,27.16%,9471,
"LAKE, OR",49.13%,31.41%,1958,
"JONES, NC",49.12%,32.60%,3080,
"GREENE, NC",49.11%,29.19%,5926,
"WARREN, NC",49.08%,29.56%,4513,
"CLARK, OH",48.94%,33.48%,66563,
"KNOX, OH",48.91%,29.73%,11586,
"CUMBERLAND, NC",48.91%,29.23%,98926,
"LAMPASAS, TX",48.86%,26.00%,11485,
"VAN WERT, OH",48.84%,28.85%,8398,
"BROWN, OH",48.83%,28.47%,21031,
"ALLENDALE, SC",48.83%,15.98%,1577,
"FAIRFIELD, SC",48.82%,24.09%,9228,
"KAUFMAN, TX",48.81%,27.02%,64556,
"OKMULGEE, OK",48.79%,29.89%,12880,
"SCHUYLKILL, PA",48.77%,29.36%,69513,
"BEAUFORT, NC",48.74%,35.04%,26972,
"GALLIA, OH",48.74%,27.65%,3049,
"CHESTER, TN",48.72%,35.36%,4514,
"FRANKLIN, PA",48.69%,29.77%,58287,
"JOHNSTON, NC",48.68%,27.40%,92639,
"FULTON, PA",48.65%,26.98%,3914,
"CARBON, PA",48.62%,35.67%,45773,
"ALAMANCE, NC",48.61%,31.65%,101069,
"UNION, SC",48.60%,36.24%,15529,
"STONEWALL, TX",48.57%,,35,
"UNION, OH",48.47%,33.58%,30180,
"DAVIDSON, NC",48.45%,34.54%,98683,
"SANDUSKY, OH",48.44%,35.58%,22137,
"WYANDOT, OH",48.43%,28.23%,9687,
"MARION, OH",48.36%,32.71%,36136,
"DEFIANCE, OH",48.34%,32.29%,21562,
"MCNAIRY, TN",48.34%,37.00%,6459,
"HENRY, TN",48.33%,27.82%,4378,
"MCCULLOCH, TX",48.33%,26.86%,2938,
"CARROLL, TN",48.33%,23.78%,11720,
"CHEROKEE, SC",48.33%,34.91%,32308,
"BLAIR, PA",48.27%,21.37%,25415,
"UPSHUR, TX",48.23%,22.96%,3353,
"ROCKINGHAM, NC",48.22%,27.56%,49238,
"CLINTON, OH",48.19%,32.56%,21188,
"MILAM, TX",48.17%,29.17%,10931,
"SALUDA, SC",48.09%,27.32%,7251,
"KERSHAW, SC",48.08%,25.45%,36915,
"PERRY, OH",47.99%,27.71%,5705,
"ANSON, NC",47.99%,33.05%,11504,
"HAWKINS, TN",47.98%,18.55%,19403,
"MADISON, OH",47.98%,30.82%,25760,
"VANCE, NC",47.98%,30.45%,12477,
"VAN ZANDT, TX",47.95%,23.06%,13292,
"MCINTOSH, OK",47.88%,26.61%,6568,
"VAN BUREN, TN",47.87%,24.09%,328,
"DARKE, OH",47.86%,25.63%,20236,
"ALLEN, OH",47.81%,27.47%,41275,
"OTTAWA, OH",47.80%,32.75%,16390,
"CADDO, OK",47.77%,21.76%,3475,
"WILBARGER, TX",47.71%,20.93%,1486,
"NEWBERRY, SC",47.71%,25.52%,11492,
"BURKE, ND",47.69%,20.76%,713,
"VAL VERDE, TX",47.69%,20.36%,1577,
"FRANKLIN, NC",47.66%,28.31%,31555,
"DUPLIN, NC",47.66%,33.49%,17938,
"CRAWFORD, PA",47.66%,21.16%,14350,
"GIBSON, TN",47.65%,28.39%,12562,
"CREEK, OK",47.61%,28.84%,27399,
"WILLIAMS, OH",47.61%,28.76%,23438,
"AUGLAIZE, OH",47.60%,27.88%,15998,
"ROWAN, NC",47.56%,35.54%,75315,
"SEQUOYAH, OK",47.52%,23.64%,7321,
"RAINS, TX",47.51%,23.20%,2250,
"LICKING, OH",47.50%,31.00%,90028,
"CHEROKEE, OK",47.46%,29.69%,5402,
"PUTNAM, OH",47.43%,24.25%,14378,
"STOKES, NC",47.42%,31.43%,29296,
"PAULDING, OH",47.39%,27.52%,6377,
"PERQUIMANS, NC",47.38%,31.25%,6999,
"LE FLORE, OK",47.29%,20.61%,7060,
"JACKSON, OK",47.28%,20.24%,1616,
"CROCKETT, TN",47.27%,31.22%,3533,
"BLEDSOE, TN",47.26%,23.04%,4063,
"MAJOR, OK",47.25%,18.19%,1325,
"DYER, TN",47.18%,33.10%,13600,
"NOWATA, OK",47.17%,24.47%,1467,
"HENRY, OH",47.16%,26.36%,11885,
"POLK, TN",47.13%,25.03%,3955,
"MORRIS, TX",47.10%,20.12%,2053,
"CLARION, PA",47.04%,17.23%,6471,
"SARGENT, ND",47.03%,37.86%,2290,
"BELMONT, OH",47.02%,29.19%,34866,
"GARFIELD, OK",47.00%,19.86%,16675,
"JOHNSON, TN",46.99%,20.47%,6800,
"MALHEUR, OR",46.96%,28.90%,16945,
"ZAVALA, TX",46.95%,26.72%,262,
"ADAMS, OH",46.93%,27.88%,9437,
"KIMBLE, TX",46.92%,23.46%,260,
"CHOWAN, NC",46.88%,32.80%,8942,
"MADISON, TN",46.84%,32.89%,27995,
"LEE, TX",46.84%,25.98%,2833,
"FRANKLIN, OH",46.82%,30.10%,600550,
"RHEA, TN",46.77%,18.97%,4176,
"GRANT, ND",46.77%,31.87%,1067,
"MCCORMICK, SC",46.75%,29.44%,6423,
"CAMP, TX",46.67%,21.94%,4958,
"TUSCARAWAS, OH",46.66%,33.89%,33192,
"OLIVER, ND",46.66%,43.57%,778,
"SHELBY, OH",46.64%,33.38%,17573,
"BENTON, TN",46.61%,30.01%,5434,
"WOOD, TX",46.61%,20.57%,12472,
"ALFALFA, OK",46.59%,17.18%,850,
"TIPTON, TN",46.59%,25.67%,18426,
"WOODS, OK",46.58%,17.42%,1022,
"ABBEVILLE, SC",46.55%,25.99%,14408,
"HYDE, NC",46.51%,25.46%,1677,
"ADAMS, PA",46.49%,28.99%,46689,
"FALLS, TX",46.47%,31.11%,5573,
"CONCHO, TX",46.44%,24.11%,1124,
"MONROE, PA",46.44%,32.58%,101516,
"PITT, NC",46.42%,32.61%,65504,
"CHOCTAW, OK",46.41%,13.64%,821,
"CHEROKEE, NC",46.37%,35.60%,11780,
"ATASCOSA, TX",46.33%,32.76%,2830,
"SURRY, NC",46.31%,29.28%,30857,
"HENDERSON, TX",46.29%,18.84%,24807,
"SEQUATCHIE, TN",46.26%,23.26%,5249,
"COTTLE, TX",46.25%,15.00%,80,
"HUNTINGDON, PA",46.25%,15.37%,4463,
"MCMINN, TN",46.24%,20.84%,3378,
"CAMDEN, NC",46.23%,28.69%,4964,
"NAVARRO, TX",46.22%,25.96%,8577,
"CLAY, TX",46.19%,21.37%,2583,
"HAMPTON, SC",46.18%,16.97%,2828,
"SUMTER, SC",46.17%,26.45%,29591,
"WHARTON, TX",46.14%,24.17%,8201,
"GREENE, PA",46.12%,23.51%,13874,
"YADKIN, NC",46.12%,33.01%,21705,
"EDWARDS, TX",46.06%,23.03%,165,
"WAGONER, OK",46.03%,29.03%,30237,
"LINCOLN, OK",46.01%,23.89%,5697,
"DORCHESTER, SC",46.01%,21.69%,51518,
"MCDOWELL, NC",46.00%,24.85%,15510,
"BURLESON, TX",45.99%,25.28%,7706,
"HARDEMAN, TX",45.92%,21.43%,294,
"COLLETON, SC",45.92%,16.71%,7862,
"HOPKINS, TX",45.88%,17.52%,4143,
"BLOUNT, TN",45.88%,24.40%,31049,
"GRAY, TX",45.87%,13.29%,1550,
"LAMOURE, ND",45.85%,44.09%,2545,
"FULTON, OH",45.84%,25.86%,22396,
"KNOX, TX",45.83%,22.92%,240,
"WILKES, NC",45.83%,26.39%,32748,
"LUCAS, OH",45.83%,29.82%,220091,
"CORYELL, TX",45.82%,27.56%,25593,
"GRANVILLE, NC",45.79%,29.77%,24905,
"AIKEN, SC",45.73%,23.74%,45597,
"PANOLA, TX",45.71%,13.81%,7836,
"JEFFERSON, OH",45.70%,22.32%,15779,
"TIOGA, PA",45.70%,18.06%,16480,
"BRADLEY, TN",45.64%,25.24%,22715,
"LAWRENCE, TN",45.61%,24.56%,114,
"ROGERS, OK",45.60%,28.76%,34963,
"SEMINOLE, OK",45.60%,20.60%,1364,
"MORROW, OR",45.58%,18.99%,4708,
"DELTA, TX",45.57%,23.35%,531,
"RUTHERFORD, NC",45.55%,27.84%,25739,
"MIAMI, OH",45.49%,29.51%,62931,
"KIDDER, ND",45.49%,32.44%,1119,
"MAYES, OK",45.47%,28.32%,18527,
"STARK, OH",45.47%,30.64%,85747,
"CRAIG, OK",45.46%,21.91%,6892,
"COAL, OK",45.45%,17.86%,308,
"SCURRY, TX",45.43%,17.98%,317,
"MONTGOMERY, OH",45.43%,31.61%,303722,
"WALSH, ND",45.42%,21.00%,6991,
"MERCER, PA",45.41%,21.31%,52307,
"CLERMONT, OH",45.35%,28.02%,127952,
"ELLIS, TX",45.30%,29.39%,96323,
"MARION, OR",45.28%,25.43%,128989,
"PORTAGE, OH",45.27%,31.81%,65776,
"KAY, OK",45.25%,18.88%,12052,
"FAYETTE, TN",45.24%,21.96%,12893,
"CLEVELAND, NC",45.24%,33.20%,64005,
"KIOWA, OK",45.23%,18.12%,723,
"LAURENS, SC",45.22%,32.06%,33491,
"PIKE, PA",45.20%,29.97%,12981,
"GRAINGER, TN",45.19%,17.70%,582,
"COOS, OR",45.18%,29.61%,34978,
"FRANKLIN, TX",45.17%,19.63%,1355,
"CURRITUCK, NC",45.16%,27.86%,12238,
"ASHE, NC",45.16%,23.34%,8949,
"UVALDE, TX",45.15%,22.58%,722,
"RANSOM, ND",45.15%,38.22%,3422,
"ERIE, PA",45.12%,24.13%,117539,
"SUMMIT, OH",45.11%,31.34%,202270,
"FRIO, TX",45.11%,27.23%,481,
"MEIGS, TN",45.09%,21.47%,1537,
"ARCHER, TX",45.08%,19.94%,2327,
"SULLIVAN, PA",45.03%,17.80%,1730,
"STEELE, ND",45.01%,33.78%,1122,
"GRUNDY, TN",44.99%,20.25%,978,
"ELLIS, OK",44.97%,16.82%,547,
"MERCER, ND",44.95%,25.69%,5326,
"FAYETTE, PA",44.95%,24.67%,59796,
"ROBERTSON, TX",44.94%,25.83%,5389,
"TOM GREEN, TX",44.92%,25.88%,73023,
"WILLIAMS, ND",44.91%,16.90%,9395,
"BERKS, PA",44.89%,28.90%,202348,
"COTTON, OK",44.87%,17.31%,595,
"PAMLICO, NC",44.87%,29.53%,4165,
"CLAIBORNE, TN",44.87%,21.88%,448,
"MCPHERSON, SD",44.84%,33.09%,417,
"GASTON, NC",44.84%,32.59%,141299,
"CALDWELL, NC",44.79%,25.20%,40823,
"ASHTABULA, OH",44.78%,28.61%,42103,
"HUNT, TX",44.76%,26.79%,25718,
"RICHMOND, NC",44.71%,23.19%,2807,
"CARTER, TN",44.71%,18.16%,16518,
