Session Title,OBESITY by ICD and BMI County NCTX Age 2026,,,
Session ID,2818143,,,
Data Model,Patients,,,
Population Base,All Patients,,,
Population Criteria Filters: These criteria are a summary and do not fully reflect the content of the exported session.,"State of Residence: North Carolina, North Dakota, Ohio, Oklahoma, Oregon, Pennsylvania, Rhode Island, South Carolina, South Dakota, Tennessee, Texas",Country of Residence: United States of America,Has Any Encounters?,Base Patient
Session Date Range,1/1/2026 - 3/30/2026,,,
Export User,Stephanie Perniciaro,,,
Date of Export,5/4/2026,,,
,,,,
,,,,
Measures,BMI 30+ (%),OBESITY (%),Number of Patients,
County of Residence,,,,
"GILLIAM, OR",41.49%,18.56%,388,
"MATAGORDA, TX",41.47%,22.74%,3957,
"HUMPHREYS, TN",41.45%,16.41%,2328,
"BOSQUE, TX",41.43%,23.68%,4342,
"LEHIGH, PA",41.43%,31.60%,246407,
"LUBBOCK, TX",41.41%,14.33%,10866,
"BEAVER, OK",41.40%,15.16%,343,
"DOUGLAS, SD",41.38%,13.39%,1143,
"YORK, PA",41.37%,26.12%,208903,
"HOUSTON, TN",41.28%,13.76%,407,
"JUNIATA, PA",41.28%,14.80%,642,
"LOUDON, TN",41.27%,21.05%,2314,
"GREGORY, SD",41.21%,21.88%,1138,
"MONTAGUE, TX",41.19%,18.38%,2600,
"MORTON, ND",41.15%,33.82%,20761,
"WHEELER, OR",41.14%,26.50%,717,
"WESTMORELAND, PA",41.13%,18.81%,151863,
"LINCOLN, OR",41.05%,21.34%,31127,
"HASKELL, OK",40.97%,16.49%,3627,
"GALVESTON, TX",40.96%,28.01%,149344,
"OLDHAM, TX",40.94%,13.12%,381,
"WARREN, OH",40.93%,26.03%,143355,
"HARPER, OK",40.92%,14.50%,545,
"SCHLEICHER, TX",40.91%,23.54%,1007,
"LIPSCOMB, TX",40.91%,13.18%,220,
"MENARD, TX",40.87%,17.77%,619,
"MILLS, TX",40.84%,23.53%,595,
"WASHINGTON, TN",40.82%,17.13%,39639,
"HALE, TX",40.82%,14.25%,463,
"CHAMBERS, TX",40.78%,26.50%,13295,
"MARSHALL, SD",40.77%,28.37%,1040,
"BENSON, ND",40.73%,25.24%,2647,
"TRIPP, SD",40.72%,21.25%,2598,
"CABARRUS, NC",40.72%,29.32%,140107,
"CHILDRESS, TX",40.71%,11.46%,253,
"LINN, OR",40.68%,23.70%,76324,
"ALLEGHANY, NC",40.64%,20.02%,2862,
"OKLAHOMA, OK",40.63%,22.15%,196302,
"SWAIN, NC",40.60%,15.05%,638,
"STERLING, TX",40.55%,20.52%,614,
"DAUPHIN, PA",40.55%,20.61%,10616,
"LACKAWANNA, PA",40.55%,16.85%,30727,
"COLORADO, TX",40.52%,22.49%,2717,
"RANDALL, TX",40.52%,12.95%,24882,
"HENDERSON, NC",40.48%,21.49%,55163,
"BRAZORIA, TX",40.40%,26.77%,129024,
"LANCASTER, SC",40.37%,24.84%,60155,
"MARSHALL, OK",40.36%,16.89%,669,
"PARMER, TX",40.36%,13.78%,617,
"PERKINS, SD",40.32%,18.45%,439,
"HAMILTON, OH",40.29%,25.35%,536471,
"MEDINA, OH",40.27%,30.29%,85401,
"CLAY, SD",40.26%,20.19%,5355,
"DUNN, ND",40.25%,20.08%,2246,
"WINKLER, TX",40.24%,20.73%,82,
"WAYNE, OH",40.24%,30.69%,30791,
"FREESTONE, TX",40.20%,21.03%,2644,
"PECOS, TX",40.13%,17.38%,466,
"EASTLAND, TX",40.12%,19.18%,1194,
"SPINK, SD",40.09%,31.28%,1055,
"RAMSEY, ND",40.05%,27.50%,7183,
"FLOYD, TX",40.00%,17.50%,80,
"MOTLEY, TX",,,15,
"PHILADELPHIA, PA",39.96%,25.51%,664018,
"COLUMBIA, OR",39.93%,20.08%,20400,
"JEFFERSON, PA",39.92%,12.19%,3036,
"TRAILL, ND",39.86%,27.58%,5271,
"HICKMAN, TN",39.85%,14.83%,1079,
"MEDINA, TX",39.85%,27.12%,2718,
"HOUSTON, TX",39.83%,20.52%,1564,
"BUFFALO, SD",39.83%,19.92%,477,
"CAMPBELL, SD",39.82%,22.75%,334,
"POLK, NC",39.78%,23.93%,9352,
"MARTIN, TX",39.74%,22.44%,156,
"THROCKMORTON, TX",39.71%,22.06%,136,
"BAKER, OR",39.68%,22.07%,9264,
"GARVIN, OK",39.66%,19.34%,1644,
"DELAWARE, OH",39.62%,25.15%,122872,
"IRION, TX",39.62%,23.02%,886,
"SULLY, SD",39.58%,23.96%,96,
"BRYAN, OK",39.56%,13.99%,1701,
"COLEMAN, TX",39.56%,20.71%,589,
"TARRANT, TX",39.55%,24.74%,681649,
"LOVE, OK",39.52%,16.53%,496,
"BOTTINEAU, ND",39.47%,22.56%,1064,
"SIOUX, ND",39.44%,29.38%,1222,
"LANCASTER, PA",39.44%,23.25%,205310,
"LEXINGTON, SC",39.44%,22.16%,87026,
"CARROLL, OH",39.44%,29.85%,5738,
"GOLIAD, TX",39.41%,17.65%,340,
"ADAIR, OK",39.38%,22.01%,1295,
"HAMILTON, TX",39.32%,19.97%,1302,
"CARTERET, NC",39.28%,20.36%,13273,
"GREENVILLE, SC",39.25%,27.29%,332510,
"COMANCHE, OK",39.21%,18.14%,4994,
"WALLER, TX",39.20%,23.38%,12205,
"WISE, TX",39.15%,21.06%,12232,
"DOUGLAS, OR",39.15%,18.11%,10494,
"HANCOCK, TN",39.12%,17.59%,2058,
"ELK, PA",39.08%,12.34%,1612,
"WILSON, TX",39.05%,25.53%,1931,
"POLK, TX",39.04%,21.98%,5492,
"LLANO, TX",39.03%,25.49%,11953,
"LAWRENCE, OH",38.97%,15.17%,7138,
"FAYETTE, TX",38.96%,21.90%,2854,
"HOLMES, OH",38.91%,28.09%,2976,
"LEON, TX",38.91%,20.08%,3760,
"NOLAN, TX",38.90%,18.72%,545,
"SAN JACINTO, TX",38.89%,22.68%,3078,
"LA SALLE, TX",38.85%,19.11%,157,
"COFFEE, TN",38.72%,17.07%,328,
"RENVILLE, ND",38.72%,21.73%,359,
"EDMUNDS, SD",38.71%,29.84%,1307,
"BOWIE, TX",38.69%,16.04%,3771,
"ARMSTRONG, TX",38.68%,13.68%,380,
"CUYAHOGA, OH",38.65%,29.42%,720545,
"JACKSON, TX",38.60%,17.43%,987,
"YOAKUM, TX",38.60%,,57,
"NEW HANOVER, NC",38.55%,27.80%,72805,
"HARTLEY, TX",38.51%,10.14%,148,
"MADISON, TX",38.47%,21.47%,2636,
"DICKENS, TX",38.46%,,39,
"TROUSDALE, TN",,,26,
"HAAKON, SD",38.44%,7.79%,398,
"COOKE, TX",38.42%,18.12%,6700,
"MASON, TX",38.40%,18.91%,513,
"BURLEIGH, ND",38.36%,29.82%,61975,
"SHERMAN, TX",38.34%,6.74%,193,
"GEORGETOWN, SC",38.33%,19.73%,11830,
"ROBERTS, SD",38.32%,21.05%,4569,
"BURNET, TX",38.32%,25.21%,20132,
"FRANKLIN, TN",38.31%,14.39%,556,
"STEWART, TN",38.31%,16.92%,201,
"TODD, SD",38.30%,18.58%,1227,
"IREDELL, NC",38.30%,26.66%,67358,
"MINER, SD",38.28%,22.94%,606,
"SCOTT, TN",38.28%,21.53%,209,
"TYLER, TX",38.21%,19.81%,1060,
"TILLAMOOK, OR",38.20%,15.45%,6383,
"DEWEY, SD",38.18%,19.95%,757,
"WAKE, NC",38.11%,22.40%,524451,
"CHARLES MIX, SD",38.10%,18.15%,777,
"UPTON, TX",38.10%,16.67%,168,
"EMMONS, ND",38.07%,24.50%,1253,
"WARD, ND",38.07%,23.20%,12321,
"YORK, SC",38.05%,23.50%,127686,
"CORSON, SD",38.04%,24.50%,694,
"HANSON, SD",38.03%,22.82%,539,
"BROWN, TX",38.02%,18.51%,1507,
"AUSTIN, TX",38.00%,21.49%,9452,
"PALO PINTO, TX",37.99%,18.91%,3114,
"MAVERICK, TX",37.99%,18.80%,1282,
"YANKTON, SD",37.98%,20.83%,1527,
"SAN AUGUSTINE, TX",37.98%,17.21%,337,
"CALHOUN, TX",37.98%,21.23%,961,
"WELLS, ND",37.90%,21.87%,1029,
"JACK, TX",37.82%,17.73%,1100,
"TEXAS, OK",37.80%,10.70%,738,
"TRANSYLVANIA, NC",37.77%,16.98%,13521,
"HOCKLEY, TX",37.74%,13.58%,265,
"BLANCO, TX",37.73%,24.22%,2770,
"BEAVER, PA",37.70%,16.49%,51132,
"PUTNAM, TN",37.69%,18.07%,321,
"DARE, NC",37.67%,23.54%,20721,
"KINNEY, TX",37.61%,20.51%,117,
"GONZALES, TX",37.60%,20.37%,383,
"UNION, SD",37.58%,21.45%,5995,
"WHEELER, TX",37.56%,9.81%,418,
"KARNES, TX",37.50%,19.50%,400,
"UNION, TN",37.50%,16.96%,112,
"NACOGDOCHES, TX",37.42%,17.15%,2560,
"CARTER, OK",37.39%,17.16%,2145,
"BUNCOMBE, NC",37.31%,16.62%,50091,
"ALLEGHENY, PA",37.21%,18.83%,685359,
"CHATHAM, NC",37.18%,24.30%,39238,
"AURORA, SD",37.15%,18.99%,611,
"HASKELL, TX",37.14%,19.43%,175,
"TURNER, SD",37.13%,24.97%,4045,
"CASS, ND",37.06%,32.68%,122306,
"MCCOOK, SD",37.03%,28.17%,1931,
"LIBERTY, TX",37.02%,24.28%,19660,
"FAULK, SD",36.94%,28.61%,360,
"GRAHAM, NC",36.88%,22.19%,1361,
"HEMPHILL, TX",36.88%,7.98%,263,
"CURRY, OR",36.86%,17.98%,3036,
"PICKETT, TN",36.84%,28.95%,38,
"SABINE, TX",36.83%,17.02%,429,
"HARRISON, TX",36.82%,14.91%,1415,
"BROWN, SD",36.80%,34.26%,12345,
"BRAZOS, TX",36.80%,20.16%,68913,
"JACKSON, NC",36.78%,14.52%,1990,
"REAL, TX",36.75%,23.08%,117,
"MCINTOSH, ND",36.75%,22.25%,800,
"UNION, PA",36.72%,13.19%,9923,
"GEAUGA, OH",36.70%,26.80%,48466,
"DENTON, TX",36.69%,20.51%,249697,
"FENTRESS, TN",36.69%,19.42%,139,
"INDIANA, PA",36.69%,13.36%,12906,
"CALDWELL, TX",36.68%,22.79%,3787,
"WILLIAMSON, TX",36.63%,22.59%,129643,
"UNION, NC",36.61%,28.16%,158145,
"HANSFORD, TX",36.60%,8.13%,418,
"JEFFERSON, TX",36.59%,23.95%,20079,
"ERATH, TX",36.59%,17.91%,6855,
"BUCKS, PA",36.56%,23.52%,260466,
"BUTLER, PA",36.53%,17.53%,99338,
"MACON, NC",36.51%,20.53%,2435,
"PARKER, TX",36.49%,20.91%,53536,
"NEWPORT, RI",36.48%,35.42%,39474,
"COMANCHE, TX",36.45%,17.82%,1358,
"MONTOUR, PA",36.42%,15.34%,939,
"SOMERVELL, TX",36.33%,18.55%,1046,
"CIMARRON, OK",36.31%,12.50%,168,
"BAILEY, TX",36.29%,12.24%,237,
"BRULE, SD",36.22%,17.62%,2355,
"STANLEY, SD",36.20%,15.64%,326,
"WATAUGA, NC",36.15%,19.28%,17826,
"JASPER, TX",36.14%,19.90%,1915,
"HARRIS, TX",36.08%,22.85%,1330505,
"ATOKA, OK",36.07%,12.99%,585,
"MIFFLIN, PA",36.06%,15.94%,502,
"FALL RIVER, SD",36.04%,21.10%,1332,
"CHEATHAM, TN",36.03%,12.07%,605,
"BUTTE, SD",35.99%,11.40%,1781,
"CUMBERLAND, TN",35.95%,16.92%,804,
"LYMAN, SD",35.91%,16.72%,1011,
"ADAMS, ND",35.90%,17.63%,312,
"UNION, OR",35.89%,16.37%,2700,
"HARDING, SD",35.83%,9.58%,240,
"BOWMAN, ND",35.83%,16.40%,494,
"GRAND FORKS, ND",35.76%,23.49%,43387,
"BRISTOL, RI",35.73%,26.86%,17875,
"TERRY, TX",35.71%,9.52%,126,
"JACKSON, SD",35.56%,6.39%,360,
"NEWTON, TX",35.46%,19.79%,485,
"BRISCOE, TX",35.42%,,96,
"WASCO, OR",35.38%,16.13%,6716,
"PROVIDENCE, RI",35.35%,23.40%,190327,
"POTTER, SD",35.29%,18.95%,153,
"CUSTER, SD",35.22%,13.95%,1763,
"BROOKINGS, SD",35.18%,27.05%,7576,
"MECKLENBURG, NC",35.04%,25.35%,673332,
"DURHAM, NC",35.03%,21.78%,181155,
"LAVACA, TX",34.99%,18.60%,1086,
"GUADALUPE, TX",34.97%,22.43%,5244,
"BASTROP, TX",34.90%,21.03%,13655,
"BANDERA, TX",34.89%,20.56%,1138,
"WASHINGTON, PA",34.82%,15.96%,86048,
"REEVES, TX",34.78%,19.13%,115,
"MELLETTE, SD",34.65%,12.87%,303,
"FORT BEND, TX",34.61%,22.03%,283818,
"WARREN, TN",34.53%,14.03%,278,
"LINCOLN, TN",34.51%,12.39%,113,
"JASPER, SC",34.49%,18.80%,4862,
"STEPHENS, TX",34.48%,15.92%,377,
"COLLIN, TX",34.44%,20.91%,310721,
"JERAULD, SD",34.25%,22.65%,181,
"ROBERTS, TX",34.25%,,73,
"ANGELINA, TX",34.24%,16.35%,3438,
"ORANGE, TX",34.18%,19.08%,5896,
"KINGSBURY, SD",34.02%,24.02%,1270,
"HETTINGER, ND",33.99%,18.96%,865,
"MINNEHAHA, SD",33.93%,27.64%,88606,
"MEADE, SD",33.89%,11.10%,4946,
"PENNINGTON, SD",33.87%,13.06%,19544,
"BREWSTER, TX",33.79%,14.61%,219,
"WHITE, TN",33.77%,12.34%,154,
"KENT, RI",33.76%,19.74%,41567,
"CHARLESTON, SC",33.74%,18.60%,209591,
"HARDIN, TX",33.69%,20.79%,3992,
"DELAWARE, PA",33.66%,20.90%,256646,
"BENNETT, SD",33.64%,12.95%,440,
"FOSTER, ND",33.54%,23.94%,1303,
"JOHNSTON, OK",33.53%,13.69%,504,
"WALWORTH, SD",33.50%,22.08%,779,
"BORDEN, TX",33.33%,,45,
"MCMULLEN, TX",,,30,
"STARK, ND",33.28%,19.91%,19297,
"HAYS, TX",33.15%,17.78%,22525,
"SANBORN, SD",32.96%,20.22%,267,
"MOODY, SD",32.89%,21.15%,1669,
"MONTGOMERY, TX",32.88%,20.06%,192248,
"KENDALL, TX",32.88%,23.37%,4489,
"CENTRE, PA",32.86%,14.17%,2611,
"DEKALB, TN",32.84%,,67,
"YAMHILL, OR",32.57%,17.64%,19301,
"WASHINGTON, RI",32.52%,21.65%,35637,
"VICTORIA, TX",32.50%,18.36%,4188,
"PRESIDIO, TX",32.43%,,74,
"BON HOMME, SD",32.36%,21.22%,377,
"MONTGOMERY, PA",32.26%,19.14%,387789,
"WALKER, TX",32.16%,15.76%,23832,
"SLOPE, ND",32.00%,16.00%,75,
"EDDY, ND",31.98%,24.60%,935,
"GILLESPIE, TX",31.95%,17.75%,845,
"TRAVIS, TX",31.90%,18.88%,203715,
"LAMB, TX",31.90%,8.59%,163,
"SHERMAN, OR",31.82%,16.88%,308,
"ECTOR, TX",31.78%,14.53%,1803,
"HOOD, TX",31.73%,17.56%,10445,
"LINCOLN, SD",31.71%,25.38%,30405,
"BILLINGS, ND",31.58%,17.54%,285,
"DESCHUTES, OR",31.54%,22.66%,128396,
"COLLINGSWORTH, TX",31.47%,12.18%,197,
"JONES, SD",31.46%,21.35%,89,
"WARD, TX",31.45%,15.72%,159,
"GOLDEN VALLEY, ND",31.36%,13.94%,574,
"MOORE, NC",31.26%,14.69%,9130,
"GILES, TN",31.17%,22.08%,77,
"WILLACY, TX",31.11%,18.43%,434,
"LAWRENCE, SD",31.09%,10.81%,4661,
"KERR, TX",30.96%,15.98%,1389,
"HUTCHINSON, SD",30.78%,19.64%,718,
"FISHER, TX",30.77%,14.62%,130,
"ANDREWS, TX",30.38%,12.69%,260,
"WALLOWA, OR",30.33%,9.86%,3670,
"CALLAHAN, TX",30.31%,15.83%,518,
"REFUGIO, TX",30.20%,15.10%,298,
"DAVISON, SD",30.18%,18.44%,2929,
"ORANGE, NC",30.16%,19.05%,75509,
"BEADLE, SD",30.05%,20.73%,1997,
"MIDLAND, TX",29.69%,14.32%,2745,
"DEUEL, SD",29.60%,21.30%,2000,
"CHESTER, PA",29.38%,17.82%,233734,
"JEFF DAVIS, TX",29.31%,,58,
"ZAPATA, TX",29.22%,20.16%,243,
"CAMERON, TX",29.08%,18.68%,10488,
"KLAMATH, OR",28.99%,19.40%,5943,
"LANE, OR",28.94%,12.85%,28821,
"CODINGTON, SD",28.87%,20.35%,10478,
"CLARK, SD",28.84%,18.39%,1713,
"COCHRAN, TX",,,35,
"GLASSCOCK, TX",28.42%,14.21%,183,
"ROBERTSON, TN",28.37%,15.22%,289,
"GRANT, SD",28.09%,20.58%,972,
"TAYLOR, TX",28.07%,16.56%,3563,
"BENTON, OR",28.06%,13.50%,35850,
"JACKSON, OR",27.91%,15.10%,30311,
"JONES, TX",27.25%,18.77%,389,
"OGLALA LAKOTA, SD",27.18%,12.62%,309,
"CLACKAMAS, OR",27.15%,13.14%,107340,
"GAINES, TX",27.11%,6.67%,225,
"HIDALGO, TX",27.06%,20.01%,26357,
"COMAL, TX",27.04%,17.02%,8560,
"EL PASO, TX",26.99%,13.22%,2549,
"WASHINGTON, OR",26.74%,14.48%,146441,
"KENT, TX",,,15,
"STARR, TX",26.53%,23.76%,1406,
"BEAUFORT, SC",26.22%,13.17%,32870,
"MULTNOMAH, OR",26.02%,12.36%,228348,
"HAMLIN, SD",25.79%,23.08%,2656,
"SMITH, TN",25.71%,17.14%,70,
"CLATSOP, OR",25.68%,13.05%,3968,
"DAWSON, TX",25.51%,11.22%,98,
"KNOX, TN",25.37%,11.57%,5937,
"BEDFORD, TN",25.35%,12.44%,217,
"ROANE, TN",25.24%,13.25%,634,
"MARSHALL, TN",24.47%,12.77%,94,
"SHACKELFORD, TX",24.32%,,111,
"HAND, SD",23.84%,17.44%,172,
"MORGAN, TN",23.75%,16.88%,160,
"WEBB, TX",23.56%,20.58%,5670,
"MAURY, TN",23.38%,14.12%,616,
"ANDERSON, TN",23.33%,11.27%,1020,
"KENEDY, TX",,,13,
"HOOD RIVER, OR",22.59%,10.48%,6888,
"ARANSAS, TX",22.43%,16.27%,1266,
"LIVE OAK, TX",22.22%,14.22%,450,
"BEE, TX",21.69%,16.19%,1019,
"JOSEPHINE, OR",21.64%,10.21%,2546,
"CANNON, TN",21.13%,,71,
"JIM HOGG, TX",20.47%,16.37%,171,
"DUVAL, TX",20.43%,18.44%,553,
"MACON, TN",,,45,
"WILLIAMSON, TN",19.75%,10.73%,2329,
"BROOKS, TX",19.61%,22.35%,255,
"SUMNER, TN",18.21%,13.33%,1373,
"JIM WELLS, TX",17.46%,15.03%,2136,
"KLEBERG, TX",17.11%,14.96%,1210,
"SAN PATRICIO, TX",14.71%,12.03%,3833,
"CULBERSON, TX",,,14,
"MONTGOMERY, TN",13.99%,9.53%,3202,
"WILSON, TN",13.84%,7.05%,1134,
"DAVIDSON, TN",13.18%,7.67%,6335,
"RUTHERFORD, TN",12.07%,11.01%,2743,
"NUECES, TX",11.60%,10.89%,23936,
"KING, TX",,,10 or fewer,
"LOVING, TX",,,10 or fewer,
None of the above,36.60%,21.10%,1578137,
Total,40.63%,25.22%,29410101,
