time,geography,state,age,epic_n_ed_heat,epic_rate_ed_heat,suppressed_heat
2023-01-01,42,Pennsylvania,45-64 Years,219,59.09942195907837,0
2024-01-01,42,Pennsylvania,45-64 Years,324,85.92272788749426,0
2025-01-01,42,Pennsylvania,45-64 Years,344,100.54481258914583,0
2022-01-01,42,Pennsylvania,65+ Years,254,70.61793473123481,0
2023-01-01,42,Pennsylvania,65+ Years,259,64.72152253008676,0
2024-01-01,42,Pennsylvania,65+ Years,441,104.39648886910905,0
2025-01-01,42,Pennsylvania,65+ Years,431,108.84030778321839,0
2022-01-01,42,Pennsylvania,Total,922,60.08135093113061,0
2023-01-01,42,Pennsylvania,Total,948,57.16135964444187,0
2024-01-01,42,Pennsylvania,Total,1403,82.20118725934329,0
2025-01-01,42,Pennsylvania,Total,1506,97.6076406172225,0
2022-01-01,36,New York,<15 Years,55,29.537337880293226,0
2023-01-01,36,New York,<15 Years,42,21.999319068695492,0
2024-01-01,36,New York,<15 Years,72,36.100177993933166,0
2025-01-01,36,New York,<15 Years,78,44.12513435537704,0
2022-01-01,36,New York,15-25 Years,103,63.81620931716656,0
2023-01-01,36,New York,15-25 Years,110,63.759984233894805,0
2024-01-01,36,New York,15-25 Years,141,78.03333849866071,0
2025-01-01,36,New York,15-25 Years,171,104.76207980297377,0
2022-01-01,36,New York,25-45 Years,153,44.69319436573639,0
2023-01-01,36,New York,25-45 Years,175,45.90970741087614,0
2024-01-01,36,New York,25-45 Years,208,51.84097780059667,0
2025-01-01,36,New York,25-45 Years,364,98.84159819261077,0
2022-01-01,36,New York,45-64 Years,159,52.46970616964545,0
2023-01-01,36,New York,45-64 Years,173,52.77608297742526,0
2024-01-01,36,New York,45-64 Years,268,78.49109653233364,0
2025-01-01,36,New York,45-64 Years,338,106.11112157571876,0
2022-01-01,36,New York,65+ Years,188,62.359235634986184,0
2023-01-01,36,New York,65+ Years,187,56.32377435551446,0
2024-01-01,36,New York,65+ Years,314,86.91031077355713,0
2025-01-01,36,New York,65+ Years,467,131.17756442307152,0
2022-01-01,36,New York,Total,653,50.504855194923216,0
2023-01-01,36,New York,Total,682,48.64562588803232,0
2024-01-01,36,New York,Total,1000,67.49601267305134,0
2025-01-01,36,New York,Total,1409,101.94742002119986,0
2022-01-01,37,North Carolina,<15 Years,69,31.378184430963447,0
2023-01-01,37,North Carolina,<15 Years,77,33.63091598385716,0
2024-01-01,37,North Carolina,<15 Years,88,38.358767811763066,0
2025-01-01,37,North Carolina,<15 Years,65,33.10920945395273,0
2022-01-01,37,North Carolina,15-25 Years,182,113.17141116044223,0
2023-01-01,37,North Carolina,15-25 Years,227,134.29727619092694,0
2024-01-01,37,North Carolina,15-25 Years,282,154.7044979509883,0
2025-01-01,37,North Carolina,15-25 Years,322,197.6636403258381,0
2022-01-01,37,North Carolina,25-45 Years,388,117.2853873894026,0
2023-01-01,37,North Carolina,25-45 Years,418,117.65467508451152,0
2024-01-01,37,North Carolina,25-45 Years,546,142.49884513298588,0
2025-01-01,37,North Carolina,25-45 Years,661,187.7014382871179,0
2022-01-01,37,North Carolina,45-64 Years,317,113.37462983362184,0
2023-01-01,37,North Carolina,45-64 Years,395,130.72587611158363,0
2024-01-01,37,North Carolina,45-64 Years,434,132.17522658610272,0
2025-01-01,37,North Carolina,45-64 Years,578,190.13720800944765,0
2022-01-01,37,North Carolina,65+ Years,275,104.23339183037626,0
2023-01-01,37,North Carolina,65+ Years,306,102.47823174815807,0
2024-01-01,37,North Carolina,65+ Years,443,130.56754143972083,0
2025-01-01,37,North Carolina,65+ Years,547,168.40303433328407,0
2022-01-01,37,North Carolina,Total,1216,97.14430882942706,0
2023-01-01,37,North Carolina,Total,1411,104.51418311536706,0
2024-01-01,37,North Carolina,Total,1777,121.86098247245441,0
2025-01-01,37,North Carolina,Total,2157,161.18052592525618,0
2022-01-01,06,California,<15 Years,48,26.619786265299446,0
2023-01-01,06,California,<15 Years,57,31.00657121719831,0
2024-01-01,06,California,<15 Years,71,34.427413919342875,0
2025-01-01,06,California,<15 Years,54,28.885964630741086,0
2022-01-01,06,California,15-25 Years,115,95.23494045745896,0
2023-01-01,06,California,15-25 Years,95,72.45934649296763,0
2024-01-01,06,California,15-25 Years,174,101.61948758081377,0
2025-01-01,06,California,15-25 Years,125,79.4740723786272,0
2022-01-01,06,California,25-45 Years,199,77.68430503776862,0
2023-01-01,06,California,25-45 Years,191,65.69624258767524,0
2024-01-01,06,California,25-45 Years,394,102.63597312708886,0
2025-01-01,06,California,25-45 Years,254,71.44142927861033,0
2022-01-01,06,California,45-64 Years,173,81.25689861675396,0
2023-01-01,06,California,45-64 Years,152,62.839519443043415,0
2024-01-01,06,California,45-64 Years,340,108.52322237365823,0
2025-01-01,06,California,45-64 Years,207,71.943696237727,0
2022-01-01,06,California,65+ Years,188,97.42346039839977,0
2023-01-01,06,California,65+ Years,154,66.6110133092265,0
2024-01-01,06,California,65+ Years,357,117.61915116531915,0
2025-01-01,06,California,65+ Years,234,80.40767377850779,0
2022-01-01,06,California,Total,720,74.8323288132528,0
2023-01-01,06,California,Total,643,59.493573676267985,0
2024-01-01,06,California,Total,1328,96.55667833393197,0
2025-01-01,06,California,Total,871,68.17614335932272,0
2022-01-01,51,Virginia,<15 Years,76,38.12658024641811,0
2023-01-01,51,Virginia,<15 Years,68,32.49810029487247,0
2024-01-01,51,Virginia,<15 Years,86,40.14452027298274,0
2025-01-01,51,Virginia,<15 Years,66,36.744237835430354,0
2022-01-01,51,Virginia,15-25 Years,176,119.01783238772764,0
2023-01-01,51,Virginia,15-25 Years,180,114.78054597279701,0
2024-01-01,51,Virginia,15-25 Years,228,136.678356262926,0
2025-01-01,51,Virginia,15-25 Years,289,198.0890235376369,0
2022-01-01,51,Virginia,25-45 Years,416,131.72643964965835,0
2023-01-01,51,Virginia,25-45 Years,423,124.15141189212035,0
2024-01-01,51,Virginia,25-45 Years,505,138.94162250799258,0
2025-01-01,51,Virginia,25-45 Years,641,197.89814265955346,0
2022-01-01,51,Virginia,45-64 Years,370,136.47596916380806,0
2023-01-01,51,Virginia,45-64 Years,360,124.21803024709037,0
2024-01-01,51,Virginia,45-64 Years,418,137.11616494615402,0
2025-01-01,51,Virginia,45-64 Years,519,189.22200225316374,0
2022-01-01,51,Virginia,65+ Years,298,114.63787127475004,0
2023-01-01,51,Virginia,65+ Years,301,105.0324867924265,0
2024-01-01,51,Virginia,65+ Years,448,142.6574406363541,0
2025-01-01,51,Virginia,65+ Years,588,199.62180494776902,0
2022-01-01,51,Virginia,Total,1325,111.3166618779499,0
2023-01-01,51,Virginia,Total,1321,103.31960170723714,0
2024-01-01,51,Virginia,Total,1668,122.8117710812148,0
2025-01-01,51,Virginia,Total,2086,171.6469799265193,0
2022-01-01,17,Illinois,<15 Years,54,23.41280680532251,0
2023-01-01,17,Illinois,<15 Years,53,23.348017621145374,0
2024-01-01,17,Illinois,<15 Years,57,24.772699615805852,0
2025-01-01,17,Illinois,<15 Years,93,47.05929977785986,0
2022-01-01,17,Illinois,15-25 Years,155,106.42169080035977,0
2023-01-01,17,Illinois,15-25 Years,131,88.13180750936822,0
2024-01-01,17,Illinois,15-25 Years,170,107.06570685409463,0
2025-01-01,17,Illinois,15-25 Years,191,137.5456385070177,0
2022-01-01,17,Illinois,25-45 Years,299,110.73294842214807,0
2023-01-01,17,Illinois,25-45 Years,308,108.89009877887533,0
