Session Title,Heat Opioid OD Firearm ED visits 2022-2025,,,,,
Session ID,2782575,,,,,
Data Model,Patients,,,,,
Population Base,All Patients,,,,,
Population Criteria Filters: These criteria are a summary and do not fully reflect the content of the exported session.,"Encounter Type: Emergency, Emergency to Inpatient",,,,,
Session Date Range,1/1/2022 - 11/12/2025,,,,,
Measure,Number of Patients,,,,,
Export User,Stephanie Perniciaro,,,,,
Date of Export,12/8/2025,,,,,
,,,,,,
,,,,,,
,,Diagnosis (Encounter),OPIOID OD,Heat,firearms initial,"Total: Total includes all data, including data from columns not currently displayed."
State of Residence,Age at Encounter in Years,Year,,,,
,,Jan 1 – Nov 12 2025,10 or fewer,10 or fewer,10 or fewer,6465
,"Total: Total includes all data under the Texas bucket, including data from rows not currently displayed.",Jan 1 – Dec 31 2022,1526,4314,2539,2183696
,,Jan 1 – Dec 31 2023,1665,6621,2489,2282982
,,Jan 1 – Dec 31 2024,1436,5241,2404,2536528
,,Jan 1 – Nov 12 2025,1536,4747,2266,2545080
Florida,Less than 15 Years,Jan 1 – Dec 31 2022,14,96,41,357431
,,Jan 1 – Dec 31 2023,33,190,58,467562
,,Jan 1 – Dec 31 2024,13,214,44,465205
,,Jan 1 – Nov 12 2025,12,233,39,437194
,≥ 15 and < 25 Years,Jan 1 – Dec 31 2022,200,194,524,201341
,,Jan 1 – Dec 31 2023,253,466,549,286272
,,Jan 1 – Dec 31 2024,195,489,452,299393
,,Jan 1 – Nov 12 2025,104,483,390,287962
,≥ 25 and < 45 Years,Jan 1 – Dec 31 2022,1507,399,664,423417
,,Jan 1 – Dec 31 2023,2033,964,719,611714
,,Jan 1 – Dec 31 2024,1224,986,621,645551
,,Jan 1 – Nov 12 2025,893,1089,522,628710
,≥ 45 and < 65 Years,Jan 1 – Dec 31 2022,852,332,187,361214
,,Jan 1 – Dec 31 2023,1185,810,240,519244
,,Jan 1 – Dec 31 2024,875,783,233,547108
,,Jan 1 – Nov 12 2025,663,874,203,535278
,65 Years or more,Jan 1 – Dec 31 2022,218,360,80,359667
,,Jan 1 – Dec 31 2023,377,681,87,536362
,,Jan 1 – Dec 31 2024,364,732,93,594768
,,Jan 1 – Nov 12 2025,376,917,79,597103
,No value,Jan 1 – Dec 31 2022,10 or fewer,10 or fewer,10 or fewer,2661
,,Jan 1 – Dec 31 2023,10 or fewer,10 or fewer,10 or fewer,5044
,,Jan 1 – Dec 31 2024,10 or fewer,10 or fewer,10 or fewer,4779
,,Jan 1 – Nov 12 2025,10 or fewer,10 or fewer,10 or fewer,6106
,"Total: Total includes all data under the Florida bucket, including data from rows not currently displayed.",Jan 1 – Dec 31 2022,2765,1373,1490,1699618
,,Jan 1 – Dec 31 2023,3839,3091,1647,2415105
,,Jan 1 – Dec 31 2024,2632,3175,1438,2544961
,,Jan 1 – Nov 12 2025,2022,3565,1224,2482760
Ohio,Less than 15 Years,Jan 1 – Dec 31 2022,20,71,63,325587
,,Jan 1 – Dec 31 2023,25,80,81,338927
,,Jan 1 – Dec 31 2024,26,115,79,361542
,,Jan 1 – Nov 12 2025,10 or fewer,139,54,304129
,≥ 15 and < 25 Years,Jan 1 – Dec 31 2022,386,218,886,262606
,,Jan 1 – Dec 31 2023,343,175,946,277390
,,Jan 1 – Dec 31 2024,220,330,841,304271
,,Jan 1 – Nov 12 2025,124,398,729,272397
,≥ 25 and < 45 Years,Jan 1 – Dec 31 2022,2990,411,1284,537282
,,Jan 1 – Dec 31 2023,2668,333,1259,579239
,,Jan 1 – Dec 31 2024,1754,570,1310,633043
