Session Title,Heat Opioid OD Firearm ED visits 2018-2021,,,,,
Session ID,2782574,,,,,
Data Model,Patients,,,,,
Population Base,All Patients,,,,,
Population Criteria Filters: These criteria are a summary and do not fully reflect the content of the exported session.,"Encounter Type: Emergency, Emergency to Inpatient",,,,,
Session Date Range,1/1/2018 - 12/31/2021,,,,,
Measure,Number of Patients,,,,,
Export User,Stephanie Perniciaro,,,,,
Date of Export,12/8/2025,,,,,
,,,,,,
,,,,,,
,,Diagnosis (Encounter),OPIOID OD,Heat,firearms initial,"Total: Total includes all data, including data from columns not currently displayed."
State of Residence,Age at Encounter in Years,Year,,,,
Texas,Less than 15 Years,Jan 1 – Dec 31 2018,10 or fewer,204,55,377269
,,Jan 1 – Dec 31 2019,12,199,58,438773
,,Jan 1 – Dec 31 2020,17,80,85,312787
,,Jan 1 – Dec 31 2021,10 or fewer,137,109,450069
,≥ 15 and < 25 Years,Jan 1 – Dec 31 2018,64,272,284,157785
,,Jan 1 – Dec 31 2019,79,359,413,198105
,,Jan 1 – Dec 31 2020,139,263,791,205247
,,Jan 1 – Dec 31 2021,218,337,841,256840
,≥ 25 and < 45 Years,Jan 1 – Dec 31 2018,227,579,368,284675
,,Jan 1 – Dec 31 2019,241,757,484,365213
,,Jan 1 – Dec 31 2020,395,649,871,412168
,,Jan 1 – Dec 31 2021,587,760,1038,507665
,≥ 45 and < 65 Years,Jan 1 – Dec 31 2018,153,454,127,234118
,,Jan 1 – Dec 31 2019,191,603,154,294745
,,Jan 1 – Dec 31 2020,218,563,278,335926
,,Jan 1 – Dec 31 2021,281,639,304,414242
,65 Years or more,Jan 1 – Dec 31 2018,87,261,39,176132
,,Jan 1 – Dec 31 2019,121,357,46,240239
,,Jan 1 – Dec 31 2020,120,316,59,275063
,,Jan 1 – Dec 31 2021,163,419,89,345873
,No value,Jan 1 – Dec 31 2018,10 or fewer,10 or fewer,10 or fewer,2156
,,Jan 1 – Dec 31 2019,10 or fewer,10 or fewer,10 or fewer,2345
,,Jan 1 – Dec 31 2020,10 or fewer,10 or fewer,10 or fewer,3387
,,Jan 1 – Dec 31 2021,10 or fewer,10 or fewer,10 or fewer,5266
,"Total: Total includes all data under the Texas bucket, including data from rows not currently displayed.",Jan 1 – Dec 31 2018,530,1765,869,1227458
,,Jan 1 – Dec 31 2019,638,2265,1146,1533365
,,Jan 1 – Dec 31 2020,876,1858,2076,1538409
,,Jan 1 – Dec 31 2021,1238,2279,2370,1972205
Ohio,Less than 15 Years,Jan 1 – Dec 31 2018,13,117,39,300779
,,Jan 1 – Dec 31 2019,15,72,38,308486
,,Jan 1 – Dec 31 2020,17,30,60,220236
,,Jan 1 – Dec 31 2021,11,70,81,279128
,≥ 15 and < 25 Years,Jan 1 – Dec 31 2018,728,254,611,238300
,,Jan 1 – Dec 31 2019,521,205,676,240630
,,Jan 1 – Dec 31 2020,519,156,913,209258
,,Jan 1 – Dec 31 2021,468,200,958,244189
,≥ 25 and < 45 Years,Jan 1 – Dec 31 2018,4184,507,939,482120
,,Jan 1 – Dec 31 2019,3877,409,914,490398
,,Jan 1 – Dec 31 2020,3661,284,1339,445505
,,Jan 1 – Dec 31 2021,3387,349,1334,504853
,≥ 45 and < 65 Years,Jan 1 – Dec 31 2018,1353,412,276,413929
,,Jan 1 – Dec 31 2019,1400,345,275,419904
,,Jan 1 – Dec 31 2020,1420,268,339,381477
,,Jan 1 – Dec 31 2021,1385,293,351,438093
,65 Years or more,Jan 1 – Dec 31 2018,206,335,66,329531
,,Jan 1 – Dec 31 2019,217,311,69,347392
,,Jan 1 – Dec 31 2020,244,213,86,320835
,,Jan 1 – Dec 31 2021,243,294,110,382068
,No value,Jan 1 – Dec 31 2018,10 or fewer,10 or fewer,10 or fewer,2617
,,Jan 1 – Dec 31 2019,10 or fewer,10 or fewer,13,2542
,,Jan 1 – Dec 31 2020,10 or fewer,10 or fewer,10 or fewer,2956
,,Jan 1 – Dec 31 2021,10 or fewer,10 or fewer,10 or fewer,3156
