Session Title,Number of ED Encounters All State Week Age 2023,,,
Session Description,"All ED Enouncters as base,Slice by 53 states of residenceSlice by 6 age groups",,,
Session ID,2726769,,,
Data Model,ED Encounters,,,
Population Base,All ED Encounters,,,
Population Criteria Filters: These criteria are a summary and do not fully reflect the content of the exported session.,,,,
Session Date Range,1/1/2023 - 12/30/2023 (Based On Arrival Date),,,
Measure,Number of ED Encounters,,,
Export User,Stephanie Perniciaro,,,
Date of Export,12/11/2025,,,
,,,,
,,,,
,,,,Number of ED Encounters
State of Residence,Age at Time of Visit,Year,Week,
Florida,Less than 1 Years,2023,Jan 1 – Jan 7,2085
,,,Jan 8 – Jan 14,1721
,,,Jan 15 – Jan 21,1733
,,,Jan 22 – Jan 28,1719
,,,Jan 29 – Feb 4,1817
,,,Feb 5 – Feb 11,1833
,,,Feb 12 – Feb 18,1748
,,,Feb 19 – Feb 25,1782
,,,Feb 26 – Mar 4,1682
,,,Mar 5 – Mar 11,1809
,,,Mar 12 – Mar 18,1773
,,,Mar 19 – Mar 25,1724
,,,Mar 26 – Apr 1,1780
,,,Apr 2 – Apr 8,1721
,,,Apr 9 – Apr 15,1788
,,,Apr 16 – Apr 22,1701
,,,Apr 23 – Apr 29,1686
,,,Apr 30 – May 6,1629
,,,May 7 – May 13,1544
,,,May 14 – May 20,1660
,,,May 21 – May 27,1683
,,,May 28 – Jun 3,1809
,,,Jun 4 – Jun 10,1781
,,,Jun 11 – Jun 17,1601
,,,Jun 18 – Jun 24,1592
,,,Jun 25 – Jul 1,1547
,,,Jul 2 – Jul 8,1568
,,,Jul 9 – Jul 15,1494
,,,Jul 16 – Jul 22,1588
,,,Jul 23 – Jul 29,1672
,,,Jul 30 – Aug 5,1718
,,,Aug 6 – Aug 12,1810
,,,Aug 13 – Aug 19,1781
,,,Aug 20 – Aug 26,2174
,,,Aug 27 – Sep 2,2153
,,,Sep 3 – Sep 9,2089
,,,Sep 10 – Sep 16,1887
,,,Sep 17 – Sep 23,1896
,,,Sep 24 – Sep 30,2061
,,,Oct 1 – Oct 7,2103
,,,Oct 8 – Oct 14,2172
,,,Oct 15 – Oct 21,2240
,,,Oct 22 – Oct 28,2368
,,,Oct 29 – Nov 4,2286
,,,Nov 5 – Nov 11,2244
,,,Nov 12 – Nov 18,2139
,,,Nov 19 – Nov 25,2304
,,,Nov 26 – Dec 2,2159
,,,Dec 3 – Dec 9,1970
,,,Dec 10 – Dec 16,1989
,,,Dec 17 – Dec 23,2005
,,,Dec 24 – Dec 30,2174
,≥ 1 and < 5 Years,2023,Jan 1 – Jan 7,5209
,,,Jan 8 – Jan 14,4570
,,,Jan 15 – Jan 21,4744
,,,Jan 22 – Jan 28,4930
,,,Jan 29 – Feb 4,5226
,,,Feb 5 – Feb 11,5394
,,,Feb 12 – Feb 18,5252
,,,Feb 19 – Feb 25,5396
,,,Feb 26 – Mar 4,5565
,,,Mar 5 – Mar 11,5614
,,,Mar 12 – Mar 18,5279
,,,Mar 19 – Mar 25,5086
,,,Mar 26 – Apr 1,5063
,,,Apr 2 – Apr 8,4982
,,,Apr 9 – Apr 15,4943
,,,Apr 16 – Apr 22,5220
,,,Apr 23 – Apr 29,5287
,,,Apr 30 – May 6,5095
,,,May 7 – May 13,5136
,,,May 14 – May 20,5155
,,,May 21 – May 27,5071
,,,May 28 – Jun 3,5170
,,,Jun 4 – Jun 10,4947
,,,Jun 11 – Jun 17,4465
,,,Jun 18 – Jun 24,4375
,,,Jun 25 – Jul 1,4286
,,,Jul 2 – Jul 8,4346
,,,Jul 9 – Jul 15,4174
,,,Jul 16 – Jul 22,4161
,,,Jul 23 – Jul 29,4040
,,,Jul 30 – Aug 5,4196
,,,Aug 6 – Aug 12,4091
,,,Aug 13 – Aug 19,4455
,,,Aug 20 – Aug 26,5008
,,,Aug 27 – Sep 2,5261
,,,Sep 3 – Sep 9,5367
,,,Sep 10 – Sep 16,5223
,,,Sep 17 – Sep 23,5256
,,,Sep 24 – Sep 30,5600
,,,Oct 1 – Oct 7,5936
,,,Oct 8 – Oct 14,6075
,,,Oct 15 – Oct 21,6192
,,,Oct 22 – Oct 28,6297
,,,Oct 29 – Nov 4,5958
,,,Nov 5 – Nov 11,6367
,,,Nov 12 – Nov 18,5901
,,,Nov 19 – Nov 25,5800
,,,Nov 26 – Dec 2,5214
,,,Dec 3 – Dec 9,5270
,,,Dec 10 – Dec 16,5384
,,,Dec 17 – Dec 23,5529
,,,Dec 24 – Dec 30,5556
,≥ 5 and < 18 Years,2023,Jan 1 – Jan 7,7936
,,,Jan 8 – Jan 14,8522
,,,Jan 15 – Jan 21,8951
,,,Jan 22 – Jan 28,10019
,,,Jan 29 – Feb 4,10571
,,,Feb 5 – Feb 11,10679
,,,Feb 12 – Feb 18,10196
,,,Feb 19 – Feb 25,10399
,,,Feb 26 – Mar 4,11032
,,,Mar 5 – Mar 11,10856
,,,Mar 12 – Mar 18,8434
,,,Mar 19 – Mar 25,9215
,,,Mar 26 – Apr 1,9982
,,,Apr 2 – Apr 8,9962
,,,Apr 9 – Apr 15,9997
,,,Apr 16 – Apr 22,10705
,,,Apr 23 – Apr 29,10800
,,,Apr 30 – May 6,10635
,,,May 7 – May 13,10583
,,,May 14 – May 20,10067
,,,May 21 – May 27,9477
,,,May 28 – Jun 3,8810
,,,Jun 4 – Jun 10,7814
,,,Jun 11 – Jun 17,7239
,,,Jun 18 – Jun 24,6834
,,,Jun 25 – Jul 1,6860
,,,Jul 2 – Jul 8,6881
,,,Jul 9 – Jul 15,6710
,,,Jul 16 – Jul 22,6704
,,,Jul 23 – Jul 29,6308
,,,Jul 30 – Aug 5,6538
,,,Aug 6 – Aug 12,6631
,,,Aug 13 – Aug 19,8027
,,,Aug 20 – Aug 26,10395
,,,Aug 27 – Sep 2,9439
,,,Sep 3 – Sep 9,9754
,,,Sep 10 – Sep 16,9977
,,,Sep 17 – Sep 23,10136
,,,Sep 24 – Sep 30,10246
,,,Oct 1 – Oct 7,10992
,,,Oct 8 – Oct 14,11033
,,,Oct 15 – Oct 21,11091
,,,Oct 22 – Oct 28,11563
,,,Oct 29 – Nov 4,11872
,,,Nov 5 – Nov 11,12159
,,,Nov 12 – Nov 18,11497
,,,Nov 19 – Nov 25,8963
,,,Nov 26 – Dec 2,9830
,,,Dec 3 – Dec 9,10687
,,,Dec 10 – Dec 16,11102
,,,Dec 17 – Dec 23,10045
,,,Dec 24 – Dec 30,8161
,≥ 18 and < 50 Years,2023,Jan 1 – Jan 7,30575
,,,Jan 8 – Jan 14,28736
,,,Jan 15 – Jan 21,28467
,,,Jan 22 – Jan 28,29007
,,,Jan 29 – Feb 4,29697
,,,Feb 5 – Feb 11,29782
,,,Feb 12 – Feb 18,28766
,,,Feb 19 – Feb 25,29676
,,,Feb 26 – Mar 4,30046
,,,Mar 5 – Mar 11,29855
,,,Mar 12 – Mar 18,29291
,,,Mar 19 – Mar 25,30061
,,,Mar 26 – Apr 1,30271
,,,Apr 2 – Apr 8,29730
,,,Apr 9 – Apr 15,29527
,,,Apr 16 – Apr 22,30030
,,,Apr 23 – Apr 29,31082
,,,Apr 30 – May 6,31300
,,,May 7 – May 13,31035
,,,May 14 – May 20,31059
,,,May 21 – May 27,30544
,,,May 28 – Jun 3,31018
,,,Jun 4 – Jun 10,31317
,,,Jun 11 – Jun 17,31282
,,,Jun 18 – Jun 24,30533
,,,Jun 25 – Jul 1,31552
,,,Jul 2 – Jul 8,30829
,,,Jul 9 – Jul 15,31469
,,,Jul 16 – Jul 22,31512
,,,Jul 23 – Jul 29,31503
,,,Jul 30 – Aug 5,31676
,,,Aug 6 – Aug 12,32476
,,,Aug 13 – Aug 19,32020
,,,Aug 20 – Aug 26,32307
,,,Aug 27 – Sep 2,30687
,,,Sep 3 – Sep 9,32608
,,,Sep 10 – Sep 16,31540
,,,Sep 17 – Sep 23,31381
,,,Sep 24 – Sep 30,31189
,,,Oct 1 – Oct 7,31418
,,,Oct 8 – Oct 14,31292
,,,Oct 15 – Oct 21,30552
,,,Oct 22 – Oct 28,31297
,,,Oct 29 – Nov 4,31310
,,,Nov 5 – Nov 11,31660
,,,Nov 12 – Nov 18,31895
,,,Nov 19 – Nov 25,29877
,,,Nov 26 – Dec 2,32676
,,,Dec 3 – Dec 9,32242
,,,Dec 10 – Dec 16,31583
,,,Dec 17 – Dec 23,30950
,,,Dec 24 – Dec 30,31863
,≥ 50 and < 65 Years,2023,Jan 1 – Jan 7,13648
,,,Jan 8 – Jan 14,12288
,,,Jan 15 – Jan 21,12272
,,,Jan 22 – Jan 28,12677
,,,Jan 29 – Feb 4,12466
,,,Feb 5 – Feb 11,12776
,,,Feb 12 – Feb 18,12589
,,,Feb 19 – Feb 25,12970
,,,Feb 26 – Mar 4,12606
,,,Mar 5 – Mar 11,12913
,,,Mar 12 – Mar 18,12287
,,,Mar 19 – Mar 25,12787
,,,Mar 26 – Apr 1,12926
,,,Apr 2 – Apr 8,12828
,,,Apr 9 – Apr 15,12679
,,,Apr 16 – Apr 22,12919
,,,Apr 23 – Apr 29,13539
,,,Apr 30 – May 6,13370
,,,May 7 – May 13,13165
,,,May 14 – May 20,13419
,,,May 21 – May 27,13298
,,,May 28 – Jun 3,13304
,,,Jun 4 – Jun 10,13369
,,,Jun 11 – Jun 17,13550
,,,Jun 18 – Jun 24,13346
,,,Jun 25 – Jul 1,13620
,,,Jul 2 – Jul 8,13646
,,,Jul 9 – Jul 15,13793
,,,Jul 16 – Jul 22,13812
