Session Title,A03 FLU ED Encounters by State and Age 2026,,,
Session ID,2795686,,,
Data Model,ED Encounters,,,
Population Base,All ED Encounters,,,
Population Criteria Filters: These criteria are a summary and do not fully reflect the content of the exported session.,"ED Diagnoses: Influenza due to unidentified influenza virus( ICD-10-CM: J11.* ), Influenza due to other identified influenza virus( ICD-10-CM: J10.* ), Influenza due to certain identified influenza viruses( ICD-10-CM: J09.* )",,,
Session Date Range,12/28/2025 - 2/11/2026 (Based On Arrival Date),,,
Measure,Number of ED Encounters,,,
Export User,Stephanie Perniciaro,,,
Date of Export,2/19/2026,,,
,,,,
,,,,
,,,,Number of ED Encounters
State of Residence,Age at Time of Visit,Year,Week,
Florida,Less than 1 Years,2025 – 2026,Dec 28 – Jan 3,273
,,2026,Jan 4 – Jan 10,186
,,,Jan 11 – Jan 17,124
,,,Jan 18 – Jan 24,149
,,,Jan 25 – Jan 31,148
,,,Feb 1 – Feb 7,89
,,,Feb 8 – Feb 11,10 or fewer
,≥ 1 and < 5 Years,2025 – 2026,Dec 28 – Jan 3,855
,,2026,Jan 4 – Jan 10,684
,,,Jan 11 – Jan 17,670
,,,Jan 18 – Jan 24,661
,,,Jan 25 – Jan 31,623
,,,Feb 1 – Feb 7,296
,,,Feb 8 – Feb 11,10 or fewer
,≥ 5 and < 18 Years,2025 – 2026,Dec 28 – Jan 3,868
,,2026,Jan 4 – Jan 10,890
,,,Jan 11 – Jan 17,1174
,,,Jan 18 – Jan 24,1412
,,,Jan 25 – Jan 31,1380
,,,Feb 1 – Feb 7,828
,,,Feb 8 – Feb 11,10 or fewer
,≥ 18 and < 50 Years,2025 – 2026,Dec 28 – Jan 3,2420
,,2026,Jan 4 – Jan 10,2080
,,,Jan 11 – Jan 17,1273
,,,Jan 18 – Jan 24,1462
,,,Jan 25 – Jan 31,1251
,,,Feb 1 – Feb 7,640
,,,Feb 8 – Feb 11,10 or fewer
,≥ 50 and < 65 Years,2025 – 2026,Dec 28 – Jan 3,654
,,2026,Jan 4 – Jan 10,625
,,,Jan 11 – Jan 17,372
,,,Jan 18 – Jan 24,384
,,,Jan 25 – Jan 31,276
,,,Feb 1 – Feb 7,151
,,,Feb 8 – Feb 11,10 or fewer
