Session Title,A01. All ED Encounters by State Week Age 2025,,,
Session ID,2795156,,,
Data Model,ED Encounters,,,
Population Base,All ED Encounters,,,
Population Criteria Filters: These criteria are a summary and do not fully reflect the content of the exported session.,Country of Residence: United States of America,,,
Session Date Range,12/29/2024 - 12/27/2025 (Based On Arrival Date),,,
Measure,Number of ED Encounters,,,
Export User,Stephanie Perniciaro,,,
Date of Export,2/6/2026,,,
,,,,
,,,,
,,,,Number of ED Encounters
State of Residence,Age at Time of Visit,Year,Week,
Florida,Less than 1 Years,2024 – 2025,Dec 29 – Jan 4,2731
,,2025,Jan 5 – Jan 11,2087
,,,Jan 12 – Jan 18,2038
,,,Jan 19 – Jan 25,2035
,,,Jan 26 – Feb 1,2265
,,,Feb 2 – Feb 8,2270
,,,Feb 9 – Feb 15,2087
,,,Feb 16 – Feb 22,1952
,,,Feb 23 – Mar 1,1969
,,,Mar 2 – Mar 8,2021
,,,Mar 9 – Mar 15,2031
,,,Mar 16 – Mar 22,2128
,,,Mar 23 – Mar 29,2017
,,,Mar 30 – Apr 5,2099
,,,Apr 6 – Apr 12,1935
,,,Apr 13 – Apr 19,1956
,,,Apr 20 – Apr 26,2144
,,,Apr 27 – May 3,2065
,,,May 4 – May 10,1876
,,,May 11 – May 17,1951
,,,May 18 – May 24,2143
,,,May 25 – May 31,2009
,,,Jun 1 – Jun 7,1972
,,,Jun 8 – Jun 14,1908
,,,Jun 15 – Jun 21,1881
,,,Jun 22 – Jun 28,1979
,,,Jun 29 – Jul 5,1808
,,,Jul 6 – Jul 12,1938
,,,Jul 13 – Jul 19,1884
,,,Jul 20 – Jul 26,2040
,,,Jul 27 – Aug 2,1918
,,,Aug 3 – Aug 9,1978
,,,Aug 10 – Aug 16,2013
,,,Aug 17 – Aug 23,2313
,,,Aug 24 – Aug 30,2464
,,,Aug 31 – Sep 6,2430
,,,Sep 7 – Sep 13,2166
,,,Sep 14 – Sep 20,2149
,,,Sep 21 – Sep 27,2135
,,,Sep 28 – Oct 4,2054
,,,Oct 5 – Oct 11,2147
,,,Oct 12 – Oct 18,2134
,,,Oct 19 – Oct 25,2163
,,,Oct 26 – Nov 1,2140
,,,Nov 2 – Nov 8,2366
,,,Nov 9 – Nov 15,2290
,,,Nov 16 – Nov 22,2382
,,,Nov 23 – Nov 29,2401
,,,Nov 30 – Dec 6,2407
,,,Dec 7 – Dec 13,2238
,,,Dec 14 – Dec 20,2318
,,,Dec 21 – Dec 27,2599
,≥ 1 and < 5 Years,2024 – 2025,Dec 29 – Jan 4,6179
,,2025,Jan 5 – Jan 11,5291
,,,Jan 12 – Jan 18,6046
,,,Jan 19 – Jan 25,5948
,,,Jan 26 – Feb 1,6465
,,,Feb 2 – Feb 8,6304
,,,Feb 9 – Feb 15,5883
,,,Feb 16 – Feb 22,5541
,,,Feb 23 – Mar 1,5488
,,,Mar 2 – Mar 8,5712
,,,Mar 9 – Mar 15,5939
,,,Mar 16 – Mar 22,5612
,,,Mar 23 – Mar 29,5628
,,,Mar 30 – Apr 5,5310
,,,Apr 6 – Apr 12,5410
,,,Apr 13 – Apr 19,5471
,,,Apr 20 – Apr 26,5581
,,,Apr 27 – May 3,5608
,,,May 4 – May 10,5387
,,,May 11 – May 17,5421
,,,May 18 – May 24,5603
,,,May 25 – May 31,5454
,,,Jun 1 – Jun 7,5247
,,,Jun 8 – Jun 14,4942
,,,Jun 15 – Jun 21,4773
,,,Jun 22 – Jun 28,4607
,,,Jun 29 – Jul 5,4342
,,,Jul 6 – Jul 12,4386
,,,Jul 13 – Jul 19,4357
,,,Jul 20 – Jul 26,4368
,,,Jul 27 – Aug 2,4469
,,,Aug 3 – Aug 9,4264
,,,Aug 10 – Aug 16,4367
,,,Aug 17 – Aug 23,5115
,,,Aug 24 – Aug 30,5417
,,,Aug 31 – Sep 6,5480
,,,Sep 7 – Sep 13,5144
,,,Sep 14 – Sep 20,5328
,,,Sep 21 – Sep 27,5519
,,,Sep 28 – Oct 4,5606
,,,Oct 5 – Oct 11,5850
,,,Oct 12 – Oct 18,5919
,,,Oct 19 – Oct 25,6050
,,,Oct 26 – Nov 1,5759
,,,Nov 2 – Nov 8,6190
,,,Nov 9 – Nov 15,6162
,,,Nov 16 – Nov 22,6240
,,,Nov 23 – Nov 29,6285
,,,Nov 30 – Dec 6,5663
,,,Dec 7 – Dec 13,5897
,,,Dec 14 – Dec 20,6246
,,,Dec 21 – Dec 27,7005
,≥ 5 and < 18 Years,2024 – 2025,Dec 29 – Jan 4,8900
,,2025,Jan 5 – Jan 11,9803
,,,Jan 12 – Jan 18,11887
,,,Jan 19 – Jan 25,11601
,,,Jan 26 – Feb 1,13612
,,,Feb 2 – Feb 8,13473
,,,Feb 9 – Feb 15,12404
,,,Feb 16 – Feb 22,11192
,,,Feb 23 – Mar 1,11274
,,,Mar 2 – Mar 8,11907
,,,Mar 9 – Mar 15,11487
,,,Mar 16 – Mar 22,9253
,,,Mar 23 – Mar 29,10323
,,,Mar 30 – Apr 5,10900
,,,Apr 6 – Apr 12,11351
,,,Apr 13 – Apr 19,10938
,,,Apr 20 – Apr 26,11459
,,,Apr 27 – May 3,11226
,,,May 4 – May 10,10852
,,,May 11 – May 17,10528
,,,May 18 – May 24,10464
,,,May 25 – May 31,9294
,,,Jun 1 – Jun 7,8319
,,,Jun 8 – Jun 14,7659
,,,Jun 15 – Jun 21,7426
,,,Jun 22 – Jun 28,7445
,,,Jun 29 – Jul 5,6972
,,,Jul 6 – Jul 12,7162
,,,Jul 13 – Jul 19,7078
,,,Jul 20 – Jul 26,7094
,,,Jul 27 – Aug 2,7376
,,,Aug 3 – Aug 9,7138
,,,Aug 10 – Aug 16,8331
,,,Aug 17 – Aug 23,10613
,,,Aug 24 – Aug 30,11642
,,,Aug 31 – Sep 6,10788
,,,Sep 7 – Sep 13,10346
,,,Sep 14 – Sep 20,10901
,,,Sep 21 – Sep 27,11061
,,,Sep 28 – Oct 4,10977
,,,Oct 5 – Oct 11,11188
,,,Oct 12 – Oct 18,11063
,,,Oct 19 – Oct 25,11155
,,,Oct 26 – Nov 1,10793
,,,Nov 2 – Nov 8,12051
,,,Nov 9 – Nov 15,11262
,,,Nov 16 – Nov 22,12088
,,,Nov 23 – Nov 29,8989
,,,Nov 30 – Dec 6,10612
,,,Dec 7 – Dec 13,11193
,,,Dec 14 – Dec 20,12148
,,,Dec 21 – Dec 27,10495
,≥ 18 and < 50 Years,2024 – 2025,Dec 29 – Jan 4,39383
,,2025,Jan 5 – Jan 11,37538
,,,Jan 12 – Jan 18,37156
,,,Jan 19 – Jan 25,36217
,,,Jan 26 – Feb 1,38568
,,,Feb 2 – Feb 8,38266
,,,Feb 9 – Feb 15,36887
,,,Feb 16 – Feb 22,36247
,,,Feb 23 – Mar 1,35969
,,,Mar 2 – Mar 8,36842
,,,Mar 9 – Mar 15,37895
,,,Mar 16 – Mar 22,37133
,,,Mar 23 – Mar 29,37627
,,,Mar 30 – Apr 5,37787
,,,Apr 6 – Apr 12,37663
,,,Apr 13 – Apr 19,36915
,,,Apr 20 – Apr 26,37735
,,,Apr 27 – May 3,38021
,,,May 4 – May 10,37625
