Session Title,A01. All ED Encounters by State Week Age 2024,,,
Session ID,2795144,,,
Data Model,ED Encounters,,,
Population Base,All ED Encounters,,,
Population Criteria Filters: These criteria are a summary and do not fully reflect the content of the exported session.,Country of Residence: United States of America,,,
Session Date Range,12/31/2023 - 12/28/2024 (Based On Arrival Date),,,
Measure,Number of ED Encounters,,,
Export User,Stephanie Perniciaro,,,
Date of Export,2/19/2026,,,
,,,,
,,,,
,,,,Number of ED Encounters
State of Residence,Age at Time of Visit,Year,Week,
Ohio,Less than 1 Years,2023 – 2024,Dec 31 – Jan 6,2128
,,2024,Jan 7 – Jan 13,1573
,,,Jan 14 – Jan 20,1448
,,,Jan 21 – Jan 27,1523
,,,Jan 28 – Feb 3,1469
,,,Feb 4 – Feb 10,1500
,,,Feb 11 – Feb 17,1443
,,,Feb 18 – Feb 24,1533
,,,Feb 25 – Mar 2,1383
,,,Mar 3 – Mar 9,1348
,,,Mar 10 – Mar 16,1404
,,,Mar 17 – Mar 23,1369
,,,Mar 24 – Mar 30,1480
,,,Mar 31 – Apr 6,1355
,,,Apr 7 – Apr 13,1314
,,,Apr 14 – Apr 20,1247
,,,Apr 21 – Apr 27,1296
,,,Apr 28 – May 4,1412
,,,May 5 – May 11,1246
,,,May 12 – May 18,1278
,,,May 19 – May 25,1259
,,,May 26 – Jun 1,1296
,,,Jun 2 – Jun 8,1171
,,,Jun 9 – Jun 15,1054
,,,Jun 16 – Jun 22,1061
,,,Jun 23 – Jun 29,1059
,,,Jun 30 – Jul 6,1040
,,,Jul 7 – Jul 13,1086
,,,Jul 14 – Jul 20,1101
,,,Jul 21 – Jul 27,1092
,,,Jul 28 – Aug 3,1128
,,,Aug 4 – Aug 10,1128
,,,Aug 11 – Aug 17,1148
,,,Aug 18 – Aug 24,1138
,,,Aug 25 – Aug 31,1250
,,,Sep 1 – Sep 7,1421
,,,Sep 8 – Sep 14,1307
,,,Sep 15 – Sep 21,1248
,,,Sep 22 – Sep 28,1193
,,,Sep 29 – Oct 5,1240
,,,Oct 6 – Oct 12,1188
,,,Oct 13 – Oct 19,1262
,,,Oct 20 – Oct 26,1444
,,,Oct 27 – Nov 2,1335
,,,Nov 3 – Nov 9,1450
,,,Nov 10 – Nov 16,1518
,,,Nov 17 – Nov 23,1452
,,,Nov 24 – Nov 30,1657
,,,Dec 1 – Dec 7,1775
,,,Dec 8 – Dec 14,1712
,,,Dec 15 – Dec 21,1809
,,,Dec 22 – Dec 28,2199
,≥ 1 and < 5 Years,2023 – 2024,Dec 31 – Jan 6,4348
,,2024,Jan 7 – Jan 13,3891
,,,Jan 14 – Jan 20,3561
,,,Jan 21 – Jan 27,3581
,,,Jan 28 – Feb 3,3889
,,,Feb 4 – Feb 10,4239
,,,Feb 11 – Feb 17,4324
,,,Feb 18 – Feb 24,4522
,,,Feb 25 – Mar 2,4264
,,,Mar 3 – Mar 9,4174
,,,Mar 10 – Mar 16,4016
,,,Mar 17 – Mar 23,3959
,,,Mar 24 – Mar 30,4060
,,,Mar 31 – Apr 6,3723
,,,Apr 7 – Apr 13,3789
,,,Apr 14 – Apr 20,3608
,,,Apr 21 – Apr 27,3759
,,,Apr 28 – May 4,3991
,,,May 5 – May 11,3801
,,,May 12 – May 18,3798
,,,May 19 – May 25,3751
,,,May 26 – Jun 1,3746
,,,Jun 2 – Jun 8,3187
,,,Jun 9 – Jun 15,2970
,,,Jun 16 – Jun 22,3002
,,,Jun 23 – Jun 29,3061
,,,Jun 30 – Jul 6,2782
,,,Jul 7 – Jul 13,2920
,,,Jul 14 – Jul 20,2853
,,,Jul 21 – Jul 27,2877
,,,Jul 28 – Aug 3,2765
,,,Aug 4 – Aug 10,2857
,,,Aug 11 – Aug 17,2802
,,,Aug 18 – Aug 24,2854
,,,Aug 25 – Aug 31,3126
,,,Sep 1 – Sep 7,3312
,,,Sep 8 – Sep 14,3340
,,,Sep 15 – Sep 21,3202
,,,Sep 22 – Sep 28,3109
,,,Sep 29 – Oct 5,3256
,,,Oct 6 – Oct 12,3437
,,,Oct 13 – Oct 19,3440
,,,Oct 20 – Oct 26,3890
,,,Oct 27 – Nov 2,3643
,,,Nov 3 – Nov 9,3824
,,,Nov 10 – Nov 16,3741
,,,Nov 17 – Nov 23,4075
,,,Nov 24 – Nov 30,4130
,,,Dec 1 – Dec 7,3982
,,,Dec 8 – Dec 14,4260
,,,Dec 15 – Dec 21,4794
,,,Dec 22 – Dec 28,5274
,≥ 5 and < 18 Years,2023 – 2024,Dec 31 – Jan 6,7291
,,2024,Jan 7 – Jan 13,8280
,,,Jan 14 – Jan 20,7456
,,,Jan 21 – Jan 27,9130
,,,Jan 28 – Feb 3,10435
,,,Feb 4 – Feb 10,11285
,,,Feb 11 – Feb 17,10752
,,,Feb 18 – Feb 24,10760
,,,Feb 25 – Mar 2,10611
,,,Mar 3 – Mar 9,10259
,,,Mar 10 – Mar 16,9688
,,,Mar 17 – Mar 23,9073
,,,Mar 24 – Mar 30,7809
,,,Mar 31 – Apr 6,7325
,,,Apr 7 – Apr 13,8141
,,,Apr 14 – Apr 20,9278
,,,Apr 21 – Apr 27,9323
,,,Apr 28 – May 4,10012
,,,May 5 – May 11,9486
,,,May 12 – May 18,9242
,,,May 19 – May 25,8992
,,,May 26 – Jun 1,7681
,,,Jun 2 – Jun 8,6906
,,,Jun 9 – Jun 15,6636
,,,Jun 16 – Jun 22,6596
,,,Jun 23 – Jun 29,6770
,,,Jun 30 – Jul 6,6566
,,,Jul 7 – Jul 13,6637
,,,Jul 14 – Jul 20,6584
,,,Jul 21 – Jul 27,6626
,,,Jul 28 – Aug 3,6504
,,,Aug 4 – Aug 10,6666
,,,Aug 11 – Aug 17,6690
,,,Aug 18 – Aug 24,7499
,,,Aug 25 – Aug 31,8984
,,,Sep 1 – Sep 7,9185
,,,Sep 8 – Sep 14,9634
,,,Sep 15 – Sep 21,9749
,,,Sep 22 – Sep 28,8877
,,,Sep 29 – Oct 5,9039
,,,Oct 6 – Oct 12,9219
,,,Oct 13 – Oct 19,9096
,,,Oct 20 – Oct 26,9608
,,,Oct 27 – Nov 2,9012
,,,Nov 3 – Nov 9,9045
,,,Nov 10 – Nov 16,8946
,,,Nov 17 – Nov 23,8912
,,,Nov 24 – Nov 30,7008
,,,Dec 1 – Dec 7,8034
,,,Dec 8 – Dec 14,8898
,,,Dec 15 – Dec 21,8711
,,,Dec 22 – Dec 28,7551
,≥ 18 and < 50 Years,2023 – 2024,Dec 31 – Jan 6,38453
,,2024,Jan 7 – Jan 13,36300
,,,Jan 14 – Jan 20,33537
,,,Jan 21 – Jan 27,37037
,,,Jan 28 – Feb 3,37190
,,,Feb 4 – Feb 10,37639
,,,Feb 11 – Feb 17,37305
,,,Feb 18 – Feb 24,38483
,,,Feb 25 – Mar 2,38364
,,,Mar 3 – Mar 9,38087
,,,Mar 10 – Mar 16,36987
,,,Mar 17 – Mar 23,36321
,,,Mar 24 – Mar 30,36040
,,,Mar 31 – Apr 6,36241
,,,Apr 7 – Apr 13,36620
,,,Apr 14 – Apr 20,36558
,,,Apr 21 – Apr 27,36124
,,,Apr 28 – May 4,37678
,,,May 5 – May 11,37235
,,,May 12 – May 18,37490
,,,May 19 – May 25,37809
,,,May 26 – Jun 1,37517
,,,Jun 2 – Jun 8,37865
,,,Jun 9 – Jun 15,37081
,,,Jun 16 – Jun 22,38412
,,,Jun 23 – Jun 29,38645
,,,Jun 30 – Jul 6,36812
,,,Jul 7 – Jul 13,39416
,,,Jul 14 – Jul 20,38802
,,,Jul 21 – Jul 27,38599
,,,Jul 28 – Aug 3,38696
,,,Aug 4 – Aug 10,38641
,,,Aug 11 – Aug 17,37860
,,,Aug 18 – Aug 24,37334
,,,Aug 25 – Aug 31,39468
,,,Sep 1 – Sep 7,38593
,,,Sep 8 – Sep 14,38581
,,,Sep 15 – Sep 21,39123
,,,Sep 22 – Sep 28,38333
,,,Sep 29 – Oct 5,37888
,,,Oct 6 – Oct 12,37263
,,,Oct 13 – Oct 19,37023
,,,Oct 20 – Oct 26,38370
,,,Oct 27 – Nov 2,38242
,,,Nov 3 – Nov 9,39240
,,,Nov 10 – Nov 16,37874
,,,Nov 17 – Nov 23,37912
,,,Nov 24 – Nov 30,34721
,,,Dec 1 – Dec 7,37218
,,,Dec 8 – Dec 14,37896
,,,Dec 15 – Dec 21,38440
,,,Dec 22 – Dec 28,37938
,≥ 50 and < 65 Years,2023 – 2024,Dec 31 – Jan 6,16397
,,2024,Jan 7 – Jan 13,15664
,,,Jan 14 – Jan 20,14356
,,,Jan 21 – Jan 27,16258
,,,Jan 28 – Feb 3,15653
,,,Feb 4 – Feb 10,16003
,,,Feb 11 – Feb 17,15784
,,,Feb 18 – Feb 24,16196
,,,Feb 25 – Mar 2,15922
,,,Mar 3 – Mar 9,16604
,,,Mar 10 – Mar 16,15916
,,,Mar 17 – Mar 23,15454
,,,Mar 24 – Mar 30,15830
,,,Mar 31 – Apr 6,15678
,,,Apr 7 – Apr 13,15910
,,,Apr 14 – Apr 20,16032
,,,Apr 21 – Apr 27,15784
,,,Apr 28 – May 4,16286
,,,May 5 – May 11,16336
,,,May 12 – May 18,16412
,,,May 19 – May 25,16768
,,,May 26 – Jun 1,16401
,,,Jun 2 – Jun 8,16541
,,,Jun 9 – Jun 15,16260
,,,Jun 16 – Jun 22,16762
,,,Jun 23 – Jun 29,16519
,,,Jun 30 – Jul 6,16107
,,,Jul 7 – Jul 13,16997
,,,Jul 14 – Jul 20,16567
,,,Jul 21 – Jul 27,16478
,,,Jul 28 – Aug 3,16264
,,,Aug 4 – Aug 10,16721
,,,Aug 11 – Aug 17,16653
,,,Aug 18 – Aug 24,16306
,,,Aug 25 – Aug 31,16566
,,,Sep 1 – Sep 7,16467
,,,Sep 8 – Sep 14,16668
,,,Sep 15 – Sep 21,16643
,,,Sep 22 – Sep 28,16286
,,,Sep 29 – Oct 5,15888
,,,Oct 6 – Oct 12,15628
,,,Oct 13 – Oct 19,15465
,,,Oct 20 – Oct 26,15955
,,,Oct 27 – Nov 2,15665
,,,Nov 3 – Nov 9,15999
,,,Nov 10 – Nov 16,15542
,,,Nov 17 – Nov 23,15704
,,,Nov 24 – Nov 30,14594
,,,Dec 1 – Dec 7,15163
,,,Dec 8 – Dec 14,15552
,,,Dec 15 – Dec 21,15684
,,,Dec 22 – Dec 28,16416
,65 Years or more,2023 – 2024,Dec 31 – Jan 6,23633
,,2024,Jan 7 – Jan 13,22194
,,,Jan 14 – Jan 20,20082
,,,Jan 21 – Jan 27,21720
,,,Jan 28 – Feb 3,21736
,,,Feb 4 – Feb 10,22143
,,,Feb 11 – Feb 17,21386
,,,Feb 18 – Feb 24,22475
,,,Feb 25 – Mar 2,22019
,,,Mar 3 – Mar 9,22191
,,,Mar 10 – Mar 16,21892
,,,Mar 17 – Mar 23,21173
,,,Mar 24 – Mar 30,21897
,,,Mar 31 – Apr 6,21990
,,,Apr 7 – Apr 13,22307
,,,Apr 14 – Apr 20,22644
,,,Apr 21 – Apr 27,21649
,,,Apr 28 – May 4,22549
,,,May 5 – May 11,22220
,,,May 12 – May 18,22815
,,,May 19 – May 25,23691
,,,May 26 – Jun 1,22890
,,,Jun 2 – Jun 8,23333
,,,Jun 9 – Jun 15,23031
,,,Jun 16 – Jun 22,23253
,,,Jun 23 – Jun 29,23007
,,,Jun 30 – Jul 6,22955
,,,Jul 7 – Jul 13,23592
,,,Jul 14 – Jul 20,22902
,,,Jul 21 – Jul 27,22811
,,,Jul 28 – Aug 3,22969
,,,Aug 4 – Aug 10,23386
,,,Aug 11 – Aug 17,23254
,,,Aug 18 – Aug 24,22963
,,,Aug 25 – Aug 31,23513
,,,Sep 1 – Sep 7,23059
,,,Sep 8 – Sep 14,23714
,,,Sep 15 – Sep 21,23514
,,,Sep 22 – Sep 28,22798
,,,Sep 29 – Oct 5,22484
,,,Oct 6 – Oct 12,22520
,,,Oct 13 – Oct 19,22036
,,,Oct 20 – Oct 26,22815
,,,Oct 27 – Nov 2,22326
,,,Nov 3 – Nov 9,22408
,,,Nov 10 – Nov 16,22135
,,,Nov 17 – Nov 23,22336
,,,Nov 24 – Nov 30,22100
,,,Dec 1 – Dec 7,22336
,,,Dec 8 – Dec 14,23098
,,,Dec 15 – Dec 21,23211
,,,Dec 22 – Dec 28,24783
,No value,2023 – 2024,Dec 31 – Jan 6,10 or fewer
,,2024,Jan 7 – Jan 13,10 or fewer
,,,Jan 14 – Jan 20,10 or fewer
,,,Jan 21 – Jan 27,10 or fewer
,,,Jan 28 – Feb 3,10 or fewer
,,,Feb 4 – Feb 10,10 or fewer
,,,Feb 11 – Feb 17,10 or fewer
,,,Feb 18 – Feb 24,10 or fewer
,,,Feb 25 – Mar 2,10 or fewer
,,,Mar 3 – Mar 9,10 or fewer
,,,Mar 10 – Mar 16,10 or fewer
,,,Mar 17 – Mar 23,10 or fewer
,,,Mar 24 – Mar 30,10 or fewer
,,,Mar 31 – Apr 6,10 or fewer
,,,Apr 7 – Apr 13,10 or fewer
,,,Apr 14 – Apr 20,10 or fewer
,,,Apr 21 – Apr 27,10 or fewer
,,,Apr 28 – May 4,10 or fewer
,,,May 5 – May 11,10 or fewer
,,,May 12 – May 18,10 or fewer
,,,May 19 – May 25,10 or fewer
,,,May 26 – Jun 1,10 or fewer
,,,Jun 2 – Jun 8,10 or fewer
,,,Jun 9 – Jun 15,10 or fewer
,,,Jun 16 – Jun 22,10 or fewer
