Session Title,Heat only Yearly by County 2018-2025 FLKS,,
Session ID,2792484,,
Data Model,Patients,,
Population Base,All Patients,,
Population Criteria Filters: These criteria are a summary and do not fully reflect the content of the exported session.,State of Residence: STATES_FL_KS,"Encounter Type: Emergency, Emergency to Inpatient",
Session Date Range,1/1/2018 - 12/31/2025,,
Measure,Number of Patients,,
Export User,Stephanie Perniciaro,,
Date of Export,1/22/2026,,
,,,
,,,
,Diagnosis (Encounter),Heat,"Total: Total includes all data, including data from columns not currently displayed."
Year,County of Residence,,
,"PUTNAM, FL",10 or fewer,2889
,"EFFINGHAM, IL",10 or fewer,464
,"WOODFORD, IL",10 or fewer,3967
,"WALTON, GA",10 or fewer,3611
,"WHITLEY, IN",10 or fewer,5690
,"BUTTS, GA",11,5521
,"GIBSON, IN",10 or fewer,3303
,"ROCKDALE, GA",10 or fewer,3755
,"LUMPKIN, GA",10 or fewer,3777
,"SARASOTA, FL",10 or fewer,2813
,"WABASH, IN",10 or fewer,5383
,"MANATEE, FL",10 or fewer,2463
,"COLUMBIA, FL",10 or fewer,3377
,"CLINTON, IL",10 or fewer,860
,"MURRAY, GA",10 or fewer,793
,"MARSHALL, IN",10 or fewer,443
,"WHITE, GA",10 or fewer,4519
,"WARREN, IA",10 or fewer,3840
,"FAYETTE, GA",10 or fewer,3198
,"ELKHART, IN",10 or fewer,1413
,"LAGRANGE, IN",10 or fewer,4360
,"PAYETTE, ID",10 or fewer,3908
,"HARRISON, IN",10 or fewer,1157
,"JEROME, ID",10 or fewer,4362
,"HENDRY, FL",10 or fewer,3704
,"BUREAU, IL",10 or fewer,1240
,"PEACH, GA",10 or fewer,234
,"BLAINE, ID",10 or fewer,3430
,"CHATTOOGA, GA",10 or fewer,585
,"OGLE, IL",10 or fewer,2615
,"MACOUPIN, IL",10 or fewer,1670
,"CAMDEN, GA",10 or fewer,1658
,"FRANKLIN, GA",10 or fewer,1063
,"GEARY, KS",10 or fewer,503
,"DAWSON, GA",10 or fewer,2246
,"BERRIEN, GA",10 or fewer,4433
,"FAYETTE, IN",10 or fewer,556
,"HENDRICKS, IN",10 or fewer,2624
,"POSEY, IN",10 or fewer,3194
,"HART, GA",10 or fewer,1208
,"HARDEE, FL",10 or fewer,238
,"MONTGOMERY, IL",10 or fewer,702
,"DEKALB, IL",10 or fewer,1332
,"BARTON, KS",10 or fewer,91
,"BANKS, GA",10 or fewer,2606
,"COLUMBIA, GA",10 or fewer,838
,"POTTAWATTAMIE, IA",10 or fewer,2701
,"MAUI, HI",10 or fewer,3467
,"WARREN, IL",10 or fewer,3497
,"CLINTON, IA",10 or fewer,1439
,"BENTON, IA",10 or fewer,2738
,"STEPHENS, GA",10 or fewer,1531
,"SUWANNEE, FL",10 or fewer,1962
,"GREENE, GA",10 or fewer,278
,"JASPER, IA",10 or fewer,1478
,"DELAWARE, IN",10 or fewer,735
,"RICHLAND, IL",10 or fewer,611
,"JONES, IA",10 or fewer,2919
,"SCOTT, IN",10 or fewer,550
,"FRANKLIN, KS",10 or fewer,554
,"POWESHIEK, IA",10 or fewer,609
,"MUSCOGEE, GA",10 or fewer,1506
,"ESCAMBIA, FL",10 or fewer,1378
,"MAHASKA, IA",10 or fewer,385
,"BRADFORD, FL",10 or fewer,1978
,"BOND, IL",10 or fewer,221
,"STEUBEN, IN",10 or fewer,1722
,"WASHINGTON, IN",10 or fewer,482
,"DOUGLAS, KS",10 or fewer,1430
,"SIOUX, IA",10 or fewer,2161
,"LAMAR, GA",10 or fewer,2200
,"SHELBY, IL",10 or fewer,560
,"OSAGE, KS",10 or fewer,2096
,"RIPLEY, IN",10 or fewer,1270
,"JEFFERSON, IN",10 or fewer,587
,"TAMA, IA",10 or fewer,1147
,"DOUGLAS, IL",10 or fewer,2425
,"CHATHAM, GA",10 or fewer,1141
,"BAKER, FL",10 or fewer,596
,"MORGAN, IN",10 or fewer,2040
,"MIAMI, IN",10 or fewer,1603
,"SEDGWICK, KS",10 or fewer,1194
,"FULTON, IL",10 or fewer,1957
,"COOK, GA",10 or fewer,1819
,"PUTNAM, GA",10 or fewer,237
,"PIKE, GA",10 or fewer,2049
,"MIAMI, KS",10 or fewer,756
,"LANIER, GA",10 or fewer,2623
,"MERIWETHER, GA",10 or fewer,1944
,"FRANKLIN, IN",10 or fewer,1812
,"FAYETTE, IA",10 or fewer,1766
,"OBRIEN, IA",10 or fewer,1938
,"OKALOOSA, FL",10 or fewer,1062
,"HARALSON, GA",10 or fewer,1430
,"CEDAR, IA",10 or fewer,1704
,"CHRISTIAN, IL",10 or fewer,1251
,"GILCHRIST, FL",10 or fewer,1747
,"CERRO GORDO, IA",10 or fewer,416
,"MASSAC, IL",10 or fewer,2058
,"MARSHALL, IL",10 or fewer,1777
,"MERCER, IL",10 or fewer,2089
,"VALLEY, ID",10 or fewer,1766
,"LATAH, ID",10 or fewer,275
,"MINIDOKA, ID",10 or fewer,516
,"COLES, IL",10 or fewer,1406
,"WASHINGTON, IA",10 or fewer,1416
,"LAWRENCE, IL",10 or fewer,2030
